Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Morgan Craig Keith,General Counsel & Secretary,2022-02-17,Option Exercise,0.00,"2,325",0,"10,012",Feb 17 05:48 PM
Kelly Laura G.,Director,2022-01-01,Option Exercise,0.00,199,0,"15,194",Jan 04 04:38 PM
Miyashiro Shruti S,Director,2022-01-01,Option Exercise,0.00,257,0,"9,736",Jan 04 04:37 PM
Foss David B,Board Chair & CEO,2022-11-22,Sale,188.11,"16,000","3,009,685","106,099",Nov 23 04:26 PM
Swearingen Renee Ann,Sr VP & Chief Accounting Offic,2022-10-04,Option Exercise,0.00,219,0,"1,564",Oct 06 04:05 PM
Adelson Gregory R.,President & COO,2022-10-04,Option Exercise,0.00,320,0,"8,436",Oct 06 04:03 PM
Morgan Craig Keith,General Counsel & Secretary,2022-10-04,Option Exercise,0.00,298,0,"7,806",Oct 06 04:04 PM
Zengel Stacey E.,Senior Vice President,2022-10-04,Option Exercise,0.00,305,0,"5,316",Oct 06 04:01 PM
Foss David B,Board Chair & CEO,2022-10-04,Option Exercise,0.00,"4,505",0,"123,874",Oct 06 04:02 PM
Foss David B,Board Chair & CEO,2022-03-23,Sale,188.08,"3,247","610,701","97,947",Mar 23 04:04 PM
Foss David B,Board Chair & CEO,2022-03-22,Option Exercise,87.27,"10,000","872,700","107,947",Mar 23 04:04 PM
Adelson Gregory R.,President & COO,2022-03-07,Sale,185.23,"4,400","815,010","6,239",Mar 08 04:23 PM
Kelly Laura G.,Director,2022-01-01,Option Exercise,0.0,199,0,"13,908",Jan 04 04:30 PM
Wilson Thomas Hampton Jr.,Director,2021-08-24,Buy,175.12,169,"29,595","12,250",Aug 24 05:21 PM
Bilke Teddy I.,Senior Vice President & CTO,2021-08-03,Option Exercise,0.0,314,0,"26,654",Aug 04 09:35 AM
Adelson Gregory R.,Chief Operating Officer,2021-08-03,Option Exercise,0.0,758,0,"10,509",Aug 04 09:35 AM
