Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Swanson James D.,See Remarks,2022-03-06,Sale,154.66,"1,062","164,199","9,215",Mar 08 04:16 PM
McEvoy Ashley,"EVP, WW Chair, MedTech",2022-02-10,Option Exercise,0.00,"2,999",0,"44,812",Feb 14 04:36 PM
Taubert Jennifer L,"EVP, WW Chair, Pharmaceuticals",2022-02-10,Option Exercise,0.00,"3,570",0,"130,026",Feb 14 04:36 PM
Duato Joaquin,CEO and Chairman of the Board,2022-02-10,Option Exercise,0.00,"5,220",0,"300,940",Feb 14 04:37 PM
Fasolo Peter,"Exec VP, Chief HR Officer",2022-02-10,Option Exercise,0.00,"2,078",0,"116,754",Feb 14 04:35 PM
Mongon Thibaut,"Exec VP, WW Chair, Cons Health",2022-02-10,Option Exercise,0.00,"2,285",0,"59,461",Feb 14 04:35 PM
Hait William,See Remarks,2022-02-10,Option Exercise,0.00,"3,856",0,"84,092",Feb 14 04:35 PM
Wolk Joseph J,"Exec VP, CFO",2022-02-10,Option Exercise,0.00,"3,449",0,"39,261",Feb 14 04:36 PM
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",2022-02-10,Option Exercise,0.00,"1,807",0,"73,118",Feb 14 04:37 PM
Swanson James D.,See Remarks,2022-02-10,Option Exercise,0.00,"1,291",0,"8,355",Feb 14 04:34 PM
Broadhurst Vanessa,"EVP, Global Corp Affairs",2022-02-10,Option Exercise,0.00,"1,592",0,"17,259",Feb 14 04:35 PM
Decker Robert J,VP Corporate Controller,2022-02-10,Option Exercise,0.00,581,0,"16,054",Feb 14 04:35 PM
Gorsky Alex,Director,2022-01-17,Option Exercise,72.54,"547,692","39,729,578","1,133,194",Jan 18 04:39 PM
Duato Joaquin,CEO and Chairman of the Board,2022-01-17,Option Exercise,72.54,"148,538","10,774,947","394,515",Jan 18 04:39 PM
Wolk Joseph J,"Exec VP, CFO",2022-12-13,Option Exercise,88.19,"14,781","1,303,589","50,593",Dec 15 04:34 PM
Wolk Joseph J,"Exec VP, CFO",2022-12-13,Sale,179.60,"14,781","2,654,661","35,812",Dec 15 04:34 PM
McEvoy Ashley,"EVP, WW Chair, MedTech",2022-11-30,Option Exercise,72.54,"73,323","5,318,850","115,136",Dec 02 04:32 PM
McEvoy Ashley,"EVP, WW Chair, MedTech",2022-11-30,Sale,175.47,"73,323","12,865,801","41,813",Dec 02 04:32 PM
