Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
rahim rami,Chief Executive Officer,2022-03-08,Sale,31.28,"6,250","195,509","937,089",Mar 08 05:47 PM
rahim rami,Chief Executive Officer,2022-03-07,Sale,31.33,"6,250","195,798","943,339",Mar 08 05:47 PM
rahim rami,Chief Executive Officer,2022-03-06,Sale,31.31,"6,250","195,660","949,589",Mar 08 05:47 PM
DelSanto Anne,Director,2022-03-01,Sale,30.75,900,"27,675","26,636",Mar 01 04:56 PM
Mobassaly Robert,SVP General Counsel,2022-02-22,Sale,31.50,"2,678","84,357","21,899",Feb 22 05:20 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-02-21,Option Exercise,0.00,"17,325",0,"175,905",Feb 21 06:43 PM
rahim rami,Chief Executive Officer,2022-02-21,Option Exercise,0.00,"57,981",0,"222,052",Feb 21 06:42 PM
Miller Kenneth Bradley,EVP CFO,2022-02-21,Option Exercise,0.00,"18,645",0,"245,076",Feb 21 06:42 PM
Miller Kenneth Bradley,EVP CFO,2022-02-19,Option Exercise,0.00,"18,843",0,"235,774",Feb 21 06:42 PM
rahim rami,Chief Executive Officer,2022-02-19,Option Exercise,0.00,"62,271",0,"196,234",Feb 21 06:42 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-02-19,Option Exercise,0.00,"20,196",0,"168,594",Feb 21 06:43 PM
Mobassaly Robert,SVP General Counsel,2022-02-18,Option Exercise,0.00,"11,458",0,"30,679",Feb 21 06:43 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-02-18,Option Exercise,0.00,"19,958",0,"158,294",Feb 21 06:43 PM
rahim rami,Chief Executive Officer,2022-02-18,Option Exercise,0.00,"54,855",0,"162,296",Feb 21 06:42 PM
Miller Kenneth Bradley,EVP CFO,2022-02-18,Option Exercise,0.00,"16,456",0,"225,090",Feb 21 06:42 PM
Miller Kenneth Bradley,EVP CFO,2022-02-17,Option Exercise,0.00,"71,495",0,"244,223",Feb 21 06:42 PM
rahim rami,Chief Executive Officer,2022-02-17,Option Exercise,0.00,"222,330",0,"222,330",Feb 21 06:42 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-02-17,Option Exercise,0.00,"66,432",0,"166,662",Feb 21 06:43 PM
DENUCCIO KEVIN A,Director,2022-02-14,Sale,31.29,"6,500","203,391","14,261",Feb 15 05:00 PM
DOLCE JAMES A JR,Director,2022-02-07,Sale,30.97,"25,000","774,316","17,206",Feb 07 08:37 PM
DOLCE JAMES A JR,Director,2022-02-06,Sale,30.88,"25,000","771,942","42,206",Feb 07 08:37 PM
rahim rami,Chief Executive Officer,2022-02-03,Sale,30.79,"6,250","192,428","763,735",Feb 03 05:26 PM
rahim rami,Chief Executive Officer,2022-02-02,Sale,31.36,"6,250","195,999","769,985",Feb 03 05:26 PM
rahim rami,Chief Executive Officer,2022-02-01,Sale,30.59,"6,250","191,212","776,235",Feb 03 05:26 PM
DelSanto Anne,Director,2022-02-01,Sale,30.64,900,"27,576","27,536",Feb 01 04:30 PM
rahim rami,Chief Executive Officer,2022-12-07,Sale,31.98,"6,250","199,901","782,485",Dec 07 06:27 PM
