Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HOBSON MELLODY L,Director,2022-01-19,Buy,134.53,375,"50,448","22,040",Jan 20 04:18 PM
Friedman Stacey,General Counsel,2022-01-17,Sale,140.31,"23,148","3,247,803","48,311",Jan 17 08:52 PM
Petno Douglas B,CEO Commercial Banking,2022-01-17,Sale,140.30,"11,644","1,633,697","242,729",Jan 17 08:52 PM
Piepszak Jennifer,Co-CEO CCB,2022-01-17,Sale,140.32,"10,462","1,467,979","11,700",Jan 17 08:52 PM
Erdoes Mary E.,CEO Asset & Wealth Management,2022-01-17,Sale,140.29,"10,340","1,450,642","544,136",Jan 17 08:52 PM
Lake Marianne,Co-CEO CCB,2022-01-17,Sale,141.00,"10,000","1,410,000","86,864",Jan 17 08:52 PM
Scher Peter,Vice Chairman,2022-01-17,Sale,140.32,"4,399","617,252","36,369",Jan 17 08:51 PM
Korablina Elena A,Corporate Controller,2022-01-13,Option Exercise,0.00,"8,578",0,"28,296",Jan 17 07:41 PM
Pinto Daniel E,"President & COO, CEO CIB",2022-01-13,Option Exercise,0.00,"54,472",0,"679,129",Jan 17 07:32 PM
Leopold Robin,Head of Human Resources,2022-01-13,Option Exercise,0.00,"9,977",0,"29,008",Jan 17 07:21 PM
Beer Lori A,Chief Information Officer,2022-01-13,Option Exercise,0.00,"14,642",0,"53,345",Jan 17 07:17 PM
Barnum Jeremy,Chief Financial Officer,2022-01-13,Option Exercise,0.00,"17,714",0,"34,667",Jan 17 07:12 PM
BACON ASHLEY,Chief Risk Officer,2022-01-13,Option Exercise,0.00,"25,213",0,"203,801",Jan 17 07:08 PM
Piepszak Jennifer,Co-CEO CCB,2022-01-13,Option Exercise,0.00,"22,309",0,"33,444",Jan 17 08:52 PM
Petno Douglas B,CEO Commercial Banking,2022-01-13,Option Exercise,0.00,"26,679",0,"268,041",Jan 17 08:52 PM
Scher Peter,Vice Chairman,2022-01-13,Option Exercise,0.00,"11,875",0,"45,537",Jan 17 08:51 PM
Lake Marianne,Co-CEO CCB,2022-01-13,Option Exercise,0.00,"32,045",0,"113,534",Jan 17 08:52 PM
Friedman Stacey,General Counsel,2022-01-13,Option Exercise,0.00,"23,856",0,"83,611",Jan 17 08:52 PM
Erdoes Mary E.,CEO Asset & Wealth Management,2022-01-13,Option Exercise,0.00,"43,923",0,"577,718",Jan 17 08:52 PM
Petno Douglas B,CEO Commercial Banking,2022-11-10,Sale,135.01,"5,139","693,831","242,872",Nov 14 04:22 PM
Scher Peter,Vice Chairman,2022-11-10,Sale,133.02,"1,311","174,392","33,662",Nov 14 04:21 PM
Petno Douglas B,CEO Commercial Banking,2022-10-26,Sale,125.02,"5,139","642,456","248,011",Oct 27 04:59 PM
Leopold Robin,Head of Human Resources,2022-10-26,Sale,125.07,"2,000","250,144","19,031",Oct 27 04:58 PM
Scher Peter,Vice Chairman,2022-10-26,Sale,125.02,"1,310","163,773","34,973",Oct 27 05:00 PM
Korablina Elena A,Corporate Controller,2022-10-25,Option Exercise,0.00,"1,706",0,"20,717",Oct 27 05:12 PM
Petno Douglas B,CEO Commercial Banking,2022-10-18,Sale,120.05,"5,140","617,055","253,150",Oct 19 04:17 PM
Pinto Daniel E,"President & COO, CEO CIB",2022-10-17,Option Exercise,46.58,"104,603","4,872,408","706,450",Oct 18 04:24 PM
Erdoes Mary E.,CEO Asset & Wealth Management,2022-10-17,Sale,115.77,"33,515","3,880,135","533,795",Oct 18 04:24 PM
JPMORGAN CHASE & CO,10% Owner,2022-08-12,Buy,3.05,"1,639,344","4,999,999","51,594,927",Aug 16 06:24 PM
JPMORGAN CHASE & CO,10% Owner,2022-08-11,Buy,3.28,"3,329","10,919","49,955,583",Aug 16 06:24 PM
BACON ASHLEY,Chief Risk Officer,2022-04-19,Sale,130.04,"21,012","2,732,344","178,588",Apr 19 05:03 PM
Piepszak Jennifer,Co-CEO CCB,2022-04-14,Sale,126.19,"4,668","589,051","11,135",Apr 14 05:00 PM
