Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BERMAN ANN E,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","3,975",Mar 02 12:50 PM
FRIBOURG PAUL J,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","2,250",Mar 02 12:52 PM
BOWER JOSEPH L,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","16,114",Mar 02 12:51 PM
DIKER CHARLES M,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","18,883",Mar 02 12:51 PM
LASKAWY PHILIP A,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","9,615",Mar 02 12:52 PM
HARRIS WALTER L,Director,2022-03-01,Option Exercise,43.89,"2,250","98,752","21,883",Mar 02 12:52 PM
HARRIS WALTER L,Director,2022-03-01,Sale,61.00,625,"38,125","19,633",Mar 02 12:52 PM
FRIBOURG PAUL J,Director,2022-03-01,Sale,61.00,625,"38,125",0,Mar 02 12:52 PM
DIKER CHARLES M,Director,2022-03-01,Sale,60.98,625,"38,112","16,633",Mar 02 12:51 PM
BERMAN ANN E,Director,2022-03-01,Sale,60.98,625,"38,112","1,725",Mar 02 12:50 PM
LASKAWY PHILIP A,Director,2022-03-01,Sale,60.96,625,"38,100","7,365",Mar 02 12:52 PM
BOWER JOSEPH L,Director,2022-03-01,Sale,60.97,313,"19,084","14,176",Mar 02 12:51 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-02-10,Option Exercise,0.00,"8,482",0,"8,482",Feb 13 02:41 PM
SCHWARTZ MARK S,"V.P., C.A.O. and Treasurer",2022-02-10,Option Exercise,0.00,"4,194",0,"13,412",Feb 13 02:39 PM
SCOTT RICHARD WALDO,SVP & Chief Investment Officer,2022-02-10,Option Exercise,0.00,"6,691",0,"53,661",Feb 13 02:40 PM
SIEGEL KENNETH I,Senior Vice President,2022-02-10,Option Exercise,0.00,"6,691",0,"17,066",Feb 13 02:40 PM
Tisch Alexander H,"VP; Pres. & CEO, Loews Hotels",2022-02-10,Option Exercise,0.00,"3,299",0,"25,282",Feb 13 02:39 PM
Alpert Marc A,"Sr. VP, Gen. Coun. & Secy.",2022-02-10,Option Exercise,0.00,"6,691",0,"17,066",Feb 13 02:39 PM
Wang Jane J.,Sr. Vice President & CFO,2022-02-10,Option Exercise,0.00,"2,827",0,"4,256",Feb 13 02:41 PM
Tisch Benjamin J,"Sr. VP, Corp Dev and Strategy",2022-02-10,Option Exercise,0.00,"3,299",0,"20,310",Feb 13 02:40 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-02-10,Sale,61.73,"3,791","234,018",0,Feb 13 02:41 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-02-08,Option Exercise,0.00,"9,592",0,"9,592",Feb 09 02:40 PM
SCHWARTZ MARK S,"V.P., C.A.O. and Treasurer",2022-02-08,Option Exercise,0.00,"4,742",0,"10,928",Feb 09 02:19 PM
SCOTT RICHARD WALDO,SVP & Chief Investment Officer,2022-02-08,Option Exercise,0.00,"7,567",0,"50,487",Feb 09 02:19 PM
SIEGEL KENNETH I,Senior Vice President,2022-02-08,Option Exercise,0.00,"7,567",0,"14,560",Feb 09 02:20 PM
Tisch Benjamin J,"Sr. VP, Corp Dev and Strategy",2022-02-08,Option Exercise,0.00,"3,730",0,"19,074",Feb 09 02:20 PM
Wang Jane J.,Sr. Vice President & CFO,2022-02-08,Option Exercise,0.00,"3,197",0,"3,197",Feb 09 02:20 PM
Alpert Marc A,"Sr. VP, Gen. Coun. & Secy.",2022-02-08,Option Exercise,0.00,"7,567",0,"14,560",Feb 09 02:19 PM
Tisch Alexander H,"VP; Pres. & CEO, Loews Hotels",2022-02-08,Option Exercise,0.00,"3,730",0,"24,046",Feb 09 02:18 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-02-08,Sale,62.35,"4,287","267,294",0,Feb 09 02:40 PM
SCOTT RICHARD WALDO,SVP & Chief Investment Officer,2022-02-07,Option Exercise,43.94,"45,000","1,977,300","87,920",Feb 08 12:57 PM
SCOTT RICHARD WALDO,SVP & Chief Investment Officer,2022-02-07,Sale,62.51,"12,506","781,750","42,920",Feb 08 12:57 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-01-03,Option Exercise,44.31,"60,000","2,658,750","60,000",Jan 04 02:53 PM
TISCH JONATHAN M,Co-Ch. of Bd/Off. of the Pres.,2022-01-03,Sale,58.40,"14,467","844,873",0,Jan 04 02:53 PM
DIKER CHARLES M,Director,2022-12-01,Option Exercise,40.47,"2,250","91,058","18,883",Dec 02 01:34 PM
