Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
RICHENHAGEN MARTIN,Director,2022-03-08,Option Exercise,0.00,611,0,"6,562",Mar 09 12:44 PM
Ossadnik Victoria,Director,2022-03-08,Option Exercise,0.00,611,0,"2,406",Mar 09 12:41 PM
Kaeser Josef,Director,2022-03-08,Option Exercise,0.00,611,0,611,Mar 09 12:38 PM
GALANTE EDWARD G,Director,2022-03-08,Option Exercise,0.00,611,0,"13,673",Mar 09 12:32 PM
Enders Thomas,Director,2022-03-08,Option Exercise,0.00,611,0,"12,198",Mar 09 12:29 PM
Achleitner Ann-Kristin,Director,2022-03-08,Option Exercise,0.00,611,0,"3,463",Mar 09 12:27 PM
WOOD ROBERT L,Director,2022-03-08,Option Exercise,0.00,611,0,"16,414",Mar 09 12:53 PM
WEISSER ALBERTO,Director,2022-03-08,Option Exercise,0.00,611,0,611,Mar 09 12:49 PM
Durbin Sean,"Executive VP, EMEA",2022-03-03,Option Exercise,118.71,"5,945","705,731","16,377",Mar 07 03:46 PM
Durbin Sean,"Executive VP, EMEA",2022-03-03,Sale,360.17,"4,060","1,462,272","8,432",Mar 07 03:46 PM
ANGEL STEPHEN F,Director,2022-01-20,Option Exercise,0.00,"24,537",0,"370,413",Jan 24 10:08 AM
Hoyt Kelcey E,Principal Accounting Officer,2022-11-16,Option Exercise,128.56,"8,885","1,142,225","11,620",Nov 17 03:17 PM
Hoyt Kelcey E,Principal Accounting Officer,2022-11-16,Sale,333.91,"2,932","979,016","6,470",Nov 17 03:17 PM
Strauss David P,"Executive VP, Chief HR Officer",2022-11-14,Option Exercise,118.71,"6,605","784,080","27,187",Nov 16 12:37 PM
Strauss David P,"Executive VP, Chief HR Officer",2022-11-14,Sale,335.61,"2,166","726,931","20,582",Nov 16 12:37 PM
ANGEL STEPHEN F,Director,2022-11-11,Option Exercise,102.22,"200,000","20,444,000","545,877",Nov 15 11:55 AM
ANGEL STEPHEN F,Director,2022-11-11,Sale,330.51,"74,227","24,532,766","345,877",Nov 15 11:55 AM
Lamba Sanjiv,Chief Executive Officer,2022-05-25,Option Exercise,1.92,"2,840","5,453","47,084",May 27 11:59 AM
Opfermann Andreas,"Executive VP, Clean Energy",2022-05-03,Option Exercise,1.92,387,743,"1,857",May 05 03:15 PM
Opfermann Andreas,"Executive VP, Clean Energy",2022-05-03,Sale,311.55,186,"57,948","1,671",May 05 03:15 PM
White Matthew J,Chief Financial Officer,2022-03-21,Option Exercise,0.0,"22,850",0,"48,734",Mar 23 02:24 PM
Opfermann Andreas,"Executive VP, Clean Energy",2022-03-21,Option Exercise,0.0,"1,760",0,"1,622",Mar 23 02:23 PM
Panikar John,"Executive VP, APAC",2022-03-21,Option Exercise,0.0,"5,700",0,"18,972",Mar 23 02:23 PM
Strauss David P,Senior VP & Chief HR Officer,2022-03-21,Option Exercise,0.0,"10,215",0,"21,457",Mar 23 02:24 PM
Hoyt Kelcey E,Principal Accounting Officer,2022-03-21,Option Exercise,0.0,"2,925",0,"6,803",Mar 23 02:22 PM
Nowicki Juergen,"Executive VP, Engineering",2022-03-21,Option Exercise,0.0,"2,375",0,"6,146",Mar 23 02:23 PM
Bichara Guillermo,Senior VP& Chief Legal Officer,2022-03-21,Option Exercise,0.0,"13,115",0,"21,785",Mar 23 02:21 PM
Durbin Sean,"Executive VP, EMEA",2022-03-21,Option Exercise,0.0,"3,805",0,"10,768",Mar 23 02:22 PM
Lamba Sanjiv,Chief Executive Officer,2022-03-21,Option Exercise,0.0,"19,670",0,"45,908",May 27 11:52 AM
Lamba Sanjiv,Chief Executive Officer,2022-03-08,Buy,268.62,"3,750","1,007,325","33,690",Mar 08 03:05 PM
ANGEL STEPHEN F,Director,2022-03-02,Option Exercise,0.0,"3,882",0,"346,783",Mar 03 03:00 PM
RICHENHAGEN MARTIN,Director,2022-02-23,Option Exercise,0.0,518,0,"5,951",Feb 25 03:57 PM
WOOD ROBERT L,Director,2022-02-23,Option Exercise,0.0,518,0,"15,803",Feb 25 03:57 PM
McVay Larry D,Director,2022-02-23,Option Exercise,0.0,518,0,"13,309",Feb 25 03:55 PM
Ossadnik Victoria,Director,2022-02-23,Option Exercise,0.0,518,0,"1,795",Feb 25 03:56 PM
Reitzle Wolfgang,Director,2022-02-23,Option Exercise,0.0,"1,296",0,"20,211",Feb 25 03:57 PM
Enders Thomas,Director,2022-02-23,Option Exercise,0.0,518,0,"11,587",Feb 25 03:54 PM
Fehrenbach Franz,Director,2022-02-23,Option Exercise,0.0,518,0,"5,081",Feb 25 03:55 PM
GALANTE EDWARD G,Director,2022-02-23,Option Exercise,0.0,518,0,"13,062",Feb 25 03:55 PM
BOERSIG CLEMENS A H,Director,2022-02-23,Option Exercise,0.0,518,0,"2,793",Feb 25 03:53 PM
DICCIANI NANCE K,Director,2022-02-23,Option Exercise,0.0,518,0,"19,590",Feb 25 03:54 PM
Achleitner Ann-Kristin,Director,2022-02-23,Option Exercise,0.0,518,0,"2,852",Feb 25 03:53 PM
Fehrenbach Franz,Director,2022-02-18,Buy,303.0,375,"113,627","4,563",Feb 22 04:34 PM
Nowicki Juergen,"Executive VP, Engineering",2021-11-03,Option Exercise,174.29,"9,806","1,709,053","9,807",Nov 05 03:58 PM
ANGEL STEPHEN F,Chief Executive Officer,2021-11-03,Option Exercise,128.38,"261,075","33,516,808","518,962",Nov 05 03:59 PM
Panikar John,"Executive VP, APAC",2021-11-02,Option Exercise,164.89,"16,203","2,671,685","25,688",Nov 04 04:23 PM
Panikar John,"Executive VP, APAC",2021-11-02,Sale,327.19,"4,872","1,594,070","15,106",Nov 04 04:23 PM
