Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
"ValueAct Holdings, L.P.",Director,2022-03-06,Sale,57.83,"425,000","24,577,750","202,751",Mar 06 07:01 PM
"ValueAct Holdings, L.P.",Director,2022-03-03,Sale,58.11,"475,000","27,602,250","627,751",Mar 06 07:01 PM
"ValueAct Holdings, L.P.",Director,2022-03-02,Sale,57.94,"450,000","26,073,000","1,102,751",Mar 06 07:01 PM
MCGARVIE BLYTHE J,Director,2022-03-01,Sale,57.15,"4,617","263,858","26,557",Mar 03 05:31 PM
"ValueAct Holdings, L.P.",Director,2022-02-16,Sale,57.55,"224,931","12,944,779","1,552,751",Feb 16 06:15 PM
"ValueAct Holdings, L.P.",Director,2022-02-15,Sale,57.66,"396,363","22,854,291","1,777,682",Feb 16 06:15 PM
"ValueAct Holdings, L.P.",Director,2022-02-14,Sale,57.38,"314,636","18,053,814","2,174,045",Feb 16 06:15 PM
"ValueAct Holdings, L.P.",Director,2022-02-13,Sale,56.93,"257,093","14,636,304","2,488,681",Feb 13 04:53 PM
"ValueAct Holdings, L.P.",Director,2022-02-10,Sale,56.12,"335,008","18,800,649","2,745,744",Feb 13 04:53 PM
"ValueAct Holdings, L.P.",Director,2022-02-09,Sale,56.25,"264,913","14,901,356","3,080,782",Feb 13 04:53 PM
"ValueAct Holdings, L.P.",Director,2022-02-08,Sale,55.91,"371,976","20,797,178","3,345,695",Feb 08 05:27 PM
"ValueAct Holdings, L.P.",Director,2022-02-07,Sale,55.81,"443,467","24,749,893","3,717,671",Feb 08 05:27 PM
"ValueAct Holdings, L.P.",Director,2022-02-06,Sale,56.40,"502,529","28,342,636","4,161,138",Feb 08 05:27 PM
"ValueAct Holdings, L.P.",Director,2022-02-03,Sale,57.76,"383,088","22,127,163","4,663,667",Feb 03 05:15 PM
"ValueAct Holdings, L.P.",Director,2022-02-02,Sale,58.72,"426,758","25,059,230","5,046,755",Feb 03 05:15 PM
"ValueAct Holdings, L.P.",Director,2022-02-01,Sale,57.88,"579,238","33,526,295","5,473,513",Feb 03 05:15 PM
"ValueAct Holdings, L.P.",Director,2022-10-31,Sale,53.60,"6,500,000","348,400,000","6,052,751",Nov 02 04:20 PM
Mendel John W,Director,2022-08-04,Sale,54.61,"1,617","88,304","15,203",Aug 08 01:00 PM
HOLSTEN JOSEPH M,Director,2022-07-29,Sale,54.58,"70,000","3,820,418","136,901",Aug 01 06:00 PM
"ValueAct Holdings, L.P.",Director,2022-05-17,Sale,50.35,"5,000,000","251,750,000","12,552,751",May 19 04:41 PM
Berard Patrick,Director,2022-05-10,Sale,49.72,702,"34,904","11,806",May 12 07:51 PM
Hanser Robert M.,Director,2022-05-10,Sale,49.72,702,"34,904","19,673",May 12 07:50 PM
Urbain Xavier,Director,2022-05-10,Sale,49.72,702,"34,904","10,845",May 12 07:50 PM
Divitto Meg,Director,2021-09-08,Sale,50.75,"1,800","91,350","11,796",Sep 09 01:00 PM
