Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hahn Ava,Chief Legal Officer & SVP,2022-03-03,Sale,488.92,"3,206","1,567,478","3,433",Mar 03 05:12 PM
Hahn Ava,Chief Legal Officer & SVP,2022-03-02,Sale,479.00,487,"233,273","6,639",Mar 03 05:12 PM
ARCHER TIMOTHY,President and CEO,2022-02-08,Option Exercise,0.00,"17,480",0,"101,684",Feb 10 11:15 AM
Varadarajan Seshasayee,Senior Vice President,2022-02-07,Option Exercise,0.00,"3,956",0,"26,167",Feb 09 06:46 PM
Gottscho Richard A,Executive Vice President & CTO,2022-02-07,Option Exercise,0.00,"4,599",0,"31,271",Feb 09 06:44 PM
Hahn Ava,Chief Legal Officer & SVP,2022-02-07,Option Exercise,0.00,"5,059",0,"8,959",Feb 09 06:41 PM
Meikle Scott Gerald,Senior Vice President,2022-02-07,Option Exercise,0.00,"2,759",0,"23,184",Feb 09 06:38 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2022-02-07,Option Exercise,0.00,"5,059",0,"100,608",Feb 09 06:36 PM
Vahedi Vahid,Senior Vice President,2022-02-07,Option Exercise,0.00,"3,956",0,"27,380",Feb 09 06:30 PM
LORD PATRICK J,Executive Vice President,2022-02-07,Option Exercise,0.00,"4,599",0,"15,270",Feb 09 06:27 PM
TALWALKAR ABHIJIT Y,Director,2022-01-03,Sale,429.72,880,"378,154","14,762",Jan 04 12:10 PM
Gottscho Richard A,Executive Vice President & CTO,2022-12-21,Option Exercise,176.75,"3,540","625,695","30,212",Dec 22 02:55 PM
Gottscho Richard A,Executive Vice President & CTO,2022-12-21,Sale,450.00,"3,540","1,593,000","26,672",Dec 22 02:55 PM
Ahmed Sohail U,Director,2022-11-09,Sale,432.71,0,46,"2,131",Nov 14 02:10 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2022-08-30,Option Exercise,127.77,"53,188","6,796,064","121,692",Sep 01 05:37 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2022-08-30,Sale,439.11,"34,895","15,322,590","97,821",Sep 01 05:37 PM
Meikle Scott Gerald,Senior Vice President,2022-06-01,Option Exercise,176.75,700,"123,725","21,125",Jun 02 03:26 PM
Meikle Scott Gerald,Senior Vice President,2022-06-01,Sale,523.22,700,"366,254","20,425",Jun 02 03:26 PM
Lego Catherine P,Director,2022-04-26,Buy,460.35,"1,736","799,168","49,991",Apr 27 05:05 PM
Meikle Scott Gerald,Senior Vice President,2022-04-01,Option Exercise,176.75,700,"123,725","21,125",Apr 05 02:04 PM
Meikle Scott Gerald,Senior Vice President,2022-04-01,Sale,541.22,700,"378,854","20,425",Apr 05 02:04 PM
Gottscho Richard A,Executive Vice President & CTO,2022-03-03,Sale,560.5,537,"300,988","26,629",Mar 04 01:05 PM
Gottscho Richard A,Executive Vice President & CTO,2022-03-02,Sale,541.41,"6,019","3,258,747","27,166",Mar 03 04:46 PM
ARCHER TIMOTHY,President and CEO,2022-02-09,Option Exercise,0.0,"31,864",0,"102,083",Feb 10 12:24 PM
Gottscho Richard A,Executive Vice President & CTO,2022-02-07,Option Exercise,0.0,"9,957",0,"36,713",Feb 09 06:00 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2022-02-07,Option Exercise,0.0,"11,949",0,"89,275",Feb 09 05:58 PM
LORD PATRICK J,Executive Vice President,2022-02-07,Option Exercise,0.0,"7,965",0,"14,915",Feb 09 05:55 PM
Meikle Scott Gerald,Senior Vice President,2022-02-07,Option Exercise,0.0,"5,974",0,"22,998",Feb 09 05:53 PM
Varadarajan Seshasayee,Senior Vice President,2022-02-07,Option Exercise,0.0,"6,970",0,"25,157",Feb 09 05:50 PM
Vahedi Vahid,Senior Vice President,2022-02-07,Option Exercise,0.0,"6,970",0,"26,571",Feb 09 05:48 PM
Meikle Scott Gerald,Senior Vice President,2022-02-01,Option Exercise,188.7,700,"132,090","17,652",Feb 02 04:38 PM
Meikle Scott Gerald,Senior Vice President,2022-02-01,Sale,590.0,700,"413,000","17,024",Feb 02 04:38 PM
Varadarajan Seshasayee,Senior Vice President,2022-01-13,Sale,712.5,"10,000","7,125,000","18,187",Jan 14 02:17 PM
Meikle Scott Gerald,Senior Vice President,2021-12-15,Option Exercise,190.07,500,"95,035","17,524",Dec 16 12:49 PM
Meikle Scott Gerald,Senior Vice President,2021-12-15,Sale,680.0,500,"340,000","17,024",Dec 16 12:49 PM
ARCHER TIMOTHY,President and CEO,2021-12-01,Sale,700.0,"4,383","3,068,100","70,650",Dec 02 05:14 PM
ARCHER TIMOTHY,President and CEO,2021-11-29,Option Exercise,176.75,"11,329","2,002,401","86,362",Nov 30 04:21 PM
ARCHER TIMOTHY,President and CEO,2021-11-29,Sale,675.0,"11,329","7,647,075","75,033",Nov 30 04:21 PM
ARCHER TIMOTHY,President and CEO,2021-11-19,Sale,650.0,"4,691","3,049,150","75,033",Nov 22 04:59 PM
ARCHER TIMOTHY,President and CEO,2021-11-11,Option Exercise,145.73,"4,464","650,539","84,188",Nov 12 03:12 PM
ARCHER TIMOTHY,President and CEO,2021-11-11,Sale,613.59,"4,464","2,739,066","79,724",Nov 12 03:12 PM
Vahedi Vahid,Senior Vice President,2021-11-05,Sale,608.07,"8,357","5,081,641","19,601",Nov 09 03:46 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2021-10-25,Option Exercise,80.6,"9,303","749,822","84,722",Oct 27 02:45 PM
Bettinger Douglas R,Chief Financial Officer & EVP,2021-10-25,Sale,555.21,"5,295","2,939,837","79,427",Oct 27 02:45 PM
Meikle Scott Gerald,Senior Vice President,2021-09-15,Option Exercise,190.7,500,"95,350","17,524",Sep 16 02:18 PM
Meikle Scott Gerald,Senior Vice President,2021-09-15,Sale,603.79,500,"301,895","17,024",Sep 16 02:18 PM
ARCHER TIMOTHY,President and CEO,2021-08-27,Option Exercise,145.73,"4,464","650,539","84,714",Aug 30 03:56 PM
ARCHER TIMOTHY,President and CEO,2021-08-27,Sale,600.0,"4,464","2,678,400","80,250",Aug 30 03:56 PM
