Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Ling Hai,"Co-President, Intl Markets",2022-02-27,Option Exercise,51.83,"8,220","426,043","34,716",Feb 28 04:32 PM
Ling Hai,"Co-President, Intl Markets",2022-02-27,Sale,356.31,"8,220","2,928,873","26,496",Feb 28 04:32 PM
Mastercard Foundation,10% Owner,2022-02-14,Sale,370.54,"172,546","63,934,815","100,563,093",Feb 14 04:11 PM
Mastercard Foundation,10% Owner,2022-02-13,Sale,369.63,"172,548","63,778,417","100,735,639",Feb 14 04:11 PM
Mastercard Foundation,10% Owner,2022-02-10,Sale,365.62,"172,548","63,087,000","100,908,187",Feb 10 04:14 PM
Mastercard Foundation,10% Owner,2022-02-09,Sale,372.41,"172,548","64,258,135","101,080,735",Feb 10 04:14 PM
Mastercard Foundation,10% Owner,2022-02-08,Sale,373.35,"172,548","64,419,985","101,253,283",Feb 08 04:32 PM
Mastercard Foundation,10% Owner,2022-02-07,Sale,370.91,"172,548","63,999,002","101,425,831",Feb 08 04:32 PM
Mastercard Foundation,10% Owner,2022-02-06,Sale,370.69,"258,821","95,942,952","101,598,379",Feb 08 04:32 PM
Miebach Michael,President & CEO,2022-01-27,Option Exercise,112.31,"17,052","1,915,110","52,596",Jan 30 04:16 PM
McLaughlin Edward Grunde,"President & CTO, MA Tech",2022-01-27,Option Exercise,90.10,"20,000","1,802,000","41,579",Jan 30 04:17 PM
McLaughlin Edward Grunde,"President & CTO, MA Tech",2022-01-27,Sale,375.99,"20,000","7,519,820","21,579",Jan 30 04:17 PM
Miebach Michael,President & CEO,2022-01-27,Sale,376.43,"17,052","6,418,894","35,544",Jan 30 04:16 PM
Vosburg Craig,Chief Product Officer,2022-01-12,Option Exercise,90.10,"6,333","570,603","47,647",Jan 12 04:45 PM
Vosburg Craig,Chief Product Officer,2022-01-12,Sale,380.05,"6,333","2,406,826","41,314",Jan 12 04:45 PM
Bhalla Ajay,President Cyber & Intelligence,2022-01-09,Option Exercise,51.83,"14,200","735,986","17,605",Jan 10 04:23 PM
Bhalla Ajay,President Cyber & Intelligence,2022-01-09,Sale,371.33,"14,200","5,272,867","3,405",Jan 10 04:23 PM
Vosburg Craig,Chief Product Officer,2022-12-01,Option Exercise,90.10,"6,334","570,693","47,648",Dec 05 04:13 PM
Vosburg Craig,Chief Product Officer,2022-12-01,Sale,360.03,"6,334","2,280,429","41,314",Dec 05 04:13 PM
Mastercard Foundation,10% Owner,2022-11-11,Sale,339.09,"177,214","60,091,637","101,857,200",Nov 14 04:36 PM
Mastercard Foundation,10% Owner,2022-11-10,Sale,332.51,"177,211","58,925,174","102,034,414",Nov 14 04:36 PM
Mastercard Foundation,10% Owner,2022-11-09,Sale,318.14,"177,211","56,378,723","102,211,625",Nov 09 05:14 PM
Mastercard Foundation,10% Owner,2022-11-08,Sale,327.41,"177,211","58,020,547","102,388,836",Nov 09 05:14 PM
