Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Allman Keith J.,President and CEO,2022-02-27,Sale,53.26,"33,947","1,808,017","200,305",Feb 28 04:31 PM
Ahmad Imran,Group President,2022-02-25,Option Exercise,0.00,"8,387",0,"8,387",Feb 28 04:31 PM
Allman Keith J.,President and CEO,2022-02-14,Sale,55.63,"69,203","3,849,588","258,085",Feb 15 05:24 PM
Sznewajs John G,VP and CFO,2022-02-14,Sale,56.37,"18,240","1,028,189","194,044",Feb 15 05:36 PM
Allman Keith J.,President and CEO,2022-02-09,Option Exercise,42.13,"33,366","1,405,710","291,451",Feb 13 04:42 PM
Allman Keith J.,President and CEO,2022-02-09,Sale,53.52,"33,366","1,785,748","258,085",Feb 13 04:42 PM
Allman Keith J.,President and CEO,2022-02-07,Option Exercise,35.52,"45,448","1,614,313","303,533",Feb 09 04:56 PM
Allman Keith J.,President and CEO,2022-02-07,Sale,53.96,"45,448","2,452,222","258,085",Feb 09 04:56 PM
Allman Keith J.,President and CEO,2022-02-02,Option Exercise,19.66,"56,853","1,117,963","314,938",Feb 06 04:49 PM
Sznewajs John G,VP and CFO,2022-02-02,Option Exercise,19.66,"31,340","616,273","249,214",Feb 06 04:51 PM
Allman Keith J.,President and CEO,2022-02-02,Sale,56.26,"56,853","3,198,363","258,085",Feb 06 04:49 PM
Sznewajs John G,VP and CFO,2022-02-02,Sale,56.19,"55,170","3,100,121","194,044",Feb 06 04:51 PM
Allman Keith J.,President and CEO,2022-02-01,Option Exercise,19.66,"66,228","1,302,314","324,313",Feb 03 04:48 PM
Allman Keith J.,President and CEO,2022-02-01,Sale,54.73,"66,228","3,624,387","258,085",Feb 03 04:48 PM
Allman Keith J.,President and CEO,2022-01-17,Sale,51.40,"14,177","728,698","258,085",Jan 18 04:34 PM
Turner Reginald M JR,Director,2022-12-08,Sale,49.54,"9,900","490,446","18,866",Dec 12 04:45 PM
Turner Reginald M JR,Director,2022-10-28,Sale,46.81,"1,100","51,488","28,766",Oct 31 04:46 PM
Allman Keith J.,President and CEO,2022-10-14,Sale,48.79,"10,000","487,900","278,295",Oct 17 04:45 PM
Allman Keith J.,President and CEO,2022-07-14,Sale,52.02,"10,000","520,200","288,295",Jul 15 04:40 PM
Stevens Charles K. III,Director,2022-06-08,Sale,56.38,"7,000","394,633","10,160",Jun 09 05:48 PM
Allman Keith J.,President and CEO,2022-04-14,Sale,49.88,"10,000","498,779","298,295",Apr 15 12:38 PM
Sznewajs John G,VP and CFO,2022-02-09,Sale,60.25,"12,447","749,932","223,752",Feb 10 05:01 PM
Allman Keith J.,President and CEO,2022-02-09,Sale,60.68,"43,884","2,662,982","344,485",Feb 10 05:01 PM
Sznewajs John G,VP and CFO,2022-01-18,Sale,66.85,"6,837","457,053","206,912",Jan 19 04:14 PM
Allman Keith J.,President and CEO,2022-01-18,Sale,66.85,"21,674","1,448,907","280,015",Jan 19 04:14 PM
Allman Keith J.,President and CEO,2022-01-14,Sale,67.14,"10,000","671,400","314,701",Jan 19 04:14 PM
Lindow John P,"VP, Controller and CAO",2021-12-29,Sale,70.0,"9,430","660,100","20,158",Dec 30 11:33 AM
Lindow John P,"VP, Controller and CAO",2021-10-28,Option Exercise,25.28,"67,009","1,694,303","96,597",Oct 29 04:19 PM
Lindow John P,"VP, Controller and CAO",2021-10-28,Sale,65.0,"67,009","4,355,873","29,588",Oct 29 04:19 PM
O'Reagan Richard A.,Group President,2021-10-27,Option Exercise,25.51,"43,500","1,109,685","98,342",Oct 28 04:33 PM
O'Reagan Richard A.,Group President,2021-10-27,Sale,64.81,"43,500","2,819,068","54,842",Oct 28 04:33 PM
Allman Keith J.,President and CEO,2021-10-14,Sale,57.22,"10,000","572,200","324,701",Oct 15 04:04 PM
Allman Keith J.,President and CEO,2021-07-14,Sale,58.28,"10,000","582,800","334,701",Jul 16 05:07 PM
