Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kempczinski Christopher J,President and CEO,2022-02-23,Sale,267.69,"3,850","1,030,606","34,637",Feb 24 03:32 PM
Gross Marion K.,EVP-Chief Supply Chain Officer,2022-02-18,Option Exercise,0.00,"1,962",0,"2,180",Feb 22 04:11 PM
Steijaert Manuel JM,EVP - Chief Customer Officer,2022-02-18,Option Exercise,0.00,"5,098",0,"4,400",Feb 22 04:09 PM
Sempels Jo,"President, IDL",2022-02-18,Option Exercise,0.00,"1,571",0,"1,571",Feb 22 04:06 PM
OZAN KEVIN M,SEVP - Strategic Initiatives,2022-02-18,Option Exercise,0.00,"12,863",0,"34,831",Feb 22 04:04 PM
Kempczinski Christopher J,President and CEO,2022-02-18,Option Exercise,0.00,"33,940",0,"52,967",Feb 22 04:03 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-02-18,Option Exercise,0.00,769,0,"1,953",Feb 22 04:00 PM
Flatley Edith Morgan,EVP - Global CMO,2022-02-18,Option Exercise,0.00,"3,583",0,"4,543",Feb 22 03:59 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-02-18,Option Exercise,0.00,"8,039",0,"16,226",Feb 22 03:57 PM
Borden Ian Frederick,EVP & CFO,2022-02-18,Option Exercise,0.00,"6,790",0,"13,925",Feb 22 03:55 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-02-17,Option Exercise,97.15,"2,876","279,403","4,060",Feb 22 04:00 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-02-17,Sale,270.00,"2,876","776,520","1,184",Feb 22 04:00 PM
Flatley Edith Morgan,EVP - Global CMO,2022-02-14,Option Exercise,0.00,"1,974",0,"1,974",Feb 15 05:35 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-02-03,Option Exercise,116.73,"7,853","916,681","16,040",Feb 03 03:34 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-02-03,Sale,264.65,"7,853","2,078,296","8,187",Feb 03 03:34 PM
