Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Mckinney-James Rose,Director,2022-03-01,Sale,43.23,"2,870","124,070",0,Mar 01 05:12 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-02-27,Option Exercise,0.00,"4,110",0,"207,783",Mar 01 05:09 PM
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2022-02-27,Option Exercise,0.00,237,0,"68,412",Mar 01 05:07 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-27,Option Exercise,0.00,"4,604",0,"61,103",Mar 01 05:06 PM
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2022-02-24,Option Exercise,0.00,"2,909",0,"14,372",Feb 28 08:51 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-24,Option Exercise,0.00,"5,658",0,"58,593",Feb 28 08:50 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-02-21,Option Exercise,0.00,"2,789",0,"204,287",Feb 24 06:24 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-21,Option Exercise,0.00,"3,123",0,"53,623",Feb 24 06:23 PM
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2022-02-17,Sale,43.47,"20,000","869,350","68,175",Feb 17 05:43 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-09,Sale,44.86,"110,000","4,934,699","172,781",Feb 10 08:17 PM
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2022-02-01,Option Exercise,0.00,"7,691",0,"13,424",Feb 03 06:17 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-02-01,Sale,42.00,"30,000","1,260,000","201,498",Feb 03 06:19 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-01-26,Sale,41.00,"120,000","4,920,048","282,781",Jan 27 07:14 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-01-23,Sale,40.00,"60,000","2,400,000","231,498",Jan 24 07:50 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-01-09,Sale,38.00,"10,000","380,000","291,498",Jan 10 05:06 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-01-06,Sale,36.00,"10,000","360,000","301,498",Jan 10 05:06 PM
JAMMET MARY CHRIS,Director,2022-12-06,Sale,37.21,"6,006","223,513","5,250",Dec 06 04:44 PM
Mckinney-James Rose,Director,2022-12-05,Sale,38.04,"2,870","109,175","2,870",Dec 05 05:51 PM
Fritz Gary M,"President, Interactive",2022-12-01,Option Exercise,0.00,"15,004",0,"15,004",Dec 05 05:50 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-11-15,Sale,38.00,"20,000","760,000","311,498",Nov 16 05:27 PM
Mckinney-James Rose,Director,2022-11-14,Sale,37.50,"5,741","215,288","5,740",Nov 16 05:23 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-10-31,Sale,36.21,"10,000","362,100","331,498",Oct 31 04:57 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-10-19,Option Exercise,0.00,"10,714",0,"345,715",Oct 21 05:18 PM
Meinert Todd,SVP & Chief Accounting Officer,2022-10-19,Option Exercise,0.00,"1,917",0,"13,832",Oct 21 05:17 PM
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2022-10-19,Option Exercise,0.00,"4,870",0,"90,092",Oct 21 05:16 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-10-19,Option Exercise,0.00,"10,714",0,"324,895",Oct 21 05:15 PM
Meinert Todd,SVP & Chief Accounting Officer,2022-10-07,Option Exercise,0.00,"1,841",0,"12,364",Oct 11 08:18 PM
McManus John,CHIEF LEGAL ADMIN OFC AND SECY,2022-10-04,Option Exercise,0.00,"3,932",0,"69,928",Oct 05 08:22 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-10-04,Option Exercise,0.00,"17,978",0,"284,201",Oct 05 08:13 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-10-04,Option Exercise,0.00,"8,843",0,"301,427",Oct 05 08:43 PM
Meinert Todd,SVP & Chief Accounting Officer,2022-10-04,Option Exercise,0.00,842,0,"10,729",Oct 05 08:38 PM
Swartz Janet,Director,2022-08-25,Buy,35.05,"14,230","498,784","19,858",Aug 26 04:56 PM
IAC Inc.,10% Owner,2022-08-23,Buy,34.41,"51,100","1,758,351","64,723,602",Aug 25 04:16 PM
IAC Inc.,10% Owner,2022-08-22,Buy,33.78,"148,000","4,999,440","64,672,502",Aug 23 04:15 PM
IAC Inc.,10% Owner,2022-08-19,Buy,34.79,"143,700","4,999,323","64,524,502",Aug 23 04:15 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-08-18,Option Exercise,0.00,"20,299",0,"300,572",Aug 22 05:53 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2022-08-18,Option Exercise,0.00,"8,358",0,"69,286",Aug 22 05:50 PM
Meinert Todd,SVP & Chief Accounting Officer,2022-08-18,Option Exercise,0.00,"2,350",0,"10,460",Aug 22 05:51 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-08-18,Option Exercise,0.00,"38,208",0,"281,259",Aug 22 05:49 PM
IAC Inc.,10% Owner,2022-08-18,Buy,35.28,"141,700","4,999,176","64,380,802",Aug 19 04:10 PM
IAC Inc.,10% Owner,2022-08-17,Buy,35.27,"141,700","4,997,759","64,239,102",Aug 19 04:10 PM
IAC Inc.,10% Owner,2022-08-16,Buy,35.96,"139,000","4,998,440","64,097,402",Aug 17 04:16 PM
IAC Inc.,10% Owner,2022-08-15,Buy,35.50,"140,800","4,998,400","63,958,402",Aug 17 04:16 PM
IAC Inc.,10% Owner,2022-08-12,Buy,35.36,"141,300","4,996,368","63,817,602",Aug 15 05:54 PM
IAC Inc.,10% Owner,2022-08-11,Buy,35.10,"142,400","4,998,240","63,676,302",Aug 15 05:54 PM
TAYLOR DANIEL J,Director,2022-08-10,Sale,34.41,"4,499","154,811",0,Aug 10 07:04 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-08-04,Sale,36.00,"10,000","360,000","280,273",Aug 04 05:55 PM
SALEM PAUL J,Director,2022-06-13,Buy,28.92,"34,500","997,695","1,555,000",Jun 13 07:22 PM
SALEM PAUL J,Director,2022-05-25,Buy,31.25,"3,500","109,370","1,520,500",May 27 05:43 PM
Swartz Janet,Director,2022-05-04,Option Exercise,0.0,"4,499",0,"26,486",May 06 05:01 PM
TAYLOR DANIEL J,Director,2022-05-04,Option Exercise,0.0,"4,499",0,"4,499",May 06 05:02 PM
Mckinney-James Rose,Director,2022-05-04,Option Exercise,0.0,"1,350",0,"11,481",May 06 04:54 PM
HERMAN ALEXIS,Director,2022-05-04,Option Exercise,0.0,"4,499",0,"4,499",May 06 04:49 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-21,Sale,44.14,796,"35,134","290,273",Apr 22 05:23 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-04-20,Sale,43.0,"10,000","430,000","132,603",Apr 22 05:27 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-20,Sale,44.0,100,"4,400","291,069",Apr 22 05:23 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-04,Sale,42.44,"17,034","722,894","291,169",Apr 05 04:55 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-01,Option Exercise,0.0,"8,855",0,"324,655",Apr 05 04:55 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2022-04-01,Option Exercise,0.0,"6,529",0,"63,498",Apr 05 04:46 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-04-01,Option Exercise,0.0,"301,436",0,"350,410",Apr 05 04:44 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-01,Sale,41.85,"12,966","542,650","308,203",Apr 05 04:55 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-27,Option Exercise,0.0,"4,605",0,"61,936",Mar 01 05:49 PM
HERMAN ALEXIS,Director,2022-02-23,Sale,43.62,"3,250","141,765","8,194",Feb 23 05:22 PM
