Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Klisura Dean Michael,"President & CEO, Guy Carpenter",2022-03-06,Sale,165.22,"3,140","518,791","20,935",Mar 07 04:22 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-03-03,Sale,162.41,"11,531","1,872,750","33,678",Mar 07 04:27 PM
Mills Stacy,Vice President and Controller,2022-03-03,Sale,162.41,"1,276","207,235","2,923",Mar 07 04:24 PM
Jones John Jude,Chief Marketing Officer,2022-02-28,Option Exercise,0.00,"3,406",0,"9,373",Mar 02 05:04 PM
Mills Stacy,Vice President and Controller,2022-02-28,Option Exercise,0.00,"2,859",0,"5,782",Mar 02 05:01 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-02-28,Option Exercise,0.00,"23,558",0,"57,236",Mar 02 05:02 PM
South Martin,"President & CEO, Marsh",2022-02-28,Option Exercise,0.00,"7,171",0,"8,653",Mar 02 05:00 PM
Studer Nicholas Mark,President and CEO of OWG,2022-02-28,Option Exercise,0.00,"3,008",0,"4,842",Mar 02 04:59 PM
Fernandez Carmen,"SVP, Chief People Officer",2022-02-28,Option Exercise,0.00,"1,544",0,"3,389",Mar 02 04:57 PM
Klisura Dean Michael,"President & CEO, Guy Carpenter",2022-02-28,Option Exercise,0.00,"7,029",0,"27,964",Mar 02 04:56 PM
Doyle John Q,President and CEO,2022-02-28,Option Exercise,0.00,"26,922",0,"70,829",Mar 02 04:54 PM
Ferland Martine,"President and CEO, Mercer",2022-02-28,Option Exercise,0.00,"16,826",0,"19,284",Mar 02 04:55 PM
Brennan Katherine,SVP and General Counsel,2022-02-28,Option Exercise,0.00,"3,568",0,"3,568",Mar 02 04:52 PM
Beswick Paul,"SVP, Chief Information Officer",2022-02-28,Option Exercise,0.00,"4,208",0,"15,427",Mar 02 04:51 PM
Beswick Paul,"SVP, Chief Information Officer",2022-02-15,Option Exercise,0.00,"4,422",0,"12,540",Feb 17 04:01 PM
FANJUL OSCAR,Director,2022-02-08,Sale,173.70,"2,900","503,731","75,447",Feb 09 04:05 PM
FANJUL OSCAR,Director,2022-02-03,Sale,171.96,"5,750","988,798","78,347",Feb 06 04:18 PM
Beswick Paul,"SVP, Chief Information Officer",2022-12-13,Sale,176.75,"1,171","206,974","8,118",Dec 15 04:02 PM
Klisura Dean Michael,"President & CEO, Guy Carpenter",2022-12-09,Sale,172.34,"8,694","1,498,315","20,595",Dec 13 04:02 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-12-08,Option Exercise,83.05,"61,510","5,108,159","95,188",Dec 09 04:03 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-12-08,Sale,170.00,"61,510","10,456,700","33,678",Dec 09 04:03 PM
FANJUL OSCAR,Director,2022-11-29,Sale,167.97,"3,000","503,910","84,097",Nov 30 04:01 PM
FANJUL OSCAR,Director,2022-11-28,Sale,170.57,"3,000","511,710","87,097",Nov 30 04:01 PM
South Martin,"President & CEO, Marsh",2022-04-25,Sale,169.26,"2,950","499,311","1,301",Apr 26 04:02 PM
Beswick Paul,"SVP, Chief Information Officer",2022-03-29,Sale,171.21,"1,791","306,637","9,289",Mar 30 04:02 PM
Ferland Martine,"President and CEO, Mercer",2022-03-18,Sale,158.28,"4,797","759,269","2,458",Mar 21 04:32 PM
Ferland Martine,"President and CEO, Mercer",2022-03-15,Option Exercise,0.0,"10,733",0,"13,191",Mar 17 05:27 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-03-04,Sale,155.0,"7,695","1,192,725","33,678",Mar 08 04:11 PM
Glaser Daniel S,"President and CEO, MMC",2022-03-04,Sale,154.6,"32,322","4,996,981","101,074",Mar 08 04:10 PM
Mills Stacy,Vice President and Controller,2022-03-04,Sale,155.0,"1,488","230,640","2,923",Mar 08 04:09 PM
Ferland Martine,"President and CEO, Mercer",2022-03-04,Sale,155.0,"5,621","871,255","2,458",Mar 08 04:06 PM
Beshar Peter J,EVP and General Counsel,2022-02-28,Option Exercise,0.0,"14,149",0,"512,536",Mar 02 04:50 PM
Beswick Paul,"SVP, Chief Information Officer",2022-02-28,Option Exercise,0.0,"1,052",0,"11,547",Mar 02 04:30 PM
Doyle John Q,Group President and COO,2022-02-28,Option Exercise,0.0,"17,608",0,"52,897",Mar 02 04:28 PM
Ferland Martine,"President and CEO, Mercer",2022-02-28,Option Exercise,0.0,"12,577",0,"15,035",Mar 02 04:27 PM
Fernandez Carmen,"SVP, Chief People Officer",2022-02-28,Option Exercise,0.0,"2,009",0,"2,957",Mar 02 04:25 PM
Glaser Daniel S,"President and CEO, MMC",2022-02-28,Option Exercise,0.0,"72,312",0,"173,386",Mar 02 04:23 PM
Klisura Dean Michael,"President & CEO, Guy Carpenter",2022-02-28,Option Exercise,0.0,"8,226",0,"33,841",Mar 02 04:20 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-02-28,Option Exercise,0.0,"15,721",0,"49,399",Mar 02 04:18 PM
South Martin,"President & CEO, Marsh",2022-02-28,Option Exercise,0.0,"9,450",0,"9,479",Mar 02 04:15 PM
Studer Nicholas Mark,President and CEO of OWG,2022-02-28,Option Exercise,0.0,"3,464",0,"3,464",Mar 02 04:14 PM
Mills Stacy,Vice President and Controller,2022-02-28,Option Exercise,0.0,"3,180",0,"6,103",Mar 02 04:12 PM
MCGIVNEY MARK C,Chief Financial Officer,2021-12-03,Option Exercise,0.0,"58,295",0,"91,973",Dec 06 04:06 PM
