Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Carling Guy,President of EMEA,2022-12-01,Sale,102.42,"12,256","1,255,260","13,645",Dec 02 04:58 PM
Tirre Emelie,President of the Americas,2022-11-23,Option Exercise,46.27,"2,163","100,077","23,201",Nov 28 06:23 PM
Tirre Emelie,President of the Americas,2022-11-16,Option Exercise,43.64,"74,998","3,272,913","96,036",Nov 18 07:51 PM
Tirre Emelie,President of the Americas,2022-11-16,Sale,98.96,"74,998","7,421,802","21,038",Nov 18 07:51 PM
Carling Guy,President of EMEA,2022-11-11,Option Exercise,59.46,"36,250","2,155,488","62,151",Nov 15 06:03 PM
Carling Guy,President of EMEA,2022-11-11,Sale,97.66,"36,250","3,540,131","25,901",Nov 15 06:03 PM
KELLY THOMAS J,Chief Financial Officer,2022-09-12,Option Exercise,44.24,"23,340","1,032,560","42,773",Sep 13 06:08 PM
KELLY THOMAS J,Chief Financial Officer,2022-09-12,Sale,93.92,"16,996","1,596,264","25,777",Sep 13 06:08 PM
KELLY THOMAS J,Chief Financial Officer,2022-09-09,Option Exercise,43.64,"21,998","959,993","35,465",Sep 13 06:08 PM
KELLY THOMAS J,Chief Financial Officer,2022-09-09,Sale,92.52,"16,032","1,483,281","19,433",Sep 13 06:08 PM
SACKS RODNEY C,Chairman and Co-CEO,2022-06-08,Sale,90.25,"65,682","5,927,800","244,562",Jun 09 09:31 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-08,Sale,90.25,"65,682","5,927,800","244,562",Jun 09 09:33 PM
Carling Guy,President of EMEA,2022-06-07,Option Exercise,47.42,"34,667","1,643,870","52,200",Jun 09 09:35 PM
Carling Guy,President of EMEA,2022-06-07,Sale,90.73,"26,299","2,386,108","25,901",Jun 09 09:35 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-07,Sale,91.0,"50,000","4,550,000","310,244",Jun 09 09:33 PM
SACKS RODNEY C,Chairman and Co-CEO,2022-06-07,Sale,91.0,"50,000","4,550,000","310,244",Jun 09 09:31 PM
Tirre Emelie,President of the Americas,2022-05-13,Option Exercise,43.78,"40,729","1,782,919","60,255",May 17 06:43 PM
Tirre Emelie,President of the Americas,2022-05-13,Sale,88.06,"40,729","3,586,780","19,526",May 17 06:43 PM
Tirre Emelie,President of the Americas,2021-08-18,Option Exercise,43.99,"2,271","99,901","15,340",Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Option Exercise,43.99,"42,000","1,847,580","55,069",Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Sale,98.24,"42,000","4,126,080","13,069",Aug 18 08:29 PM
