Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
COOPERMAN DANIEL,Director,2022-03-03,Option Exercise,33.02,"5,000","165,100","9,944",Mar 03 06:24 PM
COOPERMAN DANIEL,Director,2022-03-03,Sale,276.77,"5,000","1,383,830","4,944",Mar 03 06:24 PM
Russo Marc,"EVP, Health Plans",2022-12-12,Sale,351.17,"1,500","526,755","15,513",Dec 13 08:23 PM
WOLF DALE B,Director,2022-12-07,Sale,339.50,"2,500","848,754","15,491",Dec 08 07:59 PM
WOLF DALE B,Director,2022-11-07,Option Exercise,33.02,"6,000","198,120","17,991",Nov 07 09:05 PM
ROMNEY RONNA,Director,2022-11-07,Sale,331.56,150,"49,734","16,518",Nov 07 09:05 PM
Schapiro Richard M,Director,2022-10-31,Sale,354.68,"3,000","1,064,038","12,042",Oct 31 06:25 PM
Zubretsky Joseph M,President & CEO,2022-10-07,Option Exercise,67.33,"28,914","1,946,780","284,071",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-07,Sale,346.48,"28,914","10,018,159","255,157",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-06,Option Exercise,67.33,"30,000","2,019,900","285,157",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-06,Sale,354.74,"30,000","10,642,061","255,157",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-05,Option Exercise,67.33,"30,000","2,019,900","285,157",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-05,Sale,348.81,"30,000","10,464,351","255,157",Oct 07 07:27 PM
Zubretsky Joseph M,President & CEO,2022-10-04,Option Exercise,67.33,"30,000","2,019,900","285,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-10-04,Sale,344.43,"30,000","10,332,857","255,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-10-03,Option Exercise,67.33,"30,000","2,019,900","285,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-10-03,Sale,335.94,"30,000","10,078,112","255,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-09-30,Option Exercise,67.33,"30,000","2,019,900","285,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-09-30,Sale,333.40,"30,000","10,001,904","255,157",Oct 04 10:01 PM
Zubretsky Joseph M,President & CEO,2022-09-29,Option Exercise,67.33,"30,000","2,019,900","285,157",Sep 29 08:00 PM
