Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BLEGEN THEODORE,CFO,2022-02-16,Sale,521.13,"5,000","2,605,650","132,042",Feb 21 04:23 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-02-15,Sale,519.54,"13,000","6,754,010","205,334",Feb 17 05:25 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-02-15,Sale,530.00,"1,497","793,410","273,537",Feb 17 04:03 PM
Hsing Michael,CEO,2022-02-13,Sale,492.31,"6,333","3,117,799","1,061,116",Feb 13 07:37 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-02-13,Sale,492.31,"1,639","806,896","275,004",Feb 13 07:36 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-02-13,Sale,492.31,"1,639","806,896","218,312",Feb 13 07:36 PM
Tseng Saria,VP & General Counsel,2022-02-13,Sale,492.31,"1,639","806,896","274,360",Feb 13 07:36 PM
BLEGEN THEODORE,CFO,2022-02-13,Sale,492.31,"1,373","675,942","136,995",Feb 13 07:37 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-02-09,Sale,520.00,"2,129","1,107,080","276,643",Feb 10 04:14 PM
Hsing Michael,CEO,2022-02-08,Sale,462.41,"22,483","10,396,364","1,067,449",Feb 10 04:13 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-02-08,Sale,462.41,"6,922","3,200,802","219,951",Feb 10 04:14 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-02-08,Sale,462.41,"6,922","3,200,802","278,772",Feb 10 04:13 PM
Tseng Saria,VP & General Counsel,2022-02-08,Sale,462.41,"6,922","3,200,802","275,999",Feb 10 04:13 PM
BLEGEN THEODORE,CFO,2022-02-08,Sale,462.41,"5,684","2,628,338","138,368",Feb 10 04:13 PM
Hsing Michael,CEO,2022-02-06,Sale,446.88,"3,691","1,649,434","977,093",Feb 08 06:54 PM
Tseng Saria,VP & General Counsel,2022-02-06,Sale,446.88,723,"323,094","248,181",Feb 08 06:55 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-02-06,Sale,446.88,723,"323,094","250,954",Feb 08 06:55 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-02-06,Sale,446.87,723,"323,087","192,133",Feb 08 06:54 PM
BLEGEN THEODORE,CFO,2022-02-06,Sale,446.87,608,"271,697","121,195",Feb 08 06:54 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-01-24,Sale,430.00,"10,243","4,404,490","251,677",Jan 25 04:21 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-01-12,Sale,400.00,"2,980","1,192,000","261,920",Jan 17 04:51 PM
Hsing Michael,CEO,2022-01-03,Sale,344.96,"14,888","5,135,764","980,784",Jan 05 04:53 PM
Tseng Saria,VP & General Counsel,2022-01-03,Sale,344.96,"5,528","1,906,939","248,904",Jan 05 04:53 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-01-03,Sale,344.96,"5,528","1,906,939","192,856",Jan 05 04:52 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-01-03,Sale,344.96,"5,528","1,906,939","264,900",Jan 05 04:52 PM
BLEGEN THEODORE,CFO,2022-01-03,Sale,344.96,"1,884","649,905","121,803",Jan 05 04:53 PM
Moyer James C,Director,2022-12-12,Sale,386.53,"40,000","15,461,024","42,938",Dec 12 06:14 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-11-22,Sale,369.27,"5,200","1,920,204","198,384",Nov 25 09:06 AM
Xiao Deming,Pres. of MPS Asia Operations,2022-11-15,Sale,408.68,"2,377","971,432","270,428",Nov 16 07:00 PM
Hsing Michael,CEO,2022-11-15,Sale,405.51,"1,074","435,518","995,672",Nov 16 06:59 PM
Sciammas Maurice,Sr. V.P.of Sales and Marketing,2022-11-15,Sale,405.51,279,"113,137","203,584",Nov 16 06:59 PM
Tseng Saria,VP & General Counsel,2022-11-15,Sale,404.46,279,"112,844","254,432",Nov 16 06:59 PM
BLEGEN THEODORE,CFO,2022-11-15,Sale,406.27,191,"77,598","123,687",Nov 16 06:59 PM
Hsing Michael,CEO,2022-11-14,Sale,390.33,"5,347","2,087,095","996,746",Nov 16 06:59 PM
Xiao Deming,Pres. of MPS Asia Operations,2022-11-14,Sale,390.33,"1,385","540,607","272,805",Nov 16 07:00 PM
Tseng Saria,VP & General Counsel,2022-11-14,Sale,390.33,"1,385","540,607","254,711",Nov 16 06:59 PM
