Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Romanelli Joseph,"President, Human Health Int?l",2022-02-15,Sale,108.22,"5,000","541,100","20,284",Feb 16 11:58 AM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-02-13,Sale,109.10,"1,815","198,017","33,085",Feb 14 10:03 AM
Williams David Michael,"EVP,Chief Info&Digital Officer",2022-02-10,Option Exercise,106.72,"1,205","128,598","12,505",Feb 13 04:17 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-02-09,Sale,107.00,"5,000","535,006","34,900",Feb 10 11:28 AM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-02-06,Sale,104.25,"4,436","462,473","39,900",Feb 08 10:27 AM
Zachary Jennifer,"EVP, General Counsel",2022-02-03,Option Exercise,56.04,"75,436","4,227,433","129,356",Feb 06 04:21 PM
Zachary Jennifer,"EVP, General Counsel",2022-02-03,Sale,103.17,"75,436","7,782,762","53,920",Feb 06 04:21 PM
Chattopadhyay Sanat,Exe V-P & Pres. MMD,2022-01-09,Option Exercise,53.06,"83,994","4,456,722","113,494",Jan 11 04:22 PM
Chattopadhyay Sanat,Exe V-P & Pres. MMD,2022-01-09,Sale,112.29,"83,994","9,431,915","29,500",Jan 11 04:22 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-11-10,Option Exercise,0.00,"15,000",0,"47,144",Nov 10 05:01 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-11-10,Sale,101.42,"15,000","1,521,278","32,144",Nov 10 05:01 PM
Davis Robert M,CEO & President,2022-11-09,Option Exercise,0.00,"167,613",0,"415,206",Nov 10 04:42 PM
Davis Robert M,CEO & President,2022-11-09,Sale,102.44,"167,613","17,169,840","247,593",Nov 10 04:42 PM
Oosthuizen Johannes Jacobus,"President, U.S. Market",2022-11-09,Sale,103.21,"1,795","185,262","16,731",Nov 10 04:44 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-11-08,Option Exercise,0.00,"20,000",0,"52,144",Nov 10 05:01 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2022-11-08,Sale,101.00,"20,000","2,020,000","32,144",Nov 10 05:01 PM
Oosthuizen Johannes Jacobus,"President, U.S. Market",2022-11-07,Option Exercise,0.00,"52,743",0,"64,087",Nov 07 04:09 PM
FRAZIER KENNETH C,Executive Chair,2022-11-07,Option Exercise,0.00,"235,769",0,"936,422",Nov 08 04:56 PM
