Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SAPERSTEIN ANDREW M,Co-President/Head of WM,2022-02-13,Sale,98.45,"46,226","4,550,950",0,Feb 15 04:35 PM
SAPERSTEIN ANDREW M,Co-President/Head of WM,2022-02-13,Sale,98.23,"24,556","2,412,099","190,440",Feb 15 04:35 PM
SIMKOWITZ DANIEL A,Head of Investment Management,2022-01-31,Sale,96.54,"8,077","779,726","315,321",Feb 01 04:37 PM
SIMKOWITZ DANIEL A,Head of Investment Management,2022-01-30,Sale,96.20,"15,133","1,455,861","323,398",Feb 01 04:37 PM
DARLING ALISTAIR,Director,2022-01-25,Sale,94.70,"2,000","189,410","34,465",Jan 27 04:15 PM
CRAWLEY MANDELL,Chief Human Resources Officer,2022-01-19,Sale,93.75,"3,740","350,625","42,171",Jan 20 04:21 PM
GORMAN JAMES P,Chairman and CEO,2022-01-18,Sale,96.93,"250,000","24,233,637","1,112,348",Jan 20 04:20 PM
PICK EDWARD N,Co-President/Head of IS,2022-01-18,Sale,96.98,"135,000","13,092,566","639,965",Jan 20 04:25 PM
GROSSMAN ERIC F,Chief Legal/Admin Officer,2022-01-18,Sale,97.11,"120,000","11,653,788","235,234",Jan 20 04:22 PM
SIMKOWITZ DANIEL A,Head of Investment Management,2022-01-18,Sale,97.05,"44,910","4,358,353","348,531",Jan 20 04:28 PM
AKRAM RAJA,Deputy Chief Financial Officer,2022-01-18,Sale,97.00,"5,100","494,700","118,558",Jan 20 04:30 PM
MORGAN STANLEY,10% Owner,2022-07-28,Buy,8.41,"8,598","72,330","8,598",Aug 23 05:14 PM
LUCZO STEPHEN J,Director,2022-05-12,Buy,79.3,"25,000","1,982,425","179,449",May 13 04:16 PM
SAPERSTEIN ANDREW M,Co-President/Head of WM,2022-02-08,Sale,105.7,"17,162","1,813,998","179,414",Feb 09 04:16 PM
Hotsuki Keishi,Chief Risk Officer,2022-02-07,Sale,105.0,"24,500","2,572,500","270,986",Feb 09 04:14 PM
SIMKOWITZ DANIEL A,Head of Investment Management,2022-01-31,Sale,102.56,"18,414","1,888,525","302,996",Feb 02 04:12 PM
PRUZAN JONATHAN,Chief Operating Officer,2022-01-26,Sale,101.05,"18,414","1,860,705","287,602",Jan 28 04:17 PM
CRAWLEY MANDELL,Chief Human Resources Officer,2022-01-21,Sale,98.57,"7,475","736,812","36,308",Jan 21 04:16 PM
SAPERSTEIN ANDREW M,Co-President/Head of WM,2022-01-20,Sale,96.8,"15,471","1,497,593","196,576",Jan 21 04:24 PM
GROSSMAN ERIC F,Chief Legal Officer,2022-01-20,Sale,101.63,"33,209","3,375,130","289,476",Jan 21 04:17 PM
DARLING ALISTAIR,Director,2021-11-09,Sale,99.46,"1,000","99,460","32,675",Nov 12 04:13 PM
YESHAYA SHARON,Chief Financial Officer,2021-07-21,Sale,95.64,"2,500","239,104","24,895",Jul 23 04:17 PM
SAPERSTEIN ANDREW M,Co-President/Head of WM,2021-07-16,Sale,92.97,"11,465","1,065,901","173,075",Jul 16 04:28 PM
