Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BROWN GREGORY Q,Chairman and CEO,2022-02-14,Option Exercise,66.43,"26,933","1,789,159","75,075",Feb 15 04:10 PM
BROWN GREGORY Q,Chairman and CEO,2022-02-14,Sale,271.25,"26,933","7,305,654","48,142",Feb 15 04:10 PM
BROWN GREGORY Q,Chairman and CEO,2022-02-13,Option Exercise,56.17,"39,350","2,210,290","87,492",Feb 15 04:10 PM
BROWN GREGORY Q,Chairman and CEO,2022-02-13,Sale,270.66,"39,350","10,650,651","48,142",Feb 15 04:10 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-14,Option Exercise,56.17,"1,500","84,255","49,515",Dec 15 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-14,Sale,272.30,"1,500","408,447","48,015",Dec 15 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-13,Option Exercise,56.17,"9,150","513,956","57,165",Dec 15 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-13,Sale,273.11,"9,150","2,498,988","48,015",Dec 15 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-02,Option Exercise,56.17,"10,000","561,700","65,615",Dec 06 04:16 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-02,Sale,273.00,"10,000","2,730,015","55,615",Dec 06 04:16 PM
WINKLER JASON J,EVP and CFO,2022-12-02,Sale,272.62,"1,227","334,511","5,445",Dec 06 04:18 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-01,Option Exercise,56.17,"15,000","842,550","70,615",Dec 02 04:36 PM
BROWN GREGORY Q,Chairman and CEO,2022-12-01,Sale,273.57,"15,000","4,103,557","55,615",Dec 02 04:36 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-30,Option Exercise,56.17,"23,800","1,336,846","79,415",Dec 02 04:36 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-30,Sale,268.27,"34,000","9,121,314","22,540",Dec 02 04:35 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-30,Sale,269.29,"23,800","6,409,079","55,615",Dec 02 04:36 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-28,Option Exercise,56.17,"1,200","67,404","56,815",Nov 30 04:24 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-28,Sale,268.02,"1,200","321,622","55,615",Nov 30 04:24 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-23,Option Exercise,56.17,"10,000","561,700","55,476",Nov 28 04:18 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-23,Sale,266.37,"10,000","2,663,706","45,476",Nov 28 04:18 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-22,Option Exercise,56.17,"23,500","1,319,995","68,976",Nov 23 04:18 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-22,Sale,263.95,"23,500","6,202,775","45,476",Nov 23 04:18 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-11-22,Sale,265.00,"1,009","267,385",501,Nov 23 04:19 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-21,Option Exercise,56.17,"26,500","1,488,505","71,976",Nov 22 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-21,Sale,263.29,"26,500","6,977,081","45,476",Nov 22 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-18,Option Exercise,56.17,"39,125","2,197,651","84,601",Nov 22 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-18,Sale,262.10,"39,125","10,254,708","45,476",Nov 22 04:20 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-11-18,Sale,259.59,"3,000","778,770","1,510",Nov 22 04:21 PM
WINKLER JASON J,EVP and CFO,2022-11-11,Option Exercise,66.85,"2,650","177,152","9,322",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-11,Option Exercise,56.17,875,"49,149","46,351",Nov 14 04:21 PM
WINKLER JASON J,EVP and CFO,2022-11-11,Sale,260.00,"2,650","689,000","6,672",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-11,Sale,260.00,875,"227,502","45,476",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-10,Option Exercise,56.17,"20,000","1,123,400","90,476",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-10,Sale,259.64,"20,000","5,192,811","70,476",Nov 14 04:21 PM
WINKLER JASON J,EVP and CFO,2022-11-10,Sale,259.71,"1,772","460,211","6,672",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-09,Option Exercise,56.17,"17,948","1,008,139","88,424",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-09,Sale,255.15,"17,948","4,579,457","70,476",Nov 14 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-08,Option Exercise,56.17,"2,052","115,261","72,528",Nov 09 04:20 PM
MOLLOY JOHN P,EVP and COO,2022-11-08,Sale,259.50,"5,139","1,333,570","26,844",Nov 10 04:15 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-08,Sale,259.07,"2,052","531,603","70,476",Nov 09 04:20 PM
MAHER KATHERINE A,CVP and CAO,2022-11-08,Sale,255.87,410,"104,988","1,691",Nov 10 04:14 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-11-08,Sale,258.97,135,"34,907","4,510",Nov 10 04:16 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-07,Option Exercise,56.17,"20,000","1,123,400","90,476",Nov 09 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-11-07,Sale,255.05,"20,000","5,100,968","70,476",Nov 09 04:20 PM
HACKER MARK S.,"EVP, GC & Chief Admin Officer",2022-11-07,Sale,254.55,"7,914","2,014,599","5,180",Nov 09 04:19 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-12,Option Exercise,56.17,"10,000","561,700","80,308",Sep 14 04:22 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-12,Sale,253.24,"10,000","2,532,435","70,308",Sep 14 04:22 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-09-12,Sale,253.45,"2,546","645,279","4,628",Sep 14 04:23 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-09,Option Exercise,56.17,"20,000","1,123,400","90,308",Sep 12 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-09,Sale,251.09,"20,000","5,021,820","70,308",Sep 12 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-08,Option Exercise,56.17,"19,198","1,078,352","89,506",Sep 12 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-09-08,Sale,250.06,"19,198","4,800,637","70,308",Sep 12 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-26,Option Exercise,56.17,"10,802","606,748","81,110",Aug 29 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-26,Sale,254.29,"10,802","2,746,844","70,308",Aug 29 04:21 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-18,Option Exercise,56.17,"27,159","1,525,521","97,467",Aug 22 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-18,Sale,256.00,"27,159","6,952,758","70,308",Aug 22 04:20 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-17,Option Exercise,56.17,"12,102","679,769","82,410",Aug 18 04:59 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-17,Sale,255.32,"12,102","3,089,936","70,308",Aug 18 04:59 PM
BROWN GREGORY Q,Chairman and CEO,2022-08-16,Option Exercise,56.17,"3,633","204,066","73,941",Aug 18 04:59 PM
