Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Chu Wah-Hui,Director,2022-03-02,Option Exercise,244.99,300,"73,497","4,590",Mar 06 07:49 AM
Chu Wah-Hui,Director,2022-03-02,Sale,1450.00,300,"435,000","4,290",Mar 06 07:49 AM
Filliol Olivier A,Director,2022-03-01,Option Exercise,312.36,"10,000","3,123,600","10,071",Mar 03 10:37 AM
Filliol Olivier A,Director,2022-03-01,Sale,1425.43,"10,000","14,254,296",71,Mar 03 10:37 AM
Filliol Olivier A,Director,2022-02-28,Option Exercise,312.36,"10,000","3,123,600","10,071",Mar 02 12:15 PM
Filliol Olivier A,Director,2022-02-28,Sale,1433.61,"10,000","14,336,083",71,Mar 02 12:15 PM
Filliol Olivier A,Director,2022-02-23,Option Exercise,263.62,"3,056","805,623","3,127",Feb 27 11:33 AM
Filliol Olivier A,Director,2022-02-23,Sale,1463.34,"3,056","4,471,979",71,Feb 27 11:33 AM
Filliol Olivier A,Director,2022-02-22,Sale,1458.15,"3,332","4,858,563",71,Feb 23 09:42 AM
Filliol Olivier A,Director,2022-02-21,Sale,1476.74,"1,300","1,919,761","3,403",Feb 23 09:42 AM
Filliol Olivier A,Director,2022-02-14,Option Exercise,263.62,"10,000","2,636,200","14,703",Feb 16 01:09 PM
Magloth Christian,Head of Human Resources,2022-02-14,Option Exercise,292.05,"1,200","350,462","1,930",Feb 16 11:52 AM
SPOERRY ROBERT F,Director,2022-02-14,Option Exercise,263.62,"1,000","263,620","7,548",Feb 15 01:47 PM
Filliol Olivier A,Director,2022-02-14,Sale,1545.51,"10,000","15,455,093","4,703",Feb 16 01:09 PM
Magloth Christian,Head of Human Resources,2022-02-14,Sale,1541.02,"1,200","1,849,220",730,Feb 16 11:52 AM
SPOERRY ROBERT F,Director,2022-02-14,Sale,1565.00,"1,000","1,565,000","6,548",Feb 15 01:47 PM
Keller Gerry,Head of Process Analytics,2022-02-13,Option Exercise,620.74,474,"294,231",923,Feb 15 01:39 PM
SPOERRY ROBERT F,Director,2022-02-13,Option Exercise,263.62,"1,000","263,620","7,548",Feb 15 01:47 PM
Vadala Shawn,Chief Financial Officer,2022-02-13,Option Exercise,285.28,900,"256,754","6,792",Feb 15 01:20 PM
Vadala Shawn,Chief Financial Officer,2022-02-13,Sale,1550.37,"1,892","2,933,293","4,900",Feb 15 01:20 PM
SPOERRY ROBERT F,Director,2022-02-13,Sale,1550.00,"1,000","1,550,000","6,548",Feb 15 01:47 PM
Aggersbjerg Peter,Head of Divisions,2022-02-13,Sale,1515.26,648,"981,888",0,Feb 15 01:28 PM
Keller Gerry,Head of Process Analytics,2022-02-13,Sale,1540.69,474,"730,287",449,Feb 15 01:39 PM
Filliol Olivier A,Director,2022-12-01,Option Exercise,263.62,"6,448","1,699,822","6,519",Dec 05 11:14 AM
Filliol Olivier A,Director,2022-12-01,Sale,1491.20,"6,448","9,615,268",71,Dec 05 11:14 AM
Filliol Olivier A,Director,2022-11-29,Option Exercise,263.62,"10,252","2,702,632","10,323",Dec 01 08:51 AM
Filliol Olivier A,Director,2022-11-29,Sale,1420.65,"10,252","14,564,515",71,Dec 01 08:51 AM
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2022-11-21,Option Exercise,397.95,"1,173","466,795","2,101",Nov 23 10:53 AM
de la Guerroniere Marc,Head of Eur & NA Market Orgs,2022-11-21,Sale,1397.81,"2,101","2,936,806",0,Nov 23 10:53 AM
Filliol Olivier A,Director,2022-11-16,Option Exercise,263.62,"10,000","2,636,200","10,071",Nov 17 10:10 AM
Filliol Olivier A,Director,2022-11-16,Sale,1396.64,"10,000","13,966,418",71,Nov 17 10:10 AM
Filliol Olivier A,Director,2022-11-15,Option Exercise,263.62,"3,300","869,946","3,371",Nov 17 10:10 AM
Filliol Olivier A,Director,2022-11-15,Sale,1435.01,"3,300","4,735,544",71,Nov 17 10:10 AM
FINNEY ELISHA W,Director,2022-11-14,Option Exercise,671.60,225,"151,110",492,Nov 16 11:26 AM
FINNEY ELISHA W,Director,2022-11-14,Sale,1484.34,225,"333,976",267,Nov 16 11:26 AM
Aggersbjerg Peter,Head of Divisions,2022-11-10,Option Exercise,731.04,"2,513","1,837,111","2,513",Nov 14 09:12 AM
Vadala Shawn,Chief Financial Officer,2022-11-10,Option Exercise,287.99,800,"230,392","5,700",Nov 14 09:26 AM
Chu Wah-Hui,Director,2022-11-10,Option Exercise,244.99,584,"143,074","4,874",Nov 14 09:20 AM
Aggersbjerg Peter,Head of Divisions,2022-11-10,Sale,1414.85,"2,513","3,555,526",0,Nov 14 09:12 AM
Vadala Shawn,Chief Financial Officer,2022-11-10,Sale,1435.08,800,"1,148,064","4,900",Nov 14 09:26 AM
Chu Wah-Hui,Director,2022-11-10,Sale,1398.94,584,"816,981","4,290",Nov 14 09:20 AM
Kelly Michael A,Director,2022-11-08,Option Exercise,244.99,"1,484","363,565","3,112",Nov 10 07:44 AM
Magloth Christian,Head of Human Resources,2022-11-08,Option Exercise,263.62,"1,270","334,797","1,708",Nov 10 07:43 AM
SPOERRY ROBERT F,Director,2022-11-08,Option Exercise,244.99,"1,000","244,990","7,548",Nov 09 08:26 AM
Kelly Michael A,Director,2022-11-08,Sale,1356.36,"1,484","2,012,842","1,628",Nov 10 07:44 AM
Magloth Christian,Head of Human Resources,2022-11-08,Sale,1331.92,"1,270","1,691,538",438,Nov 10 07:43 AM
SPOERRY ROBERT F,Director,2022-11-08,Sale,1335.00,"1,000","1,335,000","6,548",Nov 09 08:26 AM
SPOERRY ROBERT F,Director,2022-11-07,Option Exercise,244.99,"2,000","489,980","8,548",Nov 09 08:26 AM
Vadala Shawn,Chief Financial Officer,2022-11-07,Option Exercise,254.73,880,"224,161","5,780",Nov 09 08:27 AM
SPOERRY ROBERT F,Director,2022-11-07,Sale,1300.00,"2,000","2,600,000","6,548",Nov 09 08:26 AM
Vadala Shawn,Chief Financial Officer,2022-11-07,Sale,1299.43,880,"1,143,501","4,900",Nov 09 08:27 AM
Filliol Olivier A,Director,2022-08-26,Option Exercise,263.62,374,"98,594",404,Aug 30 08:33 AM
Filliol Olivier A,Director,2022-08-26,Sale,1314.05,374,"491,455",30,Aug 30 08:33 AM
Chu Wah-Hui,Director,2022-08-17,Option Exercise,169.37,200,"33,874","4,327",Aug 19 10:45 AM
Chu Wah-Hui,Director,2022-08-17,Sale,1346.64,37,"49,826","4,290",Aug 19 10:45 AM
