Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Malzahn Daniel David,Chief Financial Officer,2022-02-28,Option Exercise,1094.22,100,"109,422","7,076",Mar 01 10:59 AM
Malzahn Daniel David,Chief Financial Officer,2022-02-28,Sale,5213.22,100,"521,322","6,976",Mar 01 10:59 AM
Malzahn Daniel David,Chief Financial Officer,2022-02-27,Option Exercise,1094.22,"2,000","2,188,440","8,976",Mar 01 10:59 AM
Bredow Eugene James,Chief Executive Officer,2022-02-27,Option Exercise,1094.22,"1,700","1,860,174","3,151",Feb 28 04:30 PM
Malzahn Daniel David,Chief Financial Officer,2022-02-27,Sale,5166.93,"2,000","10,333,860","6,976",Mar 01 10:59 AM
Bredow Eugene James,Chief Executive Officer,2022-02-27,Sale,5155.00,"1,300","6,701,500","1,851",Feb 28 04:30 PM
Bredow Eugene James,Chief Executive Officer,2022-02-24,Option Exercise,1094.22,"2,000","2,188,440","3,451",Feb 28 04:30 PM
Bredow Eugene James,Chief Executive Officer,2022-02-24,Sale,5130.00,"2,000","10,260,000","1,451",Feb 28 04:30 PM
FESTA ALFRED E,Director,2022-02-08,Option Exercise,1094.22,"1,600","1,750,752","1,921",Feb 09 09:50 AM
FESTA ALFRED E,Director,2022-02-08,Sale,5032.84,"1,600","8,052,544",321,Feb 09 09:50 AM
Ross Susan Williamson,Director,2022-02-03,Option Exercise,1700.00,125,"212,500",530,Feb 06 05:37 PM
Ross Susan Williamson,Director,2022-02-03,Sale,5330.00,125,"666,250",405,Feb 06 05:37 PM
Kelpy Matthew B.,"VP, Chief Accounting Officer",2022-02-02,Option Exercise,1934.97,650,"1,257,730",862,Feb 06 05:58 PM
ANDREWS CHARLES ELLIOTT,Director,2022-02-02,Option Exercise,1094.22,650,"711,243","1,560",Feb 06 05:45 PM
Malzahn Daniel David,Chief Financial Officer,2022-02-02,Option Exercise,1094.22,199,"217,750","7,175",Feb 06 05:31 PM
SAVILLE PAUL C,Executive Chairman,2022-02-02,Sale,5436.65,846,"4,599,406","107,554",Feb 06 05:23 PM
ANDREWS CHARLES ELLIOTT,Director,2022-02-02,Sale,5455.10,650,"3,545,815",910,Feb 06 05:45 PM
Kelpy Matthew B.,"VP, Chief Accounting Officer",2022-02-02,Sale,5379.77,632,"3,400,015",230,Feb 06 05:58 PM
Malzahn Daniel David,Chief Financial Officer,2022-02-02,Sale,5490.16,199,"1,092,542","6,976",Feb 06 05:31 PM
Ross Susan Williamson,Director,2022-11-15,Option Exercise,1700.00,250,"425,000",655,Nov 16 02:08 PM
Ross Susan Williamson,Director,2022-11-15,Sale,4487.78,250,"1,121,945",405,Nov 16 02:08 PM
Malzahn Daniel David,Chief Financial Officer,2022-11-10,Option Exercise,1019.74,"1,962","2,000,730","8,516",Nov 14 11:15 AM
Malzahn Daniel David,Chief Financial Officer,2022-11-10,Sale,4421.82,"1,540","6,809,603","6,976",Nov 14 11:15 AM
Malzahn Daniel David,Chief Financial Officer,2022-11-09,Option Exercise,1019.74,482,"491,515","7,036",Nov 14 11:15 AM
Malzahn Daniel David,Chief Financial Officer,2022-11-09,Sale,4200.00,482,"2,024,400","6,554",Nov 14 11:15 AM
Malzahn Daniel David,Chief Financial Officer,2022-11-01,Option Exercise,1019.74,"2,000","2,039,480","7,720",Nov 03 12:14 PM
Malzahn Daniel David,Chief Financial Officer,2022-11-01,Sale,4250.10,"1,166","4,955,617","6,554",Nov 03 12:14 PM
Malzahn Daniel David,Chief Financial Officer,2022-10-28,Option Exercise,1019.74,"2,000","2,039,480","6,889",Oct 31 02:05 PM
Malzahn Daniel David,Chief Financial Officer,2022-10-28,Sale,4202.62,"1,169","4,912,863","5,720",Oct 31 02:05 PM
Malzahn Daniel David,Chief Financial Officer,2022-10-27,Option Exercise,1019.74,"2,000","2,039,480","6,058",Oct 31 02:05 PM
Malzahn Daniel David,Chief Financial Officer,2022-10-27,Sale,4203.23,"1,169","4,913,576","4,889",Oct 31 02:05 PM
Malzahn Daniel David,Chief Financial Officer,2022-08-15,Option Exercise,1019.74,"1,003","1,022,799","4,639",Aug 17 01:35 PM
Malzahn Daniel David,Chief Financial Officer,2022-08-15,Sale,4406.01,581,"2,559,892","4,058",Aug 17 01:35 PM
Malzahn Daniel David,Chief Financial Officer,2022-08-11,Option Exercise,1019.74,760,"775,002","4,075",Aug 12 02:58 PM
Malzahn Daniel David,Chief Financial Officer,2022-08-11,Sale,4436.73,439,"1,947,724","3,636",Aug 12 02:58 PM
BAILEY SALLIE B,Director,2022-08-10,Buy,4365.45,25,"109,136",100,Aug 10 03:36 PM
Bredow Eugene James,Chief Executive Officer,2022-08-03,Option Exercise,1094.22,200,"218,844","1,451",Aug 04 04:37 PM
Malzahn Daniel David,Chief Financial Officer,2022-08-01,Option Exercise,1019.74,"2,000","2,039,480","4,470",Aug 03 11:45 AM
Malzahn Daniel David,Chief Financial Officer,2022-08-01,Sale,4436.88,"1,155","5,124,596","3,315",Aug 03 11:45 AM
Malzahn Daniel David,Chief Financial Officer,2022-07-28,Option Exercise,1019.74,"1,793","1,828,394","4,263",Aug 01 02:48 PM
Malzahn Daniel David,Chief Financial Officer,2022-07-28,Sale,4435.03,"1,793","7,952,009","2,470",Aug 01 02:48 PM
Bredow Eugene James,Chief Executive Officer,2022-05-06,Option Exercise,804.8,425,"342,040","1,251",May 09 12:29 PM
Ross Susan Williamson,Director,2021-12-21,Option Exercise,1700.0,125,"212,500",405,Dec 22 10:26 AM
ECKERT THOMAS D,Director,2021-11-30,Option Exercise,1094.22,"1,300","1,422,486","2,400",Dec 01 01:44 PM
ECKERT THOMAS D,Director,2021-11-30,Sale,5242.15,"1,300","6,814,795","1,100",Dec 01 01:44 PM
Kelpy Matthew B.,"VP, Chief Accounting Officer",2021-10-25,Buy,4860.0,100,"486,000",212,Oct 26 11:31 AM
JOHNSON MANUEL H,Director,2021-08-27,Option Exercise,1094.22,"1,000","1,094,220","1,400",Aug 30 01:57 PM
JOHNSON MANUEL H,Director,2021-08-27,Sale,5143.21,"1,000","5,143,210",400,Aug 30 01:57 PM
Bredow Eugene James,"President, NVRM, Inc.",2021-08-02,Option Exercise,804.8,300,"241,440","1,126",Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-08-02,Sale,5260.0,300,"1,578,000",826,Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-07-30,Option Exercise,804.8,92,"74,042",918,Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-07-30,Sale,5260.0,92,"483,920",826,Aug 03 11:40 AM
