Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Fairhead Rona Alison,Director,2022-02-03,Sale,89.82,"8,080","725,749","11,197",Feb 06 08:13 PM
HENLEY JEFFREY,Vice Chairman,2022-12-14,Option Exercise,30.11,"400,000","12,044,000","2,192,688",Dec 16 01:21 PM
HENLEY JEFFREY,Vice Chairman,2022-12-14,Sale,82.00,"400,000","32,800,181","1,792,688",Dec 16 01:21 PM
BOSKIN MICHAEL J,Director,2022-11-15,Option Exercise,33.78,"90,000","3,040,200","172,607",Nov 16 04:45 PM
BOSKIN MICHAEL J,Director,2022-11-15,Sale,80.08,"90,000","7,206,786","82,607",Nov 16 04:45 PM
Screven Edward,Chief Corporate Architect,2022-10-27,Option Exercise,32.17,"200,000","6,435,000","2,743,033",Oct 27 07:09 PM
Screven Edward,Chief Corporate Architect,2022-10-27,Sale,74.90,"200,000","14,979,200","2,543,033",Oct 27 07:09 PM
Screven Edward,Chief Corporate Architect,2022-08-04,Option Exercise,0.00,"50,000",0,"2,567,823",Aug 05 02:04 PM
HENLEY JEFFREY,Vice Chairman,2022-08-04,Option Exercise,0.00,"25,000",0,"1,802,887",Aug 05 02:06 PM
Daley Dorian,EVP and General Counsel,2022-08-04,Option Exercise,0.00,"43,750",0,"383,618",Aug 05 02:07 PM
West W Corey,"Controller, EVP, CAO",2022-08-04,Option Exercise,0.00,"25,000",0,"214,149",Aug 05 02:09 PM
West W Corey,"Controller, EVP, CAO",2022-08-03,Option Exercise,0.00,"25,000",0,"201,545",Aug 05 02:09 PM
Daley Dorian,EVP and General Counsel,2022-08-03,Option Exercise,0.00,"37,500",0,"358,461",Aug 05 02:07 PM
HENLEY JEFFREY,Vice Chairman,2022-08-03,Option Exercise,0.00,"25,000",0,"1,787,725",Aug 05 02:06 PM
Screven Edward,Chief Corporate Architect,2022-08-03,Option Exercise,0.00,"50,000",0,"2,542,613",Aug 05 02:04 PM
Screven Edward,Chief Corporate Architect,2022-06-29,Option Exercise,29.72,"419,174","12,457,851","2,911,787",Jun 29 07:09 PM
Screven Edward,Chief Corporate Architect,2022-06-29,Sale,69.22,"419,174","29,015,224","2,492,613",Jun 29 07:09 PM
Screven Edward,Chief Corporate Architect,2022-06-28,Option Exercise,29.72,"280,826","8,346,149","2,773,439",Jun 29 07:09 PM
Screven Edward,Chief Corporate Architect,2022-06-28,Sale,70.84,"280,826","19,893,826","2,492,613",Jun 29 07:09 PM
Screven Edward,Chief Corporate Architect,2022-06-27,Option Exercise,0.0,"62,500",0,"2,521,479",Jun 29 07:09 PM
Daley Dorian,EVP and General Counsel,2022-06-27,Option Exercise,0.0,"83,125",0,"360,053",Jun 28 08:50 PM
West W Corey,"Controller, EVP, CAO",2022-06-27,Option Exercise,0.0,"40,938",0,"194,722",Jun 28 08:51 PM
HENLEY JEFFREY,Vice Chairman,2022-06-27,Option Exercise,0.0,"25,000",0,"1,771,647",Jun 28 08:49 PM
Daley Dorian,EVP and General Counsel,2022-06-27,Option Exercise,0.0,"83,125",0,"360,053",Jun 28 08:50 PM
CATZ SAFRA,Chief Executive Officer,2022-06-24,Option Exercise,29.72,"980,000","29,125,600","2,098,592",Jun 24 07:19 PM
CATZ SAFRA,Chief Executive Officer,2022-06-24,Sale,69.8,"980,000","68,408,454","1,118,592",Jun 24 07:19 PM
CATZ SAFRA,Chief Executive Officer,2022-06-23,Option Exercise,29.72,"1,000,000","29,720,000","2,118,592",Jun 24 07:19 PM
CATZ SAFRA,Chief Executive Officer,2022-06-23,Sale,67.13,"1,000,000","67,125,862","1,118,592",Jun 24 07:19 PM
CATZ SAFRA,Chief Executive Officer,2022-06-22,Option Exercise,29.72,"1,000,000","29,720,000","2,118,592",Jun 22 07:31 PM
CATZ SAFRA,Chief Executive Officer,2022-06-22,Sale,66.87,"1,000,000","66,870,735","1,118,592",Jun 22 07:31 PM
ELLISON LAWRENCE JOSEPH,Executive Chairman,2022-06-21,Option Exercise,29.72,"7,000,000","208,040,000","1,145,732,353",Jun 23 05:48 PM
CATZ SAFRA,Chief Executive Officer,2022-06-21,Option Exercise,29.72,"1,020,000","30,314,400","2,138,592",Jun 22 07:31 PM
CATZ SAFRA,Chief Executive Officer,2022-06-21,Sale,68.12,"1,020,000","69,483,419","1,118,592",Jun 22 07:31 PM
