Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Dalimonte Christa A,"EVP, General Counsel & Secy",2022-03-01,Option Exercise,0.00,"13,601",0,"78,125",Mar 03 05:42 PM
Gill Charest Katherine,"EVP, Controller & CAO",2022-03-01,Option Exercise,0.00,"4,382",0,"27,937",Mar 03 05:42 PM
Lea DeDe,"EVP, Pub Pol'y & Gov Relations",2022-03-01,Option Exercise,0.00,"3,778",0,"45,713",Mar 03 05:41 PM
Phelps Julia,"EVP, Chief Comms & Corp Mktg",2022-03-01,Option Exercise,0.00,"4,030",0,"27,070",Mar 03 05:41 PM
Phillips Nancy R,"EVP, Chief People Officer",2022-03-01,Option Exercise,0.00,"6,045",0,"43,138",Mar 03 05:41 PM
Bakish Robert M,President and CEO,2022-03-01,Option Exercise,0.00,"61,996",0,"697,817",Mar 03 05:42 PM
CHOPRA NAVEEN K.,"EVP, Chief Financial Officer",2022-03-01,Option Exercise,0.00,"15,112",0,"95,507",Mar 03 05:42 PM
TERRELL FREDERICK,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"19,652",Feb 17 04:53 PM
REDSTONE SHARI,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"386,726",Feb 17 04:53 PM
PHILLIPS JR CHARLES E,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"86,065",Feb 17 04:53 PM
Schuman Susan,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"20,548",Feb 17 04:53 PM
GRIEGO LINDA M,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"51,030",Feb 17 04:53 PM
MCHALE JUDITH,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"29,225",Feb 17 04:53 PM
NELSON RONALD L,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"38,443",Feb 17 04:52 PM
Byrne Barbara M,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"29,506",Feb 17 04:52 PM
Klieger Robert N.,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"24,767",Feb 17 04:53 PM
Seligman Nicole,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"29,721",Feb 17 04:53 PM
Beinecke Candace K,Director,2022-02-15,Option Exercise,0.00,"5,558",0,"20,548",Feb 17 04:53 PM
Phillips Nancy R,"EVP, Chief People Officer",2022-12-16,Option Exercise,0.00,"18,868",0,"46,354",Dec 20 04:36 PM
Bakish Robert M,President and CEO,2022-12-04,Option Exercise,0.00,"30,592",0,"643,385",Dec 06 04:31 PM
Phillips Nancy R,"EVP, Chief People Officer",2022-11-30,Option Exercise,0.00,"5,315",0,"30,182",Dec 02 04:47 PM
Lea DeDe,"EVP, Pub Pol'y & Gov Relations",2022-11-30,Option Exercise,0.00,"5,169",0,"44,433",Dec 02 04:46 PM
Phelps Julia,"EVP, Chief Comms & Corp Mktg",2022-11-30,Option Exercise,0.00,"4,566",0,"25,259",Dec 02 04:46 PM
Gill Charest Katherine,"EVP, Controller & CAO",2022-11-30,Option Exercise,0.00,"3,551",0,"24,521",Dec 02 04:44 PM
Dalimonte Christa A,"EVP, General Counsel & Secy",2022-11-30,Option Exercise,0.00,"13,485",0,"71,122",Dec 02 04:43 PM
Bakish Robert M,President and CEO,2022-11-30,Option Exercise,0.00,"85,034",0,"656,203",Dec 02 04:41 PM
Bakish Robert M,President and CEO,2022-11-01,Option Exercise,0.00,"135,572",0,"640,379",Nov 03 05:02 PM
Gill Charest Katherine,"EVP, Controller & CAO",2022-11-01,Option Exercise,0.00,"3,390",0,"22,193",Nov 03 05:00 PM
Lea DeDe,"EVP, Pub Pol'y & Gov Relations",2022-11-01,Option Exercise,0.00,"6,355",0,"42,334",Nov 03 05:01 PM
Phelps Julia,"EVP, Chief Comms & Corp Mktg",2022-11-01,Option Exercise,0.00,"5,932",0,"23,243",Nov 03 05:01 PM
Dalimonte Christa A,"EVP, General Counsel & Secy",2022-11-01,Option Exercise,0.00,"18,535",0,"67,888",Nov 03 04:59 PM
CHOPRA NAVEEN K.,"EVP, Chief Financial Officer",2022-08-24,Option Exercise,0.00,"67,837",0,"113,004",Aug 25 05:19 PM
NATIONAL AMUSEMENTS INC /MD/,Director,2022-05-17,Buy,32.37,"646,764","20,935,233","32,012,190",May 18 03:42 PM
