Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SIVER DARRIN C,EXECUTIVE VICE PRESIDENT,2022-03-01,Option Exercise,0.00,"2,002",0,"51,545",Mar 03 05:30 PM
WALTON MICHAEL K,VICE PRESIDENT/GENERAL COUNSEL,2022-03-01,Option Exercise,0.00,647,0,777,Mar 03 05:30 PM
DOZIER C MICHAEL,EXECUTIVE VICE PRESIDENT,2022-03-01,Option Exercise,0.00,"2,002",0,"20,095",Mar 03 05:29 PM
FEIGHT R PRESTON,CHIEF EXECUTIVE OFFICER,2022-03-01,Option Exercise,0.00,"14,597",0,"119,220",Mar 03 05:29 PM
Rich John N,V.P. & CHIEF TECH. OFFICER,2022-03-01,Option Exercise,0.00,"1,189",0,"1,189",Mar 03 05:29 PM
SCHIPPERS HARRIE,PRESIDENT & CFO,2022-03-01,Option Exercise,0.00,"4,550",0,"95,313",Mar 03 05:29 PM
HUBBARD TODD R,VICE PRESIDENT,2022-03-01,Option Exercise,0.00,"1,189",0,"5,962",Mar 03 05:29 PM
BARKLEY MICHAEL T,SR. VICE PRESIDENT/CONTROLLER,2022-03-01,Option Exercise,0.00,"1,972",0,"52,100",Mar 03 05:25 PM
Bolgar Paulo Henrique,Vice President,2022-03-01,Option Exercise,0.00,"1,138",0,"1,138",Mar 03 05:26 PM
PIGOTT MARK C,Executive Chairman,2022-01-30,Option Exercise,47.81,"108,714","5,197,616","3,263,735",Feb 01 03:13 PM
DOZIER C MICHAEL,EXECUTIVE VICE PRESIDENT,2022-01-30,Option Exercise,70.45,"31,538","2,221,762","43,600",Feb 01 03:10 PM
PIGOTT MARK C,Executive Chairman,2022-01-30,Sale,108.96,"70,937","7,729,019","3,192,798",Feb 01 03:13 PM
DOZIER C MICHAEL,EXECUTIVE VICE PRESIDENT,2022-01-30,Sale,110.52,"31,538","3,485,425","12,062",Feb 01 03:10 PM
HUBBARD TODD R,VICE PRESIDENT,2022-01-27,Option Exercise,67.63,"2,200","148,786","5,382",Jan 31 03:20 PM
HUBBARD TODD R,VICE PRESIDENT,2022-01-27,Sale,112.00,"2,200","246,400","3,182",Jan 31 03:20 PM
