Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SUSMAN SALLY,Executive Vice President,2022-02-25,Option Exercise,22.89,"72,984","1,670,604","209,179",Feb 28 05:52 PM
JOHNSON RADY A,Executive Vice President,2022-02-25,Option Exercise,22.89,"33,654","770,340","116,473",Feb 28 05:52 PM
Hwang Angela,"President, Global Biopharma",2022-02-25,Option Exercise,22.89,"20,273","464,049","44,541",Feb 28 05:52 PM
McDermott Michael,Executive Vice President,2022-02-25,Option Exercise,22.89,"14,178","324,534","93,099",Feb 28 05:52 PM
DAMICO JENNIFER B.,SVP & Controller,2022-02-25,Option Exercise,22.89,"11,150","255,224","27,893",Feb 28 05:52 PM
SUSMAN SALLY,Executive Vice President,2022-02-22,Option Exercise,30.17,"76,043","2,294,217","195,493",Feb 24 09:17 PM
Hwang Angela,"President, Global Biopharmaceu",2022-02-22,Option Exercise,30.17,"57,032","1,720,655","67,027",Feb 24 09:34 PM
JOHNSON RADY A,Executive Vice President,2022-02-22,Option Exercise,30.17,"31,558","952,105","106,556",Feb 24 08:27 PM
SAHNI PAYAL,Executive Vice President,2022-02-22,Option Exercise,30.17,"15,209","458,856","32,671",Feb 24 09:03 PM
McDermott Michael,Executive Vice President,2022-02-22,Option Exercise,30.17,"13,307","401,472","88,957",Feb 24 08:52 PM
DAMICO JENNIFER B.,SVP & Controller,2022-02-22,Option Exercise,30.17,"10,456","315,458","21,584",Feb 24 08:14 PM
BOURLA ALBERT,Chairman & CEO,2022-12-16,Option Exercise,27.25,"222,328","6,058,580","411,890",Dec 16 06:14 PM
LANKLER DOUGLAS M,Executive Vice President,2022-12-14,Option Exercise,26.29,"101,658","2,672,548","180,461",Dec 16 06:14 PM
Dolsten Mikael,President R&D,2022-11-07,Option Exercise,33.21,"79,108","2,627,260","420,007",Nov 09 04:08 PM
DAMICO JENNIFER B.,SVP & Controller,2022-06-07,Sale,53.96,"4,218","227,603","10,846",Jun 08 04:43 PM
DAMICO JENNIFER B.,SVP & Controller,2022-05-16,Sale,50.5,"4,000","202,000","15,064",May 17 07:48 AM
SAHNI PAYAL,Executive Vice President,2022-05-13,Sale,49.84,"1,408","70,175","17,372",May 16 09:23 PM
Carapezzi William R JR,Executive Vice President,2022-05-12,Sale,50.0,"32,908","1,645,400","38,146",May 13 05:38 PM
LANKLER DOUGLAS M,Executive Vice President,2022-05-12,Sale,49.41,"38,273","1,891,069","78,803",May 13 05:19 PM
Dolsten Mikael,President R&D,2022-05-11,Sale,49.32,"63,902","3,151,547","333,342",May 12 04:34 PM
Dolsten Mikael,President R&D,2022-03-03,Option Exercise,31.83,"102,460","3,261,036","396,578",Mar 04 04:13 PM
DAMICO JENNIFER B.,SVP & Controller,2022-02-26,Option Exercise,25.6,"9,713","248,653","26,120",Mar 01 04:02 PM
LANKLER DOUGLAS M,Executive Vice President,2022-02-26,Option Exercise,25.6,"77,709","1,989,350","174,507",Mar 01 04:03 PM
McDermott Michael,Executive Vice President,2022-02-26,Option Exercise,25.6,"12,340","315,904","83,530",Mar 01 04:03 PM
Carapezzi William R JR,Executive Vice President,2022-02-26,Option Exercise,25.6,"21,193","542,541","87,363",Mar 01 04:03 PM
DAMELIO FRANK A,Executive Vice President,2022-02-26,Option Exercise,25.6,"127,160","3,255,296","649,918",Mar 01 05:55 PM
SUSMAN SALLY,Executive Vice President,2022-02-26,Option Exercise,25.6,"63,580","1,627,648","172,880",Mar 01 05:55 PM
SAHNI PAYAL,Executive Vice President,2022-02-23,Option Exercise,27.34,"13,884","379,589","29,391",Feb 25 06:27 PM
SUSMAN SALLY,Executive Vice President,2022-02-23,Option Exercise,27.34,"76,895","2,102,309","166,470",Feb 25 06:29 PM
Hwang Angela,Group President,2022-02-23,Option Exercise,27.34,"21,359","583,955","21,359",Feb 25 06:10 PM
LANKLER DOUGLAS M,Executive Vice President,2022-02-23,Option Exercise,27.34,"115,342","3,153,450","181,659",Feb 25 06:20 PM
DAMELIO FRANK A,Executive Vice President,2022-02-23,Option Exercise,27.34,"153,789","4,204,591","636,977",Feb 25 06:04 PM
JOHNSON RADY A,Executive Vice President,2022-02-23,Option Exercise,27.34,"35,457","969,394","91,301",Feb 25 06:17 PM
DAMICO JENNIFER B.,SVP & Controller,2022-02-23,Option Exercise,27.34,"11,748","321,190","21,668",Feb 25 05:46 PM
Carapezzi William R JR,Executive Vice President,2022-02-23,Option Exercise,27.34,"25,632","700,779","82,914",Feb 25 05:06 PM
Dolsten Mikael,President R&D,2021-12-17,Option Exercise,30.17,"71,187","2,147,712","351,637",Dec 21 06:31 PM
BOURLA ALBERT,Chairman & CEO,2021-12-17,Option Exercise,26.73,"123,055","3,289,547","246,444",Dec 21 06:03 PM
JOHNSON RADY A,Executive Vice President,2021-12-03,Sale,53.42,"19,000","1,015,042","55,844",Dec 06 05:18 PM
MACKENZIE ALEXANDER R,Executive Vice President,2021-12-02,Sale,54.26,"41,360","2,244,194","87,280",Dec 06 05:18 PM
SUSMAN SALLY,Executive Vice President,2021-11-26,Sale,54.52,"44,308","2,415,578","89,575",Nov 30 04:30 PM
LANKLER DOUGLAS M,Executive Vice President,2021-11-26,Sale,54.37,"40,000","2,174,786","66,317",Nov 30 04:30 PM
Hwang Angela,Group President,2021-11-12,Sale,49.6,"26,170","1,298,002",1,Nov 15 05:32 PM
Dolsten Mikael,President R&D,2021-11-11,Option Exercise,25.13,"199,548","5,014,926","339,506",Nov 15 05:40 PM
Dolsten Mikael,President R&D,2021-11-11,Sale,50.29,"59,664","3,000,647","279,842",Nov 15 05:40 PM
YOUNG JOHN D,Group President,2021-11-11,Sale,50.06,"150,000","7,508,732","312,704",Nov 12 06:08 PM
DAMICO JENNIFER B.,SVP & Controller,2021-08-13,Sale,48.3,"1,661","80,226","9,769",Aug 16 08:12 PM
DAMICO JENNIFER B.,SVP & Controller,2021-07-30,Sale,42.86,"2,500","107,150","11,430",Aug 02 07:02 PM
