Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Keith R. Alexandra,CEO - Beauty,2022-03-01,Sale,137.34,"5,349","734,642","34,150",Mar 02 12:27 PM
Moeller Jon R,"Chairman, President and CEO",2022-03-01,Sale,137.34,"2,151","295,422","226,748",Mar 02 12:29 PM
Schulten Andre,Chief Financial Officer,2022-03-01,Sale,137.34,"1,311","180,055","35,142",Mar 02 12:32 PM
Keith R. Alexandra,CEO - Beauty,2022-03-01,Sale,137.34,"1,194","163,986","7,553",Mar 02 12:27 PM
Whaley Susan Street,Chief Legal Officer & Secy,2022-03-01,Sale,137.34,709,"97,375","10,198",Mar 02 12:35 PM
Purushothaman Balaji,Chief Human Resources Officer,2022-03-01,Sale,137.34,695,"95,453","13,001",Mar 02 12:31 PM
Moeller Jon R,"Chairman, President and CEO",2022-03-01,Sale,137.34,164,"22,524","35,222",Mar 02 12:29 PM
Janzaruk Matthew W.,SVP - Chief Accounting Officer,2022-03-01,Sale,137.34,160,"21,975","1,158",Mar 02 12:36 PM
Whaley Susan Street,Chief Legal Officer & Secy,2022-02-03,Sale,141.82,435,"61,692","10,840",Feb 06 11:14 AM
Moeller Jon R,"Chairman, President and CEO",2022-12-07,Option Exercise,149.18,143,"21,301","228,641",Dec 09 11:42 AM
Keith R. Alexandra,CEO - Beauty,2022-12-07,Option Exercise,149.18,97,"14,503","39,338",Dec 09 01:01 PM
Pritchard Marc S.,Chief Brand Officer,2022-12-07,Option Exercise,149.18,79,"11,784","154,390",Dec 09 12:59 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-12-07,Option Exercise,149.18,68,"10,122","12,380",Dec 09 01:14 PM
Schulten Andre,Chief Financial Officer,2022-12-07,Option Exercise,149.18,61,"9,064","36,328",Dec 09 12:43 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-12-07,Option Exercise,149.18,59,"8,762","17,396",Dec 09 01:02 PM
Grabowski Mary Theresa,Chief Human Resources Officer,2022-12-07,Option Exercise,149.18,46,"6,798","4,427",Dec 09 01:08 PM
Jejurikar Shailesh,Chief Operating Officer,2022-12-07,Option Exercise,149.18,44,"6,496","10,114",Dec 09 01:12 PM
Davis Jennifer L.,CEO - Health Care,2022-12-07,Option Exercise,149.18,37,"5,590","39,787",Dec 09 01:09 PM
Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",2022-12-07,Option Exercise,149.18,23,"3,475","10,530",Dec 09 11:44 AM
Whaley Susan Street,Chief Legal Officer & Secy,2022-12-07,Option Exercise,149.18,8,"1,209","11,283",Dec 09 12:44 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-11-21,Option Exercise,80.29,"9,922","796,637","22,234",Nov 21 05:01 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-11-21,Sale,145.00,"9,922","1,438,690","12,312",Nov 21 05:01 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-11-10,Option Exercise,81.91,"14,922","1,222,287","22,232",Nov 14 12:21 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-11-10,Sale,139.60,"14,922","2,083,130","12,310",Nov 14 12:21 PM
Keith R. Alexandra,CEO - Beauty,2022-11-08,Option Exercise,83.05,"33,968","2,820,898","65,283",Nov 09 09:47 AM
Keith R. Alexandra,CEO - Beauty,2022-11-08,Sale,137.44,"33,968","4,668,562","38,990",Nov 09 09:47 AM
Grabowski Mary Theresa,Chief Human Resources Officer,2022-08-26,Sale,146.00,"10,397","1,517,962","4,353",Aug 29 09:46 AM
Davis Jennifer L.,CEO - Health Care,2022-08-23,Option Exercise,91.07,"27,809","2,532,566","60,704",Aug 24 08:53 AM
Davis Jennifer L.,CEO - Health Care,2022-08-23,Sale,147.95,"27,809","4,114,342","32,895",Aug 24 08:53 AM
Coombe Gary A,CEO - Grooming,2022-08-19,Sale,149.21,"12,930","1,929,285","29,489",Aug 22 10:05 AM
Jejurikar Shailesh,Chief Operating Officer,2022-08-18,Sale,148.87,"18,981","2,825,701",279,Aug 19 11:34 AM
Keith R. Alexandra,CEO - Beauty,2022-08-18,Sale,148.92,"17,347","2,583,327","35,213",Aug 19 11:35 AM
Keith R. Alexandra,CEO - Beauty,2022-08-18,Sale,149.15,"1,289","192,254","7,841",Aug 19 11:35 AM
Moeller Jon R,"Chairman, President and CEO",2022-08-17,Sale,149.33,"29,405","4,391,031","201,224",Aug 18 12:42 PM
Keith R. Alexandra,CEO - Beauty,2022-08-17,Sale,149.33,"14,530","2,169,756","52,560",Aug 18 12:41 PM
Jejurikar Shailesh,Chief Operating Officer,2022-08-17,Sale,149.33,"12,426","1,855,567","19,260",Aug 18 12:45 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-08-17,Sale,149.33,"12,252","1,829,584","17,331",Aug 18 12:47 PM
Pritchard Marc S.,Chief Brand Officer,2022-08-17,Sale,149.33,"12,228","1,826,000","154,158",Aug 18 01:42 PM
Grabowski Mary Theresa,Chief Human Resources Officer,2022-08-17,Sale,149.33,"8,624","1,287,817","14,750",Aug 18 12:43 PM
Davis Jennifer L.,CEO - Health Care,2022-08-17,Sale,149.33,"7,621","1,138,039","32,895",Aug 18 12:46 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-08-17,Sale,149.33,"6,958","1,039,034","12,310",Aug 18 12:52 PM
Keith R. Alexandra,CEO - Beauty,2022-08-17,Sale,149.33,"1,080","161,276","9,130",Aug 18 12:41 PM
Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",2022-08-17,Sale,149.33,"1,067","159,334","10,473",Aug 18 12:49 PM
Schulten Andre,Chief Financial Officer,2022-08-17,Sale,149.33,987,"147,388","27,330",Aug 18 01:41 PM
Whaley Susan Street,Chief Legal Officer & Secy,2022-08-17,Sale,149.33,907,"135,442","6,253",Aug 18 01:43 PM
Moeller Jon R,"Chairman, President and CEO",2022-08-17,Sale,149.33,767,"114,536","35,378",Aug 18 12:42 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-08-16,Option Exercise,80.29,"58,538","4,700,016","59,564",Aug 16 04:37 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-08-16,Option Exercise,85.13,"5,000","425,650","9,004",Aug 18 12:52 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-08-16,Sale,149.50,"58,538","8,751,542","1,026",Aug 16 04:37 PM
Raman Sundar G.,CEO-Fabric & Home Care,2022-08-16,Sale,150.00,"5,000","750,000","4,004",Aug 18 12:52 PM
Moeller Jon R,"Chairman, President and CEO",2022-08-15,Option Exercise,78.52,"23,943","1,880,004","58,372",Aug 16 04:39 PM
