Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Vohra Tajinder S,Please See Remarks,2022-12-22,Option Exercise,48.98,"1,663","81,445","18,868",Dec 23 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-22,Sale,140.15,"1,663","233,071","17,205",Dec 23 04:05 PM
Singh Prahlad R.,Please See Remarks,2022-12-21,Option Exercise,48.98,"14,187","694,808","62,469",Dec 23 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-21,Option Exercise,48.98,"1,662","81,396","18,867",Dec 23 04:05 PM
Singh Prahlad R.,Please See Remarks,2022-12-21,Sale,140.52,"14,187","1,993,554","48,282",Dec 23 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-21,Sale,142.42,"1,662","236,703","17,205",Dec 23 04:05 PM
Goldberg Joel S,Please See Remarks,2022-12-20,Option Exercise,41.80,"35,907","1,500,913","56,757",Dec 21 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-20,Option Exercise,48.98,"1,663","81,445","18,868",Dec 21 04:05 PM
Goldberg Joel S,Please See Remarks,2022-12-20,Sale,138.86,"35,907","4,985,948","20,850",Dec 21 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-20,Sale,138.85,"1,663","230,902","17,205",Dec 21 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-19,Option Exercise,48.98,"1,662","81,396","18,867",Dec 21 04:05 PM
Vohra Tajinder S,Please See Remarks,2022-12-19,Sale,138.55,"1,662","230,265","17,205",Dec 21 04:05 PM
Okun Andrew,Please See Remarks,2022-12-15,Option Exercise,93.72,"8,150","763,833","14,541",Dec 16 04:06 PM
Okun Andrew,Please See Remarks,2022-12-15,Sale,140.97,"8,150","1,148,913","6,391",Dec 16 04:06 PM
Okun Andrew,Please See Remarks,2022-08-01,Sale,165.42,"3,173","524,867","6,391",Aug 03 04:05 PM
Tereau Daniel R,Please See Remarks,2022-07-22,Option Exercise,52.65,"5,700","300,105","19,080",Jul 25 04:05 PM
Tereau Daniel R,Please See Remarks,2022-07-22,Sale,145.14,"5,700","827,298","13,380",Jul 25 04:05 PM
Mock James M,Please See Remarks,2022-06-24,Sale,145.49,"5,025","731,092","27,577",Jun 27 04:05 PM
Tereau Daniel R,Please See Remarks,2022-03-14,Option Exercise,41.8,"6,696","279,893","20,076",Mar 15 04:05 PM
Tereau Daniel R,Please See Remarks,2022-03-14,Sale,165.84,"6,696","1,110,453","13,380",Mar 15 04:05 PM
Okun Andrew,Please See Remarks,2021-12-16,Sale,189.04,"1,350","255,206","6,902",Dec 17 05:18 PM
Tereau Daniel R,Please See Remarks,2021-12-09,Option Exercise,46.26,"3,546","164,020","13,651",Dec 10 04:25 PM
Tereau Daniel R,Please See Remarks,2021-12-09,Sale,189.55,"3,546","672,161","10,105",Dec 10 04:25 PM
Mock James M,Please See Remarks,2021-09-20,Sale,184.87,"6,080","1,124,040","23,244",Sep 21 04:05 PM
Okun Andrew,Please See Remarks,2021-08-30,Option Exercise,81.29,"3,054","248,260","11,306",Aug 31 04:05 PM
Okun Andrew,Please See Remarks,2021-08-30,Sale,187.48,"3,054","572,549","8,252",Aug 31 04:05 PM
Gregoire Sylvie,Director,2021-07-06,Option Exercise,46.27,"5,000","231,350","22,390",Jul 07 04:05 PM
Gregoire Sylvie,Director,2021-07-06,Sale,155.57,"5,000","777,850","17,390",Jul 07 04:05 PM
