Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sorgi Vincent,President and CEO,2022-02-17,Option Exercise,28.81,"85,201","2,454,641","191,454",Feb 22 04:43 PM
Bergstein Joseph P Jr,EVP and CFO,2022-02-17,Option Exercise,28.81,"25,167","725,061","61,600",Feb 22 04:37 PM
Henninger Tadd J,SVP-Finance and Treasurer,2022-02-17,Option Exercise,28.81,"5,429","156,409","19,798",Feb 22 04:41 PM
Crockett John R III,President of a PPL Subsidiary,2022-02-17,Option Exercise,28.81,"4,947","142,523","16,307",Feb 22 04:39 PM
Beers Marlene C,Vice President and Controller,2022-02-17,Option Exercise,28.81,"4,720","135,983","23,626",Feb 22 04:36 PM
Raymond Stephanie R,President of a PPL Subsidiary,2022-02-17,Option Exercise,28.81,"4,608","132,756","28,446",Feb 22 04:42 PM
Bonenberger David J,President of a PPL Subsidiary,2022-02-17,Option Exercise,28.81,"4,489","129,328","39,095",Feb 22 04:38 PM
Gosman Angela K,EVP and CHRO,2022-02-17,Option Exercise,28.81,"2,632","75,828","3,947",Feb 22 04:39 PM
Gosman Angela K,EVP and CHRO,2022-02-14,Option Exercise,28.54,403,"11,502","1,453",Feb 15 04:22 PM
Bonenberger David J,President of a PPL Subsidiary,2022-01-24,Sale,26.13,719,"18,787","34,606",Jan 25 04:16 PM
Sorgi Vincent,President and CEO,2022-01-23,Option Exercise,29.32,"10,747","315,110","122,209",Jan 24 06:12 PM
Bergstein Joseph P Jr,EVP and CFO,2022-01-23,Option Exercise,29.32,"7,295","213,896","38,765",Jan 24 06:04 PM
Dudkin Gregory N,Executive Vice President,2022-01-23,Option Exercise,29.32,"6,939","203,451","65,503",Jan 24 06:07 PM
Henninger Tadd J,SVP-Finance and Treasurer,2022-01-23,Option Exercise,29.32,"1,574","46,152","14,906",Jan 24 06:09 PM
Beers Marlene C,Vice President and Controller,2022-01-23,Option Exercise,29.32,"1,368","40,110","19,373",Jan 24 06:04 PM
Crockett John R III,President of a PPL Subsidiary,2022-01-23,Option Exercise,29.32,"1,232","36,122","11,808",Jan 24 06:06 PM
Raymond Stephanie R,President of a PPL Subsidiary,2022-01-23,Option Exercise,29.32,"1,147","33,630","24,329",Jan 24 06:11 PM
Bonenberger David J,President of a PPL Subsidiary,2022-01-23,Option Exercise,29.32,"1,118","32,780","35,724",Jan 24 06:05 PM
Bonenberger David J,President of a PPL Subsidiary,2022-01-04,Option Exercise,26.59,"29,080","773,237","63,686",Jan 06 04:18 PM
Bonenberger David J,President of a PPL Subsidiary,2022-01-04,Sale,30.00,"29,080","872,400","34,606",Jan 06 04:18 PM
Raymond Stephanie R,President of a PPL Subsidiary,2022-01-03,Option Exercise,26.59,"18,580","494,042","41,762",Jan 04 04:32 PM
Raymond Stephanie R,President of a PPL Subsidiary,2022-01-03,Sale,29.31,"18,580","544,580","23,182",Jan 04 04:32 PM
Bergstein Joseph P Jr,EVP and CFO,2022-08-26,Option Exercise,26.59,"20,645","548,951","52,114",Aug 30 04:16 PM
Bergstein Joseph P Jr,EVP and CFO,2022-08-26,Sale,30.41,"20,645","627,814","31,469",Aug 30 04:16 PM
Sorgi Vincent,President and CEO,2022-08-12,Option Exercise,26.59,"27,600","733,884","139,062",Aug 15 04:51 PM
Sorgi Vincent,President and CEO,2022-08-12,Sale,30.00,"27,600","828,000","111,462",Aug 15 04:51 PM
Sorgi Vincent,President and CEO,2022-07-29,Option Exercise,26.59,"27,553","732,634","139,015",Aug 01 04:27 PM
Henninger Tadd J,VP-Finance and Treasurer,2022-07-29,Option Exercise,29.08,69,"2,014","13,352",Aug 01 04:26 PM
Sorgi Vincent,President and CEO,2022-07-29,Sale,29.0,"27,553","799,037","111,462",Aug 01 04:27 PM
Bonenberger David J,President of a PPL Subsidiary,2022-07-08,Option Exercise,25.22,477,"12,030","34,943",Jul 12 04:03 PM
Bonenberger David J,President of a PPL Subsidiary,2022-07-08,Sale,27.1,477,"12,927","34,466",Jul 12 04:03 PM
Bergstein Joseph P Jr,EVP and CFO,2022-07-05,Option Exercise,27.76,21,569,"31,478",Jul 06 04:07 PM
Sorgi Vincent,President and CEO,2022-07-05,Option Exercise,27.76,10,279,"111,467",Jul 06 04:09 PM
Sorgi Vincent,President and CEO,2022-07-01,Option Exercise,27.76,"1,238","34,367","111,999",Jul 06 04:09 PM
