Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SULLIVAN ANDREW F,Executive Vice President,2022-03-03,Sale,99.20,"4,126","409,299","12,241",Mar 06 03:13 PM
GOODMAN STACEY,Executive Vice President,2022-02-28,Option Exercise,0.00,"3,593",0,"10,479",Mar 02 04:03 PM
Feeney Caroline,Executive Vice President,2022-02-28,Option Exercise,0.00,"3,944",0,"13,204",Mar 02 04:00 PM
FALZON ROBERT,EVP and Vice Chairman,2022-02-28,Option Exercise,0.00,"16,079",0,"145,454",Mar 02 03:55 PM
Axel Robert,SVP and Controller,2022-02-28,Option Exercise,0.00,"1,437",0,"9,559",Mar 02 03:52 PM
Alziari Lucien,Executive Vice President,2022-02-28,Option Exercise,0.00,"4,020",0,"30,069",Mar 02 03:49 PM
TANJI KENNETH,EVP and CFO,2022-02-28,Option Exercise,0.00,"6,156",0,"48,347",Mar 02 05:53 PM
Woods Candace,Senior Vice President,2022-02-28,Option Exercise,0.00,"1,129",0,"16,643",Mar 02 05:34 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-28,Option Exercise,0.00,"7,525",0,"17,756",Mar 02 05:32 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-28,Option Exercise,0.00,"3,489",0,"23,572",Mar 02 05:31 PM
Lowrey Charles F,Chief Executive Officer,2022-02-28,Option Exercise,0.00,"20,149",0,"125,220",Mar 02 05:29 PM
KAPPLER ANN M,EVP and General Counsel,2022-02-28,Option Exercise,0.00,"3,439",0,"14,342",Mar 02 05:26 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-17,Sale,100.95,"11,405","1,151,335","12,300",Feb 22 03:02 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-14,Option Exercise,0.00,"7,869",0,"23,967",Feb 16 04:44 PM
Lowrey Charles F,Chief Executive Officer,2022-02-14,Option Exercise,0.00,"46,648",0,"133,964",Feb 16 04:41 PM
KAPPLER ANN M,EVP and General Counsel,2022-02-14,Option Exercise,0.00,"3,373",0,"13,152",Feb 16 04:38 PM
GOODMAN STACEY,Executive Vice President,2022-02-14,Option Exercise,0.00,"10,680",0,"11,910",Feb 16 04:36 PM
Feeney Caroline,Executive Vice President,2022-02-14,Option Exercise,0.00,"7,869",0,"12,995",Feb 16 04:34 PM
FALZON ROBERT,EVP and Vice Chairman,2022-02-14,Option Exercise,0.00,"37,093",0,"153,768",Feb 16 04:32 PM
Axel Robert,SVP and Controller,2022-02-14,Option Exercise,0.00,"3,935",0,"9,742",Feb 16 04:30 PM
Alziari Lucien,Executive Vice President,2022-02-14,Option Exercise,0.00,"12,646",0,"31,250",Feb 16 04:26 PM
Woods Candace,Senior Vice President,2022-02-14,Option Exercise,0.00,"3,092",0,"16,887",Feb 16 04:52 PM
TANJI KENNETH,EVP and CFO,2022-02-14,Option Exercise,0.00,"14,614",0,"50,026",Feb 16 04:50 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-14,Option Exercise,0.00,"18,547",0,"30,848",Feb 16 04:47 PM
SCOVANNER DOUGLAS A,Director,2022-01-06,Option Exercise,0.00,"1,693",0,"16,091",Jan 10 05:39 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-12-14,Sale,103.55,"2,000","207,100","16,198",Dec 16 11:21 AM
KAPPLER ANN M,EVP and General Counsel,2022-11-22,Option Exercise,78.15,"1,739","135,899","11,295",Nov 23 09:39 AM
KAPPLER ANN M,EVP and General Counsel,2022-11-22,Sale,108.62,"3,609","392,024","9,779",Nov 23 09:39 AM
PRUDENTIAL FINANCIAL INC,10% Owner,2022-11-17,Buy,35.00,"285,715","10,000,025","285,715",Nov 21 03:24 PM
PRUDENTIAL FINANCIAL INC,10% Owner,2022-11-17,Buy,30.00,"166,667","5,000,010","166,667",Nov 21 05:03 PM
Axel Robert,SVP and Controller,2022-11-15,Option Exercise,69.28,"6,394","442,988","9,171",Nov 17 04:33 PM
Axel Robert,SVP and Controller,2022-11-15,Sale,109.06,"11,578","1,262,751","4,691",Nov 17 04:33 PM
SULLIVAN ANDREW F,Executive Vice President,2022-11-01,Sale,105.99,"1,317","139,589","12,301",Nov 02 03:46 PM
