Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sorensen Vagn O,Director,2022-03-06,Sale,74.36,"6,000","446,149","29,265",Mar 08 04:51 PM
Wilhelmsen Arne Alexander,Director,2022-12-13,Sale,58.19,"13,600","791,421","21,064,632",Dec 15 04:51 PM
Wilhelmsen Arne Alexander,Director,2022-12-12,Sale,57.00,"78,927","4,498,973","21,078,232",Dec 12 06:26 PM
Wilhelmsen Arne Alexander,Director,2022-12-08,Sale,58.00,"9,762","566,196","21,157,159",Dec 12 06:26 PM
Wilhelmsen Arne Alexander,Director,2022-12-05,Sale,60.24,"396,990","23,912,851","21,166,921",Dec 05 05:33 PM
Wilhelmsen Arne Alexander,Director,2022-12-02,Sale,60.49,"398,698","24,116,644","21,563,911",Dec 05 05:33 PM
Wilhelmsen Arne Alexander,Director,2022-12-01,Sale,61.23,"522,289","31,982,106","21,962,609",Dec 05 05:33 PM
Sorensen Vagn O,Director,2022-06-09,Buy,53.73,"2,785","149,638","32,583",Jun 10 04:36 PM
Bayley Michael W,"Pres& CEO,Royal Caribbean Intl",2022-03-29,Sale,80.0,"3,637","290,960","116,951",Mar 31 04:33 PM
Bayley Michael W,"Pres& CEO,Royal Caribbean Intl",2022-03-25,Sale,77.02,"3,859","297,222","120,588",Mar 28 05:14 PM
Bayley Michael W,"Pres& CEO,Royal Caribbean Intl",2022-02-15,Sale,85.92,"2,529","217,286","133,724",Feb 17 04:35 PM
Lutoff-Perlo Lisa,"Pres & CEO, Celebrity Cruises",2022-02-10,Sale,87.93,"10,435","917,565","75,318",Feb 14 06:58 PM
Bayley Michael W,"Pres& CEO,Royal Caribbean Intl",2022-02-10,Sale,88.11,"16,904","1,489,386","136,253",Feb 14 06:57 PM
Lutoff-Perlo Lisa,"Pres & CEO, Celebrity Cruises",2021-10-11,Sale,87.45,"2,591","226,584","64,039",Oct 12 08:22 PM
Lutoff-Perlo Lisa,"Pres & CEO, Celebrity Cruises",2021-09-13,Sale,80.96,"5,080","411,296","68,311",Sep 15 05:01 PM
