Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Esty Benjamin,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"25,884",Feb 27 01:26 PM
Johnson Gordon L,Director,2022-02-23,Option Exercise,0.00,"2,174",0,"38,361",Feb 27 01:25 PM
STORY SUSAN N,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"46,221",Feb 27 12:09 PM
Gates Anne,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"10,938",Feb 27 11:48 AM
DEBEL MARLENE,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"4,213",Feb 27 11:19 AM
MCGEARY RODERICK C,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"18,444",Feb 27 02:04 PM
DUTKOWSKY ROBERT M,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"9,506",Feb 27 04:59 PM
Edwards Jeffrey N,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"26,934",Feb 27 05:00 PM
Seshadri Raj,Director,2022-02-23,Option Exercise,0.00,"1,683",0,"7,872",Feb 27 05:00 PM
Perry Jodi,"President, ICD for RJFS",2022-02-06,Sale,112.30,"6,343","712,319","7,150",Feb 08 07:39 AM
Raney Steven M,President & CEO RJBank,2022-12-15,Sale,107.58,"5,577","599,972","56,537",Dec 19 04:02 PM
REILLY PAUL C,Chair & CEO,2022-12-14,Sale,111.27,"24,016","2,672,330","267,499",Dec 15 05:30 PM
REILLY PAUL C,Chair & CEO,2022-12-13,Option Exercise,0.00,"38,736",0,"305,847",Dec 15 05:30 PM
Catanese George,Chief Risk Officer,2022-12-13,Option Exercise,0.00,"1,031",0,"12,758",Dec 15 05:16 PM
Allaire Bella Loykhter,Executive Vice President-RJA,2022-12-13,Option Exercise,0.00,"4,019",0,"84,718",Dec 15 05:12 PM
JAMES THOMAS A,Chairman Emeritus,2022-12-13,Option Exercise,0.00,824,0,"17,604,604",Dec 15 05:11 PM
Curtis Scott A,"President, PCG",2022-12-13,Option Exercise,0.00,"3,606",0,"171,964",Dec 15 04:56 PM
Perry Jodi,"President, ICD for RJFS",2022-12-13,Option Exercise,0.00,453,0,"13,847",Dec 14 02:13 PM
Santelli Jonathan N,"EVP, Gen Counsel, Secy",2022-12-13,Option Exercise,0.00,"1,319",0,"17,337",Dec 15 04:49 PM
Carter Horace,"President, Fixed Income",2022-12-13,Option Exercise,0.00,549,0,"23,373",Dec 15 04:27 PM
Raney Steven M,President & CEO RJBank,2022-12-13,Option Exercise,0.00,"1,979",0,"62,846",Dec 15 03:31 PM
Aisenbrey Christopher S,Chief Human Resources Officer,2022-12-13,Option Exercise,0.00,183,0,"5,991",Dec 15 03:45 PM
Dowdle Jeffrey A,COO & Head of Asset Mgmt.,2022-12-13,Option Exercise,0.00,"3,606",0,"55,968",Dec 15 03:44 PM
