Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WALLMAN RICHARD F,Director,2022-02-14,Buy,424.95,"1,000","424,950","1,000",Feb 15 04:26 PM
HUNN LAURENCE NEIL,President and CEO,2022-01-10,Option Exercise,115.22,"5,000","576,100","117,048",Jan 12 04:14 PM
HUNN LAURENCE NEIL,President and CEO,2022-01-10,Sale,443.57,"5,000","2,217,826","112,048",Jan 12 04:14 PM
WRIGHT CHRISTOPHER,Director,2022-12-14,Sale,438.24,416,"182,308","38,708",Dec 16 05:56 PM
JOHNSON ROBERT D,Director,2022-12-01,Sale,442.12,250,"110,530","6,403",Dec 02 04:06 PM
Crisci Robert,Executive VP and CFO,2022-11-21,Sale,435.45,"6,000","2,612,726","30,887",Nov 23 04:14 PM
Crisci Robert,Executive VP and CFO,2022-11-16,Option Exercise,192.81,"32,000","6,169,820","68,887",Nov 18 04:20 PM
Crisci Robert,Executive VP and CFO,2022-11-16,Sale,431.70,"32,000","13,814,551","36,887",Nov 18 04:20 PM
WALLMAN RICHARD F,Director,2022-11-04,Buy,390.00,"1,000","390,000","46,409",Nov 07 04:05 PM
JOHNSON ROBERT D,Director,2022-09-01,Sale,398.39,250,"99,598","6,653",Sep 02 04:11 PM
JOHNSON ROBERT D,Director,2022-06-01,Sale,443.69,250,"110,922","5,869",Jun 02 04:14 PM
JOHNSON ROBERT D,Director,2022-03-01,Sale,449.21,250,"112,302","6,119",Mar 03 06:14 AM
WALLMAN RICHARD F,Director,2021-12-15,Sale,474.0,"1,000","474,000","44,375",Dec 17 04:17 PM
WALLMAN RICHARD F,Director,2021-12-14,Sale,475.5,500,"237,750",0,Dec 14 04:32 PM
WALLMAN RICHARD F,Director,2021-12-14,Sale,475.5,"1,250","594,375","45,375",Dec 14 04:32 PM
WALLMAN RICHARD F,Director,2021-12-13,Sale,475.5,"2,000","951,000","46,625",Dec 14 04:32 PM
JOHNSON ROBERT D,Director,2021-12-01,Sale,468.37,500,"234,185","6,369",Dec 02 05:15 PM
Stipancich John K,"Executive VP, GC & Secretary",2021-11-19,Option Exercise,228.84,"1,000","228,840","32,436",Nov 22 04:44 PM
Stipancich John K,"Executive VP, GC & Secretary",2021-11-19,Sale,500.0,"1,000","500,000","31,436",Nov 22 04:44 PM
JOHNSON ROBERT D,Director,2021-09-01,Sale,483.35,500,"241,674","6,869",Sep 02 05:02 PM
