Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
DelGhiaccio Brian M,EVP Chief Financial Officer,2022-02-23,Option Exercise,0.00,833,0,"10,434",Feb 27 05:40 PM
GOEBEL BRIAN A,CAO,2022-02-23,Option Exercise,0.00,5,0,"6,542",Feb 27 05:34 PM
Hodges Amanda,"EVP, Chief Marketing Officer",2022-02-23,Option Exercise,0.00,"2,388",0,"7,761",Feb 27 05:32 PM
Stuart Timothy E,COO,2022-02-23,Option Exercise,0.00,"2,171",0,"30,309",Feb 27 05:29 PM
Ellingsen Catharine D,EVP/Chief Legal Officer/Sec,2022-02-23,Option Exercise,0.00,"1,664",0,"36,769",Feb 27 05:26 PM
Vander Ark Jon,CEO and President,2022-02-23,Option Exercise,0.00,"2,895",0,"66,840",Feb 27 05:25 PM
Bales Brian A,"EVP, Chief Development Officer",2022-02-23,Option Exercise,0.00,47,0,"20,331",Feb 27 05:22 PM
Kirk Jennifer M,Director,2022-02-21,Buy,129.60,"1,000","129,600","4,449",Feb 23 05:32 PM
Duffy Michael A,Director,2022-02-21,Buy,130.56,385,"50,266",385,Feb 23 05:26 PM
GOEBEL BRIAN A,CAO,2022-02-14,Option Exercise,0.00,6,0,"6,192",Feb 16 06:29 PM
Ellingsen Catharine D,EVP/Chief Legal Officer/Sec,2022-02-14,Option Exercise,0.00,"1,464",0,"33,219",Feb 16 06:25 PM
DelGhiaccio Brian M,EVP Chief Financial Officer,2022-02-14,Option Exercise,0.00,680,0,"8,039",Feb 16 06:21 PM
Bales Brian A,"EVP, Chief Development Officer",2022-02-14,Option Exercise,0.00,981,0,"20,712",Feb 16 06:18 PM
Stuart Timothy E,COO,2022-02-14,Option Exercise,0.00,"1,960",0,"24,183",Feb 16 06:15 PM
Vander Ark Jon,CEO and President,2022-02-14,Option Exercise,0.00,"2,092",0,"58,997",Feb 16 06:11 PM
Ellingsen Catharine D,EVP/Chief Legal Officer/Sec,2022-02-11,Option Exercise,0.00,"1,235",0,"32,119",Feb 14 05:31 PM
DelGhiaccio Brian M,EVP Chief Financial Officer,2022-02-11,Option Exercise,0.00,633,0,"7,551",Feb 14 05:29 PM
Bales Brian A,"EVP, Chief Development Officer",2022-02-11,Option Exercise,0.00,27,0,"19,758",Feb 14 05:25 PM
GOEBEL BRIAN A,CAO,2022-02-11,Option Exercise,0.00,12,0,"6,198",Feb 14 05:22 PM
Hodges Amanda,"EVP, Chief Marketing Officer",2022-02-11,Option Exercise,0.00,686,0,"3,398",Feb 14 05:20 PM
Liddell Katrina,"EVP, Chief Commercial Officer",2022-02-11,Option Exercise,0.00,633,0,"2,152",Feb 14 05:17 PM
Stuart Timothy E,COO,2022-02-11,Option Exercise,0.00,"1,583",0,"22,652",Feb 14 05:14 PM
Vander Ark Jon,CEO and President,2022-02-11,Option Exercise,0.00,"3,589",0,"57,869",Feb 14 05:10 PM
GOEBEL BRIAN A,CAO,2022-02-08,Option Exercise,0.00,24,0,"6,210",Feb 10 04:28 PM
DelGhiaccio Brian M,EVP Chief Financial Officer,2022-02-08,Option Exercise,0.00,57,0,"6,975",Feb 10 04:25 PM
Bales Brian A,"EVP, Chief Development Officer",2022-02-08,Option Exercise,0.00,96,0,"19,827",Feb 10 04:23 PM
Stuart Timothy E,COO,2022-02-08,Option Exercise,0.00,"1,955",0,"21,630",Feb 10 04:21 PM
Ellingsen Catharine D,EVP/Chief Legal Officer/Sec,2022-02-08,Option Exercise,0.00,"1,744",0,"31,436",Feb 10 04:18 PM
Vander Ark Jon,CEO and President,2022-02-08,Option Exercise,0.00,"2,353",0,"54,924",Feb 10 04:15 PM
Weymouth Katharine,Director,2022-01-31,Option Exercise,0.00,"3,456",0,"4,304",Feb 01 06:24 PM
Snee James P,Director,2022-01-31,Option Exercise,0.00,"2,702",0,"7,727",Feb 01 06:22 PM
Pegula Kim S,Director,2022-01-31,Option Exercise,0.00,"2,702",0,"11,362",Feb 01 06:19 PM
LARSON MICHAEL,Director,2022-01-31,Option Exercise,0.00,"2,702",0,"52,215",Feb 01 06:17 PM
Vander Ark Jon,CEO and President,2022-08-08,Sale,142.49,"14,100","2,009,080","59,619",Aug 10 06:32 PM
Liddell Katrina,"EVP, Chief Commercial Officer",2022-07-30,Option Exercise,0.0,"1,285",0,"1,921",Aug 01 05:14 PM
Vander Ark Jon,CEO and President,2022-06-25,Option Exercise,0.0,932,0,"74,125",Jun 27 07:05 PM
