Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Adest Meir,Chief Product Officer,2022-02-15,Sale,316.57,"5,000","1,582,841","139,068",Feb 16 03:00 PM
Adest Meir,Chief Product Officer,2022-01-17,Sale,315.96,"5,000","1,579,813","140,485",Jan 20 03:30 PM
Adest Meir,Chief Product Officer,2022-12-15,Option Exercise,49.34,"1,180","58,218","155,938",Dec 19 03:31 PM
Adest Meir,Chief Product Officer,2022-12-15,Sale,330.20,"5,000","1,650,995","150,938",Dec 19 03:31 PM
Bechor Uri,Chief Operating Officer,2022-12-14,Option Exercise,101.81,"2,287","232,839","28,122",Dec 16 03:30 PM
Bechor Uri,Chief Operating Officer,2022-12-14,Sale,340.00,"8,716","2,963,440","19,406",Dec 16 03:30 PM
Lando Zvi,CEO,2022-12-01,Sale,295.98,63,"18,647","45,231",Dec 05 03:12 PM
Adest Meir,"VP, Core Technologies",2022-12-01,Sale,295.98,63,"18,647","154,748",Dec 05 03:10 PM
Bechor Uri,Chief Operating Officer,2022-12-01,Sale,295.98,63,"18,647","25,835",Dec 05 03:08 PM
Faier Ronen,Chief Financial Officer,2022-12-01,Sale,295.98,63,"18,647","67,368",Dec 05 03:05 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-11-30,Option Exercise,50.43,"1,757","88,598","12,441",Dec 01 03:30 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-11-30,Sale,294.65,"3,218","948,190","9,223",Dec 01 03:30 PM
Adest Meir,"VP, Core Technologies",2022-11-17,Sale,300.29,"2,500","750,725","154,748",Nov 21 03:00 PM
Adest Meir,"VP, Core Technologies",2022-11-15,Sale,290.46,"2,500","726,160","157,248",Nov 16 03:00 PM
Adest Meir,"VP, Core Technologies",2022-11-08,Sale,250.30,"2,500","625,750","159,748",Nov 10 03:00 PM
Adest Meir,"VP, Core Technologies",2022-09-19,Sale,307.75,"5,000","1,538,732","162,248",Sep 21 03:30 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-09-07,Option Exercise,50.39,"1,757","88,532","13,903",Sep 09 03:30 PM
Adest Meir,Chief Product Officer,2022-09-07,Option Exercise,49.82,"1,191","59,338","169,526",Sep 09 03:31 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-09-07,Sale,306.46,"3,219","986,484","10,684",Sep 09 03:30 PM
Adest Meir,Chief Product Officer,2022-09-07,Sale,306.56,"2,278","698,344","167,248",Sep 09 03:31 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-08-31,Option Exercise,50.40,"1,756","88,496","14,337",Sep 02 04:30 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-08-31,Sale,275.82,"2,191","604,314","12,146",Sep 02 04:30 PM
Adest Meir,"VP, Core Technologies",2022-08-08,Sale,312.83,"7,722","2,415,653","168,335",Aug 10 03:30 PM
Adest Meir,"VP, Core Technologies",2022-07-27,Sale,321.08,"6,252","2,007,410","176,057",Jul 29 03:00 PM
Adest Meir,"VP, Core Technologies",2022-07-26,Sale,300.68,"1,352","406,519","182,309",Jul 28 03:00 PM
Adest Meir,Chief Product Officer,2022-06-28,Sale,300.27,96,"28,826","183,661",Jun 29 03:00 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-06-27,Sale,301.58,"1,900","573,002","12,581",Jun 29 03:01 PM
Adest Meir,Chief Product Officer,2022-06-27,Sale,301.58,"2,300","693,639","183,757",Jun 29 03:00 PM
Adest Meir,Chief Product Officer,2022-06-13,Option Exercise,49.78,"1,190","59,237","191,057",Jun 14 02:51 PM
Adest Meir,Chief Product Officer,2022-06-13,Sale,263.61,"5,000","1,318,045","186,057",Jun 14 02:51 PM
Adest Meir,"VP, Core Technologies",2022-06-02,Sale,301.54,"5,000","1,507,677","189,867",Jun 07 03:00 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-06-01,Sale,273.61,61,"16,690","14,481",Jun 06 03:09 PM
Adest Meir,"VP, Core Technologies",2022-06-01,Sale,273.61,61,"16,690","199,867",Jun 06 03:07 PM
Lando Zvi,CEO,2022-06-01,Sale,273.61,61,"16,690","45,231",Jun 06 03:06 PM
Bechor Uri,Chief Operating Officer,2022-06-01,Sale,273.61,61,"16,690","25,835",Jun 06 03:04 PM
Faier Ronen,Chief Financial Officer,2022-06-01,Sale,273.61,61,"16,690","67,368",Jun 06 03:01 PM
Adest Meir,"VP, Core Technologies",2022-05-16,Sale,226.08,"5,000","1,130,399","194,867",May 18 03:31 PM
Adest Meir,"VP, Core Technologies",2022-04-18,Sale,301.59,"10,000","3,015,869","199,867",Apr 20 04:02 PM
Lando Zvi,CEO,2022-03-29,Option Exercise,23.41,"19,399","454,151","64,630",Mar 31 04:30 PM
Lando Zvi,CEO,2022-03-29,Sale,331.08,"19,399","6,422,629","45,231",Mar 31 04:30 PM
Lando Zvi,CEO,2022-03-28,Sale,333.99,"25,800","8,616,929","45,231",Mar 31 04:30 PM
Adest Meir,Chief Product Officer,2022-03-21,Option Exercise,62.84,"4,948","310,912","219,867",Mar 23 04:01 PM
Adest Meir,Chief Product Officer,2022-03-21,Sale,310.63,"10,000","3,106,316","209,867",Mar 23 04:01 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-02-28,Option Exercise,34.83,"3,994","139,122","21,296",Mar 02 03:00 PM
Adest Meir,Chief Product Officer,2022-02-28,Sale,308.91,"1,431","442,049","214,919",Mar 02 03:03 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-02-28,Sale,308.84,"6,815","2,104,752","14,481",Mar 02 03:00 PM
Adest Meir,Chief Product Officer,2022-02-01,Sale,240.2,"8,569","2,058,250","217,083",Feb 03 03:30 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-01-03,Option Exercise,101.81,"2,669","271,731","21,002",Jan 05 03:01 PM
Adest Meir,"VP, Core Technologies",2022-01-03,Sale,279.79,"10,000","2,797,890","227,217",Jan 05 03:02 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2022-01-03,Sale,279.85,"5,399","1,510,930","15,603",Jan 05 03:01 PM
Adest Meir,"VP, Core Technologies",2021-12-01,Sale,325.12,"10,000","3,251,179","237,217",Dec 02 03:10 PM
Bechor Uri,Chief Operating Officer,2021-12-01,Sale,325.64,49,"15,956","23,569",Dec 02 03:08 PM
Faier Ronen,Chief Financial Officer,2021-12-01,Sale,325.64,49,"15,956","65,102",Dec 02 03:07 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2021-12-01,Sale,325.64,49,"15,956","19,957",Dec 02 03:04 PM
Lando Zvi,CEO,2021-12-01,Sale,325.64,49,"15,956","66,554",Dec 02 03:02 PM
Adest Meir,"VP, Core Technologies",2021-12-01,Sale,325.64,49,"15,956","247,217",Dec 02 03:01 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2021-11-30,Option Exercise,36.82,"2,120","78,054","22,077",Dec 02 03:12 PM
Prishkolnik Rachel,"VP,GC&Corporate Secretary",2021-11-30,Sale,330.06,"3,744","1,235,745","18,333",Dec 02 03:12 PM
Inbar Doron,Director,2021-11-11,Sale,352.0,"3,000","1,056,000","24,607",Nov 15 03:00 PM
AVERY MORE,Director,2021-11-04,Sale,351.5,"5,100","1,792,670","53,130",Nov 08 04:06 PM
Adest Meir,"VP, Core Technologies",2021-11-01,Sale,360.98,"10,000","3,609,839","250,171",Nov 03 03:54 PM
Galin Yoav,VP Research & Development,2021-10-28,Option Exercise,5.01,"7,700","38,577","105,008",Nov 01 03:53 PM
Galin Yoav,VP Research & Development,2021-10-28,Sale,351.14,"7,700","2,703,762","97,308",Nov 01 03:53 PM
Galin Yoav,VP Research & Development,2021-10-27,Option Exercise,5.01,"2,300","11,523","99,608",Nov 01 03:51 PM
Payne Tal,Director,2021-10-27,Sale,345.06,"25,712","8,872,106","1,895",Nov 01 03:55 PM
