Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kasibhatla Vijay,"Director, M&A",2022-03-03,Sale,55.99,"16,000","895,920","49,378",Mar 07 06:28 PM
Rennick Gavin,President New Energy,2022-01-27,Sale,57.12,"17,550","1,002,456","77,479",Jan 30 04:41 PM
Sonthalia Rajeev,Pres Digital & Integration,2022-01-26,Sale,56.52,"24,150","1,364,915","30,228",Jan 30 04:39 PM
Sonthalia Rajeev,Pres Digital & Integration,2022-01-23,Option Exercise,41.47,"25,808","1,070,258","106,889",Jan 25 04:14 PM
Merad Abdellah,"EVP, Core Services & Equipment",2022-01-23,Sale,57.20,"70,000","4,004,000","204,357",Jan 24 05:06 PM
Sonthalia Rajeev,Pres Digital & Integration,2022-01-23,Sale,56.11,"65,740","3,688,714","54,378",Jan 25 04:14 PM
Fyfe Kevin,VP & Treasurer,2022-01-23,Sale,57.50,"36,850","2,118,875","32,105",Jan 24 05:09 PM
Guild Howard,Chief Accounting Officer,2022-01-23,Sale,56.99,"33,063","1,884,260","35,994",Jan 24 05:08 PM
Rando Bejar Carmen,Chief People Officer,2022-01-20,Option Exercise,0.00,"4,117",0,"22,977",Jan 24 04:56 PM
Rando Bejar Carmen,Chief People Officer,2022-01-19,Option Exercise,0.00,"2,753",0,"19,531",Jan 20 04:58 PM
Prechner Ugo,VP Controller,2022-01-19,Option Exercise,0.00,"2,753",0,"10,645",Jan 20 04:36 PM
Rando Bejar Carmen,Chief People Officer,2022-01-15,Option Exercise,0.00,"7,600",0,"18,398",Jan 17 04:47 PM
Prechner Ugo,VP Controller,2022-01-15,Option Exercise,0.00,"1,150",0,"7,877",Jan 17 04:45 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2022-12-23,Sale,52.52,"10,493","551,071","23,379",Dec 23 07:42 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2022-12-01,Option Exercise,0.00,"34,603",0,"47,489",Dec 02 04:15 PM
Kasibhatla Vijay,"Director, M&A",2022-11-16,Sale,54.15,"14,000","758,100","32,932",Nov 18 05:47 PM
Al Mogharbel Khaled,"EVP, Geographies",2022-11-14,Sale,54.85,"57,467","3,152,122","183,551",Nov 15 05:56 PM
Rennick Gavin,President New Energy,2022-11-11,Option Exercise,41.47,"15,486","642,204","48,051",Nov 15 05:54 PM
Rennick Gavin,President New Energy,2022-11-11,Sale,54.85,"21,368","1,172,012","32,565",Nov 15 05:54 PM
Prechner Ugo,VP Controller,2022-11-08,Sale,54.30,"8,213","445,974","6,727",Nov 10 04:54 PM
Guild Howard,Chief Accounting Officer,2022-11-07,Sale,53.00,"20,053","1,062,809","35,994",Nov 08 05:35 PM
Fyfe Kevin,VP & Treasurer,2022-11-07,Sale,53.00,"6,095","323,035","35,535",Nov 08 05:33 PM
SCHLUMBERGER LIMITED/NV,10% Owner,2022-10-24,Sale,15.33,"12,367,500","189,593,775","10,701,961",Oct 26 04:12 PM
Sonthalia Rajeev,Pres Digital & Integration,2022-10-16,Option Exercise,0.00,"18,750",0,"43,979",Oct 18 06:27 PM
Fyfe Kevin,VP & Treasurer,2022-10-16,Option Exercise,0.00,"11,250",0,"46,057",Oct 18 06:23 PM
Guild Howard,Chief Accounting Officer,2022-10-16,Option Exercise,0.00,"11,250",0,"60,474",Oct 18 06:21 PM
SCHLUMBERGER LIMITED/NV,10% Owner,2022-06-08,Sale,17.0,"12,032,500","204,552,500","23,069,461",Jun 10 05:02 PM
Rennick Gavin,President New Energy,2022-05-26,Sale,46.7,"10,759","502,424","38,044",May 31 05:31 PM
Beumelburg Katharina,Chief Sustainability Officer,2022-05-19,Sale,40.28,"4,200","169,197",519,May 23 05:11 PM
Beumelburg Katharina,Chief Sustainability Officer,2022-05-17,Option Exercise,0.0,"8,270",0,"8,646",May 19 04:50 PM
Kasibhatla Vijay,"Director, M&A",2022-05-06,Sale,43.32,"20,000","866,460","46,529",May 10 04:26 PM
SCHLUMBERGER LIMITED/NV,10% Owner,2022-05-03,Sale,15.5,"14,500,000","224,750,000","35,101,961",May 05 09:30 AM
Chereque Pierre,"VP, Director of Tax",2022-04-21,Option Exercise,0.0,"1,336",0,"123,826",Apr 21 09:09 PM
Gharbi Hinda,"EVP, Services & Equipment",2022-04-17,Option Exercise,0.0,"36,630",0,"296,283",Apr 19 04:45 PM
Al Mogharbel Khaled,"EVP, Geographies",2022-04-17,Option Exercise,0.0,"48,840",0,"260,237",Apr 19 04:44 PM
Jaramillo Claudia,"VP, Treasurer",2022-03-30,Sale,43.0,"11,628","500,004","41,483",Mar 31 04:52 PM
Fyfe Kevin,VP Controller,2022-03-02,Sale,38.5,"20,708","797,299","33,168",Mar 04 04:51 PM
Chereque Pierre,"VP, Director of Tax",2022-02-17,Sale,41.03,"10,000","410,323","120,452",Feb 22 05:12 PM
Al Mogharbel Khaled,"EVP, Geographies",2022-02-15,Sale,39.64,"29,366","1,164,068","205,751",Feb 17 04:50 PM
Chereque Pierre,"VP, Director of Tax",2022-02-02,Sale,39.31,"8,249","324,268","130,452",Feb 04 05:01 PM
Guild Howard,Chief Accounting Officer,2022-01-26,Sale,39.02,"25,500","995,010","47,988",Jan 28 11:31 AM
Chereque Pierre,"VP, Director of Tax",2022-01-19,Option Exercise,0.0,400,0,"92,355",Jan 21 08:17 PM
Gharbi Hinda,"EVP, Services & Equipment",2022-01-19,Option Exercise,0.0,"1,500",0,"130,762",Jan 21 08:14 PM
Rennick Gavin,"VP, Human Resources",2022-01-16,Option Exercise,0.0,"6,720",0,"17,557",Jan 19 08:39 PM
Pafitis Demosthenis,Chief Technology Officer,2022-01-16,Option Exercise,0.0,"6,720",0,"20,413",Jan 19 08:34 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2021-12-08,Sale,31.04,"12,885","399,963","12,886",Dec 09 02:17 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2021-12-01,Option Exercise,0.0,"34,603",0,"34,603",Dec 03 12:52 PM
