Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
DAVIS MARTIN BERNARD,EVP and CIO,2022-03-01,Sale,62.55,"1,601","100,143","75,681",Mar 02 04:32 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-16,Sale,66.60,"1,282","85,381","27,512",Feb 17 05:33 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-13,Option Exercise,0.00,"1,582",0,"29,509",Feb 15 04:55 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-02-13,Option Exercise,0.00,"3,104",0,"151,846",Feb 15 04:50 PM
Tucker Daniel S,Executive Vice President & CFO,2022-02-13,Option Exercise,0.00,"2,561",0,"39,847",Feb 15 04:49 PM
Daiss Ann P,Comptroller,2022-02-13,Option Exercise,0.00,684,0,"20,003",Feb 15 04:47 PM
Peoples James Jeffrey,"Chairman, President & CEO, APC",2022-02-13,Option Exercise,0.00,787,0,"9,690",Feb 15 04:48 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-02-13,Option Exercise,0.00,"1,655",0,"50,339",Feb 15 04:46 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-13,Option Exercise,0.00,"3,410",0,"152,797",Feb 15 04:44 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-02-13,Option Exercise,0.00,"2,853",0,"163,378",Feb 15 04:45 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-02-13,Option Exercise,0.00,"1,612",0,"36,899",Feb 15 04:43 PM
Wilson Anthony L,"President & CEO, MPC",2022-02-13,Option Exercise,0.00,"1,532",0,"78,449",Feb 15 04:42 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-13,Option Exercise,0.00,"3,867",0,"46,592",Feb 15 04:40 PM
Connally Stan W,"Executive Vice President, SCS",2022-02-13,Option Exercise,0.00,"2,243",0,"113,996",Feb 15 04:35 PM
Connally Stan W,"Executive Vice President, SCS",2022-02-11,Option Exercise,0.00,"2,371",0,"95,401",Feb 14 05:35 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-11,Option Exercise,0.00,753,0,"22,812",Feb 14 05:33 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-02-11,Option Exercise,0.00,521,0,"31,980",Feb 14 05:31 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-11,Option Exercise,0.00,"2,023",0,"28,984",Feb 14 05:32 PM
Wilson Anthony L,"President & CEO, MPC",2022-02-11,Option Exercise,0.00,"1,463",0,"66,818",Feb 14 05:30 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-11,Option Exercise,0.00,"3,351",0,"126,261",Feb 14 05:27 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-02-11,Option Exercise,0.00,"2,805",0,"141,471",Feb 14 05:25 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-02-11,Option Exercise,0.00,"1,196",0,"40,566",Feb 14 05:24 PM
Daiss Ann P,Comptroller,2022-02-11,Option Exercise,0.00,672,0,"14,792",Feb 14 05:22 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-02-11,Option Exercise,0.00,"3,053",0,"128,011",Feb 14 05:20 PM
Tucker Daniel S,Executive Vice President & CFO,2022-02-11,Option Exercise,0.00,441,0,"34,321",Feb 14 05:18 PM
Peoples James Jeffrey,"Chairman, President & CEO, APC",2022-02-11,Option Exercise,0.00,754,0,"3,717",Feb 14 05:19 PM
FANNING THOMAS A,"President, CEO & Chairman",2022-02-11,Option Exercise,0.00,"15,927",0,"809,460",Feb 14 05:15 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-08,Sale,67.31,852,"57,348","22,059",Feb 09 05:09 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-02-03,Option Exercise,0.00,"1,721",0,"32,381",Feb 07 04:45 PM
Wilson Anthony L,"President & CEO, MPC",2022-02-03,Option Exercise,0.00,"1,714",0,"66,207",Feb 07 04:46 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-03,Option Exercise,0.00,"4,249",0,"28,935",Feb 07 04:43 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-03,Option Exercise,0.00,"1,720",0,"23,779",Feb 07 04:42 PM
Connally Stan W,"Executive Vice President, SCS",2022-02-03,Option Exercise,0.00,"3,015",0,"94,444",Feb 07 04:41 PM
FANNING THOMAS A,"President, CEO & Chairman",2022-02-03,Option Exercise,0.00,"21,216",0,"803,120",Feb 07 04:55 PM
Tucker Daniel S,Executive Vice President & CFO,2022-02-03,Option Exercise,0.00,531,0,"34,149",Feb 07 04:54 PM
Peoples James Jeffrey,"Chairman, President & CEO, APC",2022-02-03,Option Exercise,0.00,890,0,"3,406",Feb 07 04:53 PM
Daiss Ann P,Comptroller,2022-02-03,Option Exercise,0.00,765,0,"14,507",Feb 07 04:52 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-02-03,Option Exercise,0.00,"1,851",0,"40,292",Feb 07 04:51 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-02-03,Option Exercise,0.00,"3,476",0,"126,596",Feb 07 04:50 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-02-03,Option Exercise,0.00,"3,195",0,"140,182",Feb 07 04:48 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-03,Option Exercise,0.00,"3,817",0,"124,603",Feb 07 04:47 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-01-10,Option Exercise,0.00,"14,546",0,"135,332",Jan 11 05:08 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-01-10,Sale,70.95,"14,546","1,032,039","120,786",Jan 11 05:08 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-01-04,Sale,72.03,"1,027","73,975","22,059",Jan 05 04:32 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-12-31,Option Exercise,0.00,"1,880",0,"23,939",Jan 03 04:40 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-12-31,Option Exercise,0.00,"9,889",0,"125,173",Jan 03 04:38 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-12-07,Sale,68.35,"1,475","100,816","38,441",Dec 08 04:18 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-11-10,Option Exercise,44.06,"14,500","638,870","129,784",Nov 14 04:33 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-11-10,Sale,64.74,"14,500","938,730","115,284",Nov 14 04:33 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-10-28,Sale,65.80,"3,050","200,690","39,916",Nov 07 04:49 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-10-10,Option Exercise,44.06,"14,500","638,870","129,784",Oct 11 05:02 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-10-10,Sale,64.52,"14,500","935,540","115,284",Oct 11 05:02 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-09-08,Option Exercise,44.06,"14,500","638,870","129,784",Sep 09 04:48 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-09-08,Sale,79.47,"14,500","1,152,315","115,284",Sep 09 04:48 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-08-10,Option Exercise,44.06,"14,500","638,870","129,784",Aug 11 04:32 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-08-10,Sale,78.37,"14,500","1,136,365","115,284",Aug 11 04:32 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-07-29,Option Exercise,42.16,"25,000","1,054,000","161,987",Aug 01 04:55 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-07-29,Sale,76.0,"25,000","1,900,000","136,987",Aug 01 04:55 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-07-05,Option Exercise,44.06,"14,500","638,870","129,784",Jul 06 04:34 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-07-05,Sale,72.92,"14,500","1,057,340","115,284",Jul 06 04:34 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-06-10,Option Exercise,44.06,"14,500","638,870","129,784",Jun 13 11:37 AM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-06-10,Sale,72.08,"14,500","1,045,160","115,284",Jun 13 11:37 AM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-05-10,Option Exercise,0.0,"14,500",0,"129,784",May 11 04:32 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-05-10,Sale,74.58,"14,500","1,081,410","115,284",May 11 04:32 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-04-08,Option Exercise,0.0,"14,500",0,"129,784",Apr 11 04:47 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-04-08,Option Exercise,0.0,"26,917",0,"57,577",Apr 11 04:49 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-04-08,Sale,75.96,"26,917","2,044,615","30,660",Apr 11 04:49 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-04-08,Sale,75.97,"14,500","1,101,565","115,284",Apr 11 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-04-06,Option Exercise,0.0,"40,419",0,"163,539",Apr 06 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-04-06,Sale,75.3,"40,419","3,043,551","123,120",Apr 06 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-04-05,Option Exercise,0.0,"59,588",0,"164,980",Apr 06 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-04-05,Sale,75.02,"59,588","4,470,356","123,120",Apr 06 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-31,Option Exercise,0.0,"96,990",0,"203,798",Mar 31 04:55 PM
Wilson Anthony L,"President & CEO, MPC",2022-03-31,Sale,73.0,"6,850","500,050","64,493",Apr 01 04:47 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-31,Sale,72.71,"96,990","7,051,944","123,120",Mar 31 04:55 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-30,Option Exercise,0.0,"3,015",0,"124,720",Mar 31 04:55 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-30,Sale,72.5,"3,015","218,588","123,120",Mar 31 04:55 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-25,Option Exercise,0.0,"100,005",0,"205,398",Mar 28 05:44 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-03-25,Sale,70.05,"100,005","7,005,287","123,120",Mar 28 05:44 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-03-21,Option Exercise,0.0,"14,500",0,"129,784",Mar 22 04:39 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-03-21,Sale,68.29,"14,500","990,205","115,284",Mar 22 04:39 PM
Daiss Ann P,Comptroller,2022-03-04,Sale,67.47,"7,500","506,025","13,817",Mar 07 05:14 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-03-01,Sale,64.73,"2,000","129,460","22,059",Mar 02 05:07 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-25,Sale,65.0,"20,656","1,342,640","24,672",Feb 28 04:33 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-23,Sale,63.61,909,"57,821","24,059",Feb 24 04:46 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-16,Sale,65.07,"4,746","308,822","45,328",Feb 18 04:43 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-16,Sale,65.07,874,"56,871","24,968",Feb 18 04:39 PM
FANNING THOMAS A,"President, CEO & Chairman",2022-02-13,Option Exercise,0.0,"20,445",0,"692,433",Feb 15 05:56 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-02-13,Option Exercise,0.0,"1,785",0,"31,335",Feb 15 05:54 PM
Connally Stan W,"Executive Vice President, SCS",2022-02-13,Option Exercise,0.0,"2,905",0,"70,594",Feb 15 05:52 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-13,Option Exercise,0.0,"1,659",0,"19,001",Feb 15 05:51 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-13,Option Exercise,0.0,"4,096",0,"31,276",Feb 15 05:49 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-02-13,Option Exercise,0.0,"1,659",0,"26,333",Feb 15 05:47 PM
Wilson Anthony L,"President & CEO, MPC",2022-02-13,Option Exercise,0.0,"1,654",0,"56,604",Feb 15 05:46 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-13,Option Exercise,0.0,"3,680",0,"89,286",Feb 15 05:45 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-02-13,Option Exercise,0.0,"3,351",0,"92,952",Feb 15 05:43 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-02-13,Option Exercise,0.0,"3,080",0,"108,837",Feb 15 05:44 PM
Crosswhite Mark A.,"Chairman, President & CEO, APC",2022-02-13,Option Exercise,0.0,"4,255",0,"155,020",Feb 15 05:42 PM
FANNING THOMAS A,"President, CEO & Chairman",2022-02-11,Option Exercise,0.0,"34,166",0,"678,949",Feb 14 07:19 PM
Tucker Daniel S,Executive Vice President & CFO,2022-02-11,Option Exercise,0.0,"1,017",0,"29,094",Feb 14 07:18 PM
DAVIS MARTIN BERNARD,EVP and CIO,2022-02-11,Option Exercise,0.0,"2,778",0,"30,070",Feb 14 07:17 PM
Anderson Bryan D,EVP & Pres. External Affairs,2022-02-11,Option Exercise,0.0,"1,208",0,"24,941",Feb 14 07:15 PM
Daiss Ann P,Comptroller,2022-02-11,Option Exercise,0.0,"1,559",0,"14,632",Feb 14 07:14 PM
Cummiskey Christopher,EVP & CCCS Officer,2022-02-11,Option Exercise,0.0,"1,718",0,"17,683",Feb 14 07:13 PM
WOMACK CHRISTOPHER C,"President, GPC",2022-02-11,Option Exercise,0.0,"4,649",0,"28,065",Feb 14 07:10 PM
Connally Stan W,"Executive Vice President, SCS",2022-02-11,Option Exercise,0.0,"5,123",0,"68,702",Feb 14 07:11 PM
Wilson Anthony L,"President & CEO, MPC",2022-02-11,Option Exercise,0.0,"3,396",0,"55,576",Feb 14 07:09 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-11,Option Exercise,0.0,"6,868",0,"87,064",Feb 14 07:08 PM
"Kerr, II James Y","EVP, Chief Legal Officer & CCO",2022-02-11,Option Exercise,0.0,"6,509",0,"106,849",Feb 14 07:07 PM
"Greene Kimberly S,","Chairman, President & CEO, GAS",2022-02-11,Option Exercise,0.0,"7,082",0,"90,935",Feb 14 07:06 PM
Crosswhite Mark A.,"Chairman, President & CEO, APC",2022-02-11,Option Exercise,0.0,"8,994",0,"152,422",Feb 14 07:05 PM
Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear",2022-02-10,Sale,67.8,"2,500","169,500","81,858",Feb 11 05:16 PM
Daiss Ann P,Comptroller,2022-02-03,Option Exercise,0.0,738,0,"13,897",Feb 04 05:31 PM
Tucker Daniel S,Executive Vice President & CFO,2022-02-03,Option Exercise,0.0,513,0,"28,612",Feb 04 04:54 PM
