Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Schaller Bart,See remarks,2022-03-03,Sale,36.25,"11,071","401,324","71,664",Mar 03 06:21 PM
Juel Carol,See remarks,2022-03-03,Sale,36.16,"4,490","162,358","74,443",Mar 03 06:20 PM
Wenzel Brian J. Sr.,See remarks,2022-03-02,Sale,35.48,"70,434","2,498,998","93,371",Mar 03 06:19 PM
MOTHNER JONATHAN S,See remarks,2022-03-02,Sale,35.48,"15,000","532,200","146,881",Mar 03 06:19 PM
Nalluswami Maran,See remarks,2022-03-02,Sale,35.48,"3,768","133,689","27,132",Mar 03 06:20 PM
Casellas Alberto,See remarks,2022-02-27,Sale,36.14,"39,460","1,426,084","70,040",Mar 01 08:12 PM
Juel Carol,See remarks,2022-02-27,Sale,36.14,"27,804","1,004,837","78,933",Mar 01 08:12 PM
Nalluswami Maran,See remarks,2022-02-27,Sale,36.14,"13,350","482,469","30,900",Mar 01 08:11 PM
KEANE MARGARET M,See remarks,2022-11-28,Sale,36.50,"68,369","2,495,468","762,786",Nov 30 04:00 PM
Juel Carol,See remarks,2022-11-11,Sale,40.00,"31,303","1,252,120","55,929",Nov 15 04:26 PM
Schaller Bart,See remarks,2022-11-11,Sale,39.20,"25,900","1,015,280","42,830",Nov 15 04:24 PM
MELITO DAVID P,See remarks,2022-11-10,Option Exercise,24.55,"1,162","28,527","15,841",Nov 15 04:24 PM
MELITO DAVID P,See remarks,2022-11-10,Sale,38.00,"1,162","44,156","14,679",Nov 15 04:24 PM
KEANE MARGARET M,See remarks,2022-06-15,Sale,30.03,"70,000","2,102,100","828,694",Jun 17 04:02 PM
MELITO DAVID P,See remarks,2022-04-18,Sale,40.0,"1,116","44,640","14,404",Apr 20 04:14 PM
MELITO DAVID P,See remarks,2022-03-02,Sale,40.0,"4,141","165,640","16,486",Mar 03 04:20 PM
MOTHNER JONATHAN S,See remarks,2022-03-02,Sale,40.0,"20,000","800,000","126,410",Mar 03 04:19 PM
Casellas Alberto,See remarks,2022-03-01,Sale,42.47,"15,702","666,864","66,939",Mar 03 04:19 PM
Howse Curtis,See remarks,2021-09-01,Option Exercise,27.89,"32,039","893,471","76,049",Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Option Exercise,29.79,"23,534","701,060","72,425",Sep 03 04:53 PM
GREIG HENRY F,See remarks,2021-09-01,Option Exercise,24.06,"21,121","508,277","200,624",Sep 03 04:53 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Option Exercise,23.81,"11,401","271,470","143,699",Sep 03 04:54 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Option Exercise,24.55,"12,771","313,528","175,291",Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Option Exercise,23.0,"39,977","919,471","96,324",Sep 03 04:55 PM
KEANE MARGARET M,See remarks,2021-09-01,Option Exercise,29.33,"118,087","3,463,492","914,287",Sep 03 04:54 PM
KEANE MARGARET M,See remarks,2021-09-01,Sale,49.11,"145,747","7,157,210","768,540",Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Sale,49.09,"39,977","1,962,471","56,347",Sep 03 04:55 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Sale,49.09,"44,731","2,195,845","130,560",Sep 03 04:54 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Sale,49.09,"31,401","1,541,475","117,733",Sep 03 04:54 PM
GREIG HENRY F,See remarks,2021-09-01,Sale,49.09,"21,121","1,036,830","186,112",Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Sale,49.09,"23,534","1,155,284","58,898",Sep 03 04:53 PM
Howse Curtis,See remarks,2021-09-01,Sale,49.09,"42,039","2,063,695","54,197",Sep 03 04:53 PM
