Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SMALL ROBERT J,Director,2022-02-24,Sale,739.22,"4,439","3,281,377","57,599",Feb 28 05:27 PM
Lisman Michael,Chief Financial Officer,2022-02-16,Option Exercise,279.98,"12,400","3,471,697","14,709",Feb 21 11:40 AM
Lisman Michael,Chief Financial Officer,2022-02-16,Sale,749.81,"12,400","9,297,669","2,309",Feb 21 11:40 AM
Howley W Nicholas,Director,2022-02-15,Option Exercise,173.29,"6,500","1,126,385","28,048",Feb 17 09:17 AM
Howley W Nicholas,Director,2022-02-15,Sale,754.78,"6,500","4,906,046","21,548",Feb 17 09:17 AM
SMALL ROBERT J,Director,2022-02-13,Sale,736.22,"147,074","108,278,624","194,689",Feb 13 08:13 PM
Staer John,Director,2022-02-10,Option Exercise,266.47,"4,700","1,252,409","4,791",Feb 14 11:43 AM
SMALL ROBERT J,Director,2022-02-10,Sale,732.43,"183,438","134,354,913","199,037",Feb 13 08:08 PM
Staer John,Director,2022-02-10,Sale,731.34,"4,700","3,437,306",91,Feb 14 11:43 AM
SMALL ROBERT J,Director,2022-02-10,Sale,739.63,"4,555","3,369,000","198,878",Feb 13 08:13 PM
Stein Kevin M,President & CEO,2022-02-09,Option Exercise,173.29,"38,800","6,723,652","38,800",Feb 13 11:19 AM
Valladares Jorge,COO,2022-02-09,Option Exercise,148.45,"32,000","4,750,400","43,000",Feb 13 10:19 AM
Howley W Nicholas,Director,2022-02-09,Option Exercise,207.84,"10,000","2,078,400","31,548",Feb 13 09:31 AM
SMALL ROBERT J,Director,2022-02-09,Sale,756.04,"71,340","53,936,157","205,428",Feb 13 08:08 PM
Stein Kevin M,President & CEO,2022-02-09,Sale,749.50,"38,800","29,080,702",0,Feb 13 11:19 AM
Valladares Jorge,COO,2022-02-09,Sale,755.78,"32,000","24,185,094","11,000",Feb 13 10:19 AM
Howley W Nicholas,Director,2022-02-09,Sale,753.91,"10,000","7,539,095","21,548",Feb 13 09:31 AM
Howley W Nicholas,Director,2022-01-17,Option Exercise,173.29,"6,500","1,126,385","28,048",Jan 18 03:27 PM
Howley W Nicholas,Director,2022-01-17,Sale,685.24,"6,500","4,454,030","21,548",Jan 18 03:27 PM
Valladares Jorge,COO,2022-01-11,Option Exercise,148.45,"20,000","2,969,000","31,000",Jan 13 09:36 AM
Valladares Jorge,COO,2022-01-11,Sale,667.41,"20,000","13,348,134","11,000",Jan 13 09:36 AM
Howley W Nicholas,Director,2022-12-15,Option Exercise,173.29,"6,500","1,126,385","28,048",Dec 19 09:22 AM
Howley W Nicholas,Director,2022-12-15,Sale,620.35,"6,500","4,032,252","21,548",Dec 19 09:22 AM
Dunn Mervin,Director,2022-11-16,Option Exercise,161.17,"4,478","721,719","6,040",Nov 18 08:47 AM
Dunn Mervin,Director,2022-11-16,Sale,612.74,"4,478","2,743,866","1,562",Nov 18 08:47 AM
Howley W Nicholas,Director,2022-11-15,Option Exercise,173.29,"6,500","1,126,385","28,048",Nov 17 01:42 PM
Howley W Nicholas,Director,2022-11-15,Sale,620.35,"6,500","4,032,252","21,548",Nov 17 01:42 PM
Howley W Nicholas,Director,2022-10-17,Option Exercise,111.59,"11,500","1,283,285","33,048",Oct 19 04:06 PM
Howley W Nicholas,Director,2022-10-17,Sale,528.07,"11,500","6,072,851","21,548",Oct 19 04:06 PM
Howley W Nicholas,Director,2022-09-15,Option Exercise,111.59,"11,500","1,283,285","33,048",Sep 19 11:43 AM
Howley W Nicholas,Director,2022-09-15,Sale,592.97,"11,500","6,819,188","21,548",Sep 19 11:43 AM
Staer John,Director,2022-09-07,Option Exercise,207.84,"3,650","758,616","3,741",Sep 08 04:25 PM
Staer John,Director,2022-09-07,Sale,604.28,"3,650","2,205,604",91,Sep 08 04:25 PM
CRONIN JANE M.,Director,2022-08-26,Buy,643.87,9,"5,550",397,Aug 30 09:42 AM
Wynne Sarah,Chief Accounting Officer,2022-08-17,Option Exercise,148.45,"2,250","334,012","2,850",Aug 17 03:30 PM
Wynne Sarah,Chief Accounting Officer,2022-08-17,Sale,670.65,"2,250","1,508,965",600,Aug 17 03:30 PM
Howley W Nicholas,Director,2022-08-15,Option Exercise,130.09,"11,500","1,496,035","33,048",Aug 16 11:34 AM
HENNESSY SEAN P,Director,2022-08-15,Option Exercise,179.67,"4,478","804,562","38,413",Aug 16 01:27 PM
Howley W Nicholas,Director,2022-08-15,Sale,675.31,"11,500","7,766,112","21,548",Aug 16 11:34 AM
HENNESSY SEAN P,Director,2022-08-15,Sale,678.14,"4,478","3,036,731","33,935",Aug 16 01:27 PM
Stein Kevin M,President & CEO,2022-08-11,Option Exercise,661.68,"35,500","23,489,619","35,500",Aug 15 09:09 AM
