Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MEHRABIAN ROBERT,"Chairman, President and CEO",2022-03-07,Option Exercise,94.24,"1,100","103,664","197,152",Mar 07 06:35 PM
MEHRABIAN ROBERT,"Chairman, President and CEO",2022-03-07,Sale,439.08,"1,100","482,984","196,052",Mar 07 06:35 PM
MEHRABIAN ROBERT,"Chairman, President and CEO",2022-03-06,Option Exercise,94.24,"3,400","320,416","199,452",Mar 07 06:35 PM
MEHRABIAN ROBERT,"Chairman, President and CEO",2022-03-06,Sale,440.17,"3,400","1,496,584","196,052",Mar 07 06:35 PM
VanWees Jason,Vice Chairman,2022-02-13,Option Exercise,78.40,"5,400","423,360","54,108",Feb 13 04:30 PM
VanWees Jason,Vice Chairman,2022-02-13,Sale,441.83,"5,400","2,385,888","48,708",Feb 13 04:30 PM
Bobb George C III,Senior Vice President,2022-02-02,Option Exercise,123.38,"10,000","1,233,800","20,490",Feb 02 07:51 PM
Blackwood Stephen Finis,Senior VP & Treasurer,2022-02-02,Option Exercise,123.38,"3,333","411,226","15,106",Feb 02 08:07 PM
Bobb George C III,Senior Vice President,2022-02-02,Sale,433.12,"10,000","4,331,248","10,490",Feb 02 07:51 PM
Blackwood Stephen Finis,Senior VP & Treasurer,2022-02-02,Sale,434.00,"3,333","1,446,522","11,773",Feb 02 08:07 PM
CROCKER CHARLES,Director,2022-01-30,Option Exercise,75.13,"3,477","261,227","48,990",Jan 30 06:18 PM
CROCKER CHARLES,Director,2022-01-30,Sale,422.00,"3,477","1,467,294","45,513",Jan 30 06:18 PM
DAHLBERG KENNETH C,Director,2022-01-27,Option Exercise,75.13,"4,000","300,520","22,316",Jan 27 07:49 PM
CROCKER CHARLES,Director,2022-01-27,Option Exercise,75.13,523,"39,293","46,036",Jan 30 06:18 PM
DAHLBERG KENNETH C,Director,2022-01-27,Sale,421.62,"4,000","1,686,480","18,316",Jan 27 07:49 PM
CROCKER CHARLES,Director,2022-01-27,Sale,425.00,523,"222,275","45,513",Jan 30 06:18 PM
