Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-12-12,Sale,121.92,"31,396","3,827,800","54,969",Dec 13 04:12 PM
Jenkins John S,EVP & General Counsel,2022-11-18,Sale,125.85,"2,674","336,516","16,782",Nov 21 04:08 PM
Kroeger Shadrak W,"Pres., Industrial Solutions",2022-11-16,Option Exercise,60.41,"42,150","2,546,327","57,745",Nov 16 04:31 PM
Kroeger Shadrak W,"Pres., Industrial Solutions",2022-11-16,Sale,126.25,"42,150","5,321,438","15,595",Nov 16 04:31 PM
Stucki Aaron Kyle,Pres. Communications Solutions,2022-11-15,Option Exercise,0.00,"4,524",0,"16,865",Nov 16 04:31 PM
TALWALKAR ABHIJIT Y,Director,2022-11-08,Sale,116.95,"1,500","175,432","8,131",Nov 09 04:05 PM
Jenkins John S,EVP & General Counsel,2022-09-12,Option Exercise,0.00,729,0,"19,657",Sep 14 04:02 PM
Jenkins John S,EVP & General Counsel,2022-09-11,Option Exercise,0.00,722,0,"19,128",Sep 14 04:02 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-26,Option Exercise,66.74,"3,000","200,220","57,969",Aug 29 04:09 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-26,Sale,131.85,"3,000","395,550","54,969",Aug 29 04:09 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-25,Option Exercise,66.74,"100,000","6,674,000","154,969",Aug 29 04:09 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-25,Sale,131.46,"100,000","13,145,522","54,969",Aug 29 04:09 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-23,Option Exercise,66.74,"75,000","5,005,500","129,969",Aug 24 04:25 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-23,Sale,130.72,"75,000","9,804,059","54,969",Aug 24 04:25 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-22,Option Exercise,66.74,"21,929","1,463,541","76,898",Aug 24 04:25 PM
Murphy Tim,SVP & CHRO,2022-08-22,Option Exercise,34.05,"4,000","136,200","21,754",Aug 23 04:09 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2022-08-22,Sale,131.75,"21,929","2,889,227","54,969",Aug 24 04:25 PM
Murphy Tim,SVP & CHRO,2022-08-22,Sale,131.13,"4,000","524,500","17,754",Aug 23 04:09 PM
Jenkins John S,EVP & General Counsel,2022-08-03,Sale,131.97,"2,990","394,590","18,406",Aug 04 04:06 PM
LYNCH THOMAS J,Director,2022-05-06,Sale,126.86,"12,600","1,598,499","11,750",May 10 04:13 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-12-27,Sale,159.3,"8,698","1,385,600","28,163",Dec 28 04:23 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-12-09,Sale,158.06,"24,299","3,840,641","54,969",Dec 13 04:41 PM
CALASTRI MARIO,SVP & Treasurer,2021-11-15,Option Exercise,0.0,"8,909",0,"9,721",Nov 17 04:32 PM
RESCH ERIC,Sr VP & Chief Tax Officer,2021-11-15,Option Exercise,0.0,"8,909",0,"46,672",Nov 17 04:32 PM
Ott Robert J,Sr VP & Corporate Controller,2021-11-03,Option Exercise,93.36,"8,737","815,686","29,444",Nov 04 04:59 PM
Ott Robert J,Sr VP & Corporate Controller,2021-11-03,Sale,153.46,"8,737","1,340,745","20,707",Nov 04 04:59 PM
Jenkins John S,EVP & General Counsel,2021-09-21,Option Exercise,0.0,838,0,"17,229",Sep 22 04:15 PM
Jenkins John S,EVP & General Counsel,2021-09-12,Option Exercise,0.0,720,0,"16,699",Sep 13 04:18 PM
Jenkins John S,EVP & General Counsel,2021-09-11,Option Exercise,0.0,712,0,"16,282",Sep 13 04:18 PM
MERKT STEVEN T,"President, Transportation Sol.",2021-08-24,Option Exercise,74.37,"52,280","3,888,199","92,402",Aug 25 04:15 PM
MERKT STEVEN T,"President, Transportation Sol.",2021-08-24,Sale,151.09,"52,280","7,898,985","40,122",Aug 25 04:15 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-08-23,Option Exercise,66.74,"79,100","5,279,134","107,263",Aug 24 04:20 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-08-23,Sale,150.11,"79,100","11,873,701","28,163",Aug 24 04:20 PM
Jenkins John S,EVP & General Counsel,2021-08-11,Option Exercise,76.66,"25,025","1,918,416","40,595",Aug 12 04:11 PM
Jenkins John S,EVP & General Counsel,2021-08-11,Sale,150.47,"25,025","3,765,512","15,570",Aug 12 04:11 PM
Phelan Daniel J,Director,2021-08-10,Buy,150.25,231,"34,708","34,151",Aug 11 04:36 PM
LYNCH THOMAS J,Director,2021-08-05,Option Exercise,66.74,"100,000","6,674,000","208,177",Aug 06 04:10 PM
LYNCH THOMAS J,Director,2021-08-05,Sale,148.31,"100,000","14,830,549","108,177",Aug 06 04:10 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-08-03,Option Exercise,65.95,"111,900","7,379,805","166,869",Aug 04 04:20 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-08-03,Sale,148.65,"111,900","16,634,101","54,969",Aug 04 04:20 PM
Stucki Aaron Kyle,Pres. Communications Solutions,2021-08-02,Option Exercise,65.95,"14,900","982,655","26,796",Aug 03 04:36 PM
Stucki Aaron Kyle,Pres. Communications Solutions,2021-08-02,Sale,150.0,"14,900","2,235,000","11,896",Aug 03 04:36 PM
