Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
CASPER MARC N,Chairman & CEO,2022-02-14,Option Exercise,157.68,"1,600","252,288","130,305",Feb 15 04:20 PM
CASPER MARC N,Chairman & CEO,2022-02-14,Sale,571.96,"1,600","915,132","128,705",Feb 15 04:20 PM
CASPER MARC N,Chairman & CEO,2022-02-13,Option Exercise,157.68,"10,000","1,576,800","138,705",Feb 15 04:20 PM
CASPER MARC N,Chairman & CEO,2022-02-13,Sale,574.48,"10,000","5,744,836","128,705",Feb 15 04:20 PM
CASPER MARC N,Chairman & CEO,2022-02-10,Option Exercise,157.68,"10,000","1,576,800","148,705",Feb 13 04:35 PM
CASPER MARC N,Chairman & CEO,2022-02-10,Sale,569.18,"20,000","11,383,631","128,705",Feb 13 04:35 PM
CASPER MARC N,Chairman & CEO,2022-02-09,Option Exercise,157.68,"10,000","1,576,800","158,705",Feb 13 04:35 PM
CASPER MARC N,Chairman & CEO,2022-02-09,Sale,575.43,"20,000","11,508,662","138,705",Feb 13 04:35 PM
MANZI JIM P,Director,2022-02-03,Sale,584.56,"1,000","584,559","14,807",Feb 07 04:11 PM
Spar Debora L,Director,2022-12-15,Sale,561.39,200,"112,278",979,Dec 16 04:15 PM
Pettiti Gianluca,Executive Vice President,2022-12-14,Sale,569.11,"2,000","1,138,220","14,450",Dec 15 05:39 PM
Pettiti Gianluca,Executive Vice President,2022-12-13,Option Exercise,210.68,"4,975","1,048,133","21,425",Dec 15 05:39 PM
Pettiti Gianluca,Executive Vice President,2022-12-13,Sale,576.84,"4,975","2,869,779","16,450",Dec 15 05:39 PM
CASPER MARC N,Chairman & CEO,2022-11-17,Sale,526.23,"7,500","3,946,723","74,155",Nov 18 04:01 PM
CASPER MARC N,Chairman & CEO,2022-11-16,Sale,536.69,"7,500","4,025,198","81,655",Nov 18 04:01 PM
CASPER MARC N,Chairman & CEO,2022-11-11,Sale,537.87,"10,000","5,378,656","158,005",Nov 14 04:23 PM
CASPER MARC N,Chairman & CEO,2022-11-10,Sale,515.27,"10,000","5,152,744","168,005",Nov 14 04:23 PM
CASPER MARC N,Chairman & CEO,2022-11-07,Option Exercise,129.77,"8,100","1,051,137","186,105",Nov 08 04:57 PM
CASPER MARC N,Chairman & CEO,2022-11-07,Sale,493.16,"8,100","3,994,587","178,005",Nov 08 04:57 PM
CASPER MARC N,Chairman & CEO,2022-11-04,Option Exercise,129.77,"10,000","1,297,700","188,005",Nov 08 04:57 PM
CASPER MARC N,Chairman & CEO,2022-11-04,Sale,488.94,"10,000","4,889,421","178,005",Nov 08 04:57 PM
CASPER MARC N,Chairman & CEO,2022-11-03,Option Exercise,129.77,"10,000","1,297,700","188,005",Nov 04 04:48 PM
CASPER MARC N,Chairman & CEO,2022-11-03,Sale,487.45,"8,200","3,997,056","178,005",Nov 04 04:49 PM
CASPER MARC N,Chairman & CEO,2022-11-03,Sale,480.59,"1,800","865,070","186,205",Nov 04 04:48 PM
CASPER MARC N,Chairman & CEO,2022-11-02,Option Exercise,129.77,"10,000","1,297,700","188,005",Nov 04 04:48 PM
CASPER MARC N,Chairman & CEO,2022-11-02,Sale,503.56,"10,000","5,035,624","178,005",Nov 04 04:48 PM
CASPER MARC N,Chairman & CEO,2022-11-01,Option Exercise,129.77,"10,000","1,297,700","188,005",Nov 02 04:20 PM
CASPER MARC N,Chairman & CEO,2022-11-01,Sale,518.82,"10,000","5,188,198","178,005",Nov 02 04:20 PM
