Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Field Callie R,"President, Business Group",2022-03-06,Sale,141.95,"2,287","324,640","93,916",Mar 07 05:18 PM
Bazzano Dara,SVP & Chief Accounting Officer,2022-03-06,Sale,143.61,"2,212","317,665","9,826",Mar 07 05:21 PM
SIEVERT G MICHAEL,President and CEO,2022-02-28,Sale,143.09,"20,000","2,861,800","537,442",Mar 01 05:24 PM
SIEVERT G MICHAEL,President and CEO,2022-02-27,Sale,144.68,"20,000","2,893,600","557,442",Mar 01 05:24 PM
Katz Michael J.,"President, MIX",2022-02-23,Sale,145.91,"3,500","510,685","130,962",Feb 24 05:15 PM
Field Callie R,"President, Business Group",2022-02-17,Sale,147.08,"15,073","2,216,937","97,688",Feb 17 06:37 PM
Field Callie R,"President, Business Group",2022-02-16,Sale,145.59,"5,381","783,420","112,761",Feb 17 06:37 PM
Taylor Teresa,Director,2022-02-15,Sale,147.63,"11,000","1,623,972","23,202",Feb 17 06:29 PM
SIEVERT G MICHAEL,President and CEO,2022-11-11,Sale,149.96,"20,000","2,999,200","574,472",Nov 14 04:12 PM
SIEVERT G MICHAEL,President and CEO,2022-11-10,Sale,151.89,"20,000","3,037,800","594,472",Nov 14 04:12 PM
Datar Srikant M.,Director,2022-11-04,Sale,147.50,750,"110,625","3,230",Nov 08 04:29 PM
Bazzano Dara,SVP & Chief Accounting Officer,2022-11-01,Sale,153.46,"1,700","260,882","9,551",Nov 03 06:24 PM
Datar Srikant M.,Director,2022-10-31,Sale,150.76,"1,000","150,764","3,980",Nov 01 06:14 PM
Ray Neville R,"President, Technology",2022-10-28,Sale,150.47,"50,000","7,523,535","313,902",Nov 01 06:08 PM
Osvaldik Peter,EVP & CFO,2022-10-28,Sale,150.00,"20,000","3,000,000","71,411",Nov 01 06:09 PM
SIEVERT G MICHAEL,President and CEO,2022-08-11,Sale,145.77,"20,000","2,915,400","614,472",Aug 12 04:36 PM
Field Callie R,"President, Business Group",2022-08-11,Sale,144.00,"6,944","999,936","91,427",Aug 15 06:26 PM
Bazzano Dara,SVP & Chief Accounting Officer,2022-08-11,Sale,143.94,"1,902","273,765","11,251",Aug 15 06:34 PM
Katz Michael J.,Chief Marketing Officer,2022-08-10,Sale,145.06,"22,000","3,191,278","106,077",Aug 12 04:40 PM
SIEVERT G MICHAEL,President and CEO,2022-08-10,Sale,146.92,"20,000","2,938,400","634,472",Aug 12 04:36 PM
Datar Srikant M.,Director,2022-08-10,Sale,145.00,"1,000","145,000","4,980",Aug 12 04:37 PM
Ray Neville R,"President, Technology",2022-08-09,Sale,145.21,"50,000","7,260,280","363,902",Aug 11 06:37 PM
SIEVERT G MICHAEL,President and CEO,2022-05-12,Sale,123.33,"20,000","2,466,600","654,472",May 13 04:08 PM
SIEVERT G MICHAEL,President and CEO,2022-05-11,Sale,121.99,"20,000","2,439,800","674,472",May 13 04:08 PM
Ray Neville R,"President, Technology",2022-02-03,Sale,120.4,"120,000","14,447,436","369,646",Feb 07 05:44 PM
SIEVERT G MICHAEL,President and CEO,2021-11-11,Sale,119.2,"20,000","2,384,000","842,221",Nov 12 05:23 PM
SIEVERT G MICHAEL,President and CEO,2021-11-10,Sale,119.65,"20,000","2,393,000","862,221",Nov 12 05:23 PM
Miller David A,"EVP, General Counsel & Sec.",2021-08-12,Sale,144.96,"3,000","434,880","169,122",Aug 12 06:45 PM
Miller David A,"EVP, General Counsel & Sec.",2021-08-11,Sale,143.31,"3,000","429,930","172,122",Aug 12 06:45 PM
SIEVERT G MICHAEL,President and CEO,2021-08-11,Sale,143.31,"20,000","2,866,200","882,221",Aug 12 06:44 PM
SIEVERT G MICHAEL,President and CEO,2021-08-10,Sale,142.63,"20,000","2,852,600","902,221",Aug 12 06:44 PM
