Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Toczydlowski Gregory C,"EVP & President, Business Ins.",2022-02-23,Sale,184.19,"5,420","998,216","18,416",Feb 24 04:07 PM
Lefebvre Mojgan M,EVP & Chief Tech & Ops Officer,2022-02-23,Sale,183.49,"5,375","986,230",0,Feb 24 04:02 PM
Klenk Jeffrey P.,"EVP & Pres., Bond & Spec. Ins.",2022-02-23,Sale,185.15,"2,132","394,730","6,074",Feb 24 04:05 PM
Kurtzman Diane,EVP & Chief HR Officer,2022-02-14,Option Exercise,106.04,"2,914","309,001","4,649",Feb 15 04:11 PM
Kurtzman Diane,EVP & Chief HR Officer,2022-02-14,Sale,185.01,"2,914","539,113","1,735",Feb 15 04:11 PM
BESSETTE ANDY F,EVP and Chief Admin Officer,2022-02-10,Option Exercise,134.08,"24,443","3,277,397","38,556",Feb 13 04:37 PM
BESSETTE ANDY F,EVP and Chief Admin Officer,2022-02-10,Sale,186.52,"24,443","4,559,174","14,113",Feb 13 04:37 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-02-09,Option Exercise,118.78,"20,000","2,375,600","29,107",Feb 10 04:32 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-02-09,Sale,185.31,"20,000","3,706,211","9,107",Feb 10 04:32 PM
Schnitzer Alan D,Chairman and CEO,2022-02-08,Option Exercise,106.03,"150,829","15,992,399","347,743",Feb 09 04:57 PM
Schnitzer Alan D,Chairman and CEO,2022-02-08,Sale,188.53,"150,829","28,435,685","196,914",Feb 09 04:57 PM
HEYMAN WILLIAM H,Vice Chairman,2022-01-26,Option Exercise,126.18,"9,000","1,135,620","260,605",Jan 30 04:05 PM
HEYMAN WILLIAM H,Vice Chairman,2022-01-26,Sale,191.42,"9,000","1,722,750","251,605",Jan 30 04:05 PM
Yin Daniel Tei-Hwa,EVP & Co-Chief Invest. Officer,2022-11-30,Option Exercise,80.35,"7,317","587,921","53,990",Dec 01 04:04 PM
HEYMAN WILLIAM H,Vice Chairman,2022-11-30,Option Exercise,126.80,"2,000","253,600","253,605",Dec 01 04:07 PM
Yin Daniel Tei-Hwa,EVP & Co-Chief Invest. Officer,2022-11-30,Sale,188.48,"5,234","986,499","48,756",Dec 01 04:04 PM
HEYMAN WILLIAM H,Vice Chairman,2022-11-30,Sale,189.88,"2,000","379,750","251,605",Dec 01 04:07 PM
HEYMAN WILLIAM H,Vice Chairman,2022-11-25,Option Exercise,126.18,"5,000","630,900","256,605",Nov 28 04:35 PM
