Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kersey Melissa,EVP Chief HR Officer,2022-02-16,Sale,237.57,"1,700","403,867","8,051",Feb 17 05:15 PM
Ellison Noni L,SVP General Counsel,2022-02-15,Sale,239.06,"2,325","555,811","1,787",Feb 17 05:09 PM
Rubin Matthew L.,SVP Petsense GM,2022-02-14,Option Exercise,143.18,"1,161","166,232","4,819",Feb 15 05:47 PM
Rubin Matthew L.,SVP Petsense GM,2022-02-14,Sale,237.01,"2,001","474,255","3,658",Feb 15 05:47 PM
Yankee Colin,EVP Supply Chain,2022-02-10,Sale,234.13,"3,650","854,574","9,886",Feb 14 04:51 PM
Barton Kurt D,EVP Chief Financial Officer,2022-02-09,Option Exercise,73.18,"5,000","365,900","47,172",Feb 10 04:57 PM
Lawton III Harry A,President & CEO,2022-02-09,Sale,231.21,"20,067","4,639,691","84,734",Feb 10 04:56 PM
Barton Kurt D,EVP Chief Financial Officer,2022-02-09,Sale,231.21,"10,020","2,316,724","37,152",Feb 10 04:57 PM
Yankee Colin,EVP Supply Chain,2022-02-08,Sale,231.92,653,"151,444","13,536",Feb 10 04:50 PM
Yankee Colin,EVP Supply Chain,2022-02-06,Option Exercise,91.10,"3,776","343,994","14,067",Feb 07 04:45 PM
Yankee Colin,EVP Supply Chain,2022-02-06,Sale,227.99,"4,195","956,418","9,872",Feb 07 04:45 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Option Exercise,143.18,"2,323","332,607","12,614",Feb 07 04:45 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Sale,229.39,"2,323","532,873","10,291",Feb 07 04:45 PM
Barton Kurt D,EVP Chief Financial Officer,2022-11-16,Sale,220.00,"7,257","1,596,540","34,045",Nov 18 04:49 PM
Rubin Matthew L.,SVP Petsense GM,2022-11-09,Sale,204.00,"1,469","299,676","4,238",Nov 14 04:42 PM
Rubin Matthew L.,SVP Petsense GM,2022-11-09,Sale,204.00,31,"6,324",49,Nov 14 04:42 PM
Kersey Melissa,EVP Chief HR Officer,2022-11-01,Option Exercise,147.42,"4,921","725,454","9,494",Nov 03 05:03 PM
Kersey Melissa,EVP Chief HR Officer,2022-11-01,Sale,221.19,"4,921","1,088,476","4,573",Nov 03 05:03 PM
MORRIS EDNA,Director,2022-10-28,Sale,217.27,"3,566","774,785","2,713",Nov 01 05:03 PM
Mills Robert D,EVP Chief Technology Officer,2022-10-26,Option Exercise,143.18,"5,310","760,286","21,447",Oct 28 05:03 PM
Mills Robert D,EVP Chief Technology Officer,2022-10-26,Sale,220.00,"10,512","2,312,640","16,137",Oct 28 05:03 PM
Weikel Mark J,Director,2022-10-24,Sale,207.06,"6,000","1,242,338","8,181",Oct 26 04:55 PM
JAMISON CYNTHIA T,Director,2022-05-18,Sale,207.62,"7,150","1,484,483","17,130",May 20 04:10 PM
JAMISON CYNTHIA T,Director,2022-05-12,Sale,195.1,"5,200","1,014,522","24,280",May 13 04:07 PM
Lawton III Harry A,President & CEO,2022-02-10,Sale,222.35,"20,049","4,457,955","74,964",Feb 11 04:25 PM
Yankee Colin,EVP Supply Chain,2022-02-08,Sale,217.94,"1,213","264,361","7,397",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Option Exercise,90.51,"6,214","562,413","12,830",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Sale,217.64,"6,659","1,449,265","8,610",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Option Exercise,143.18,"2,323","332,607","11,913",Feb 07 06:09 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Sale,219.42,"2,323","509,713","9,590",Feb 07 06:09 PM
Barton Kurt D,EVP Chief Financial Officer,2021-11-16,Sale,225.0,"4,822","1,084,950","32,886",Nov 18 06:36 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Option Exercise,79.14,"10,532","833,505","20,586",Nov 02 06:12 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Sale,215.0,"11,844","2,546,460","15,586",Nov 02 06:12 PM
Kersey Melissa,EVP Chief HR Officer,2021-10-26,Sale,210.01,850,"178,508","3,874",Oct 28 08:04 PM
Barton Kurt D,EVP Chief Financial Officer,2021-09-13,Sale,205.37,"3,527","724,340","38,708",Sep 15 06:30 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Option Exercise,69.16,"17,258","1,193,480","20,523",Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205.0,"1,069","219,145",235,Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205.0,"19,429","3,982,945","8,750",Sep 14 07:34 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198.0,"1,514","299,772",118,Aug 24 05:24 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198.0,"3,786","749,628","9,455",Aug 24 05:24 PM
