Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kirkhorn Zachary,Chief Financial Officer,2022-03-06,Sale,196.72,"10,455","2,056,775","203,073",Mar 07 07:58 PM
Taneja Vaibhav,Chief Accounting Officer,2022-03-06,Sale,195.79,"2,466","482,718","100,458",Mar 07 07:57 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-06,Sale,195.79,"1,298","254,232","65,547",Mar 07 08:01 PM
Taneja Vaibhav,Chief Accounting Officer,2022-03-05,Option Exercise,0.00,"7,138",0,"102,923",Mar 07 07:57 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-05,Option Exercise,0.00,"2,586",0,"66,845",Mar 07 08:01 PM
Kirkhorn Zachary,Chief Financial Officer,2022-03-05,Option Exercise,0.00,"16,867",0,"213,528",Mar 07 07:58 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-02-27,Option Exercise,20.91,"10,500","219,555","74,759",Mar 01 07:29 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-02-27,Sale,202.00,"10,500","2,121,000","64,259",Mar 01 07:29 PM
Kirkhorn Zachary,Chief Financial Officer,2022-02-06,Sale,193.00,"3,750","723,750","196,661",Feb 08 06:14 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Option Exercise,20.91,"10,500","219,555","74,759",Jan 31 07:34 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Sale,162.50,"10,500","1,706,250","64,259",Jan 31 07:34 PM
Kirkhorn Zachary,Chief Financial Officer,2022-01-04,Sale,109.31,"3,752","410,158","200,411",Jan 06 09:33 PM
Kirkhorn Zachary,Chief Financial Officer,2022-12-28,Option Exercise,18.44,"13,500","248,940","204,314",Dec 30 06:15 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-12-27,Option Exercise,20.91,"10,500","219,555","74,759",Dec 29 07:50 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-12-27,Sale,117.50,"10,500","1,233,750","64,259",Dec 29 07:50 PM
Musk Elon,CEO,2022-12-14,Sale,158.37,"6,870,000","1,088,011,570","423,622,432",Dec 14 08:59 PM
Musk Elon,CEO,2022-12-13,Sale,163.83,"11,920,000","1,952,847,111","430,492,432",Dec 14 08:59 PM
Musk Elon,CEO,2022-12-12,Sale,168.55,"3,205,000","540,206,908","442,412,432",Dec 14 08:59 PM
