Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sheresky Michael,Director,2022-02-16,Sale,114.63,162,"18,570","63,182",Feb 16 04:34 PM
Sheresky Michael,Director,2022-11-14,Sale,102.24,149,"15,234","62,337",Nov 16 04:47 PM
Sheresky Michael,Director,2022-08-11,Sale,125.24,167,"20,915","62,042",Aug 15 05:05 PM
Emerson Daniel P,Chief Legal Officer,2022-06-15,Sale,124.23,"3,381","420,028","92,191",Jun 17 04:21 PM
Emerson Daniel P,Chief Legal Officer,2022-06-06,Sale,127.78,"3,125","399,298","95,572",Jun 08 05:48 PM
Slatoff Karl,President,2022-04-13,Sale,138.64,"152,373","21,125,390","437,067",Apr 15 04:17 PM
ZELNICK STRAUSS,"Chairman, CEO",2022-04-13,Sale,138.64,"152,373","21,125,390","437,067",Apr 15 04:16 PM
Sheresky Michael,Director,2021-11-15,Sale,185.11,167,"30,913","61,392",Nov 15 05:45 PM
Emerson Daniel P,Chief Legal Officer,2021-11-09,Sale,189.29,"2,286","432,717","33,387",Nov 10 04:30 PM
Emerson Daniel P,Chief Legal Officer,2021-11-08,Sale,183.98,"2,200","404,756","35,673",Nov 10 04:30 PM
Sheresky Michael,Director,2021-08-12,Sale,159.08,159,"25,294","61,262",Aug 12 05:03 PM
