Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BAHAI AHMAD,Sr. Vice President,2022-02-13,Sale,176.67,"1,200","212,003","30,357",Feb 15 04:41 PM
BLINN MARK A,Director,2022-02-03,Option Exercise,116.51,"2,111","245,945","14,841",Feb 07 05:26 PM
BLINN MARK A,Director,2022-02-03,Sale,181.69,"3,068","557,425","11,773",Feb 07 05:26 PM
CLARK JANET F,Director,2022-11-16,Option Exercise,52.93,"9,990","528,771","18,932",Nov 18 06:04 PM
CLARK JANET F,Director,2022-11-16,Sale,175.16,"9,990","1,749,851","8,942",Nov 18 06:04 PM
BAHAI AHMAD,Sr. Vice President,2022-11-11,Sale,180.01,"1,109","199,635","27,306",Nov 15 08:11 PM
Roberts Mark T.,Sr. Vice President,2022-08-01,Sale,177.50,"2,048","363,527","28,475",Aug 03 05:28 PM
Flessner Kyle M,Sr. Vice President,2022-07-29,Option Exercise,110.15,"43,068","4,743,940","109,890",Aug 02 05:41 PM
PATSLEY PAMELA H,Director,2022-07-29,Option Exercise,44.09,"12,299","542,263","44,387",Aug 02 05:17 PM
Flessner Kyle M,Sr. Vice President,2022-07-29,Option Exercise,110.15,"43,068","4,743,940","109,890",Aug 02 05:41 PM
PATSLEY PAMELA H,Director,2022-07-29,Sale,176.64,"12,299","2,172,465","32,088",Aug 02 05:17 PM
Flessner Kyle M,Sr. Vice President,2022-07-29,Sale,178.91,"43,068","7,705,124","66,822",Aug 02 05:41 PM
SANCHEZ ROBERT E,Director,2022-05-13,Option Exercise,44.09,"12,299","542,263","31,500",May 17 05:02 PM
Gary Mark,Sr. Vice President,2022-05-13,Sale,169.92,"2,043","347,147","27,743",May 17 06:24 PM
Kozanian Hagop H,Sr. Vice President,2022-05-13,Sale,170.23,"5,904","1,005,067","44,885",May 17 06:06 PM
SANCHEZ ROBERT E,Director,2022-05-13,Sale,169.4,"12,299","2,083,484","19,201",May 17 05:02 PM
Ron Amichai,Sr. Vice President,2022-02-08,Sale,171.96,"2,037","350,280","39,891",Feb 08 06:53 PM
BLINN MARK A,Director,2022-02-04,Option Exercise,114.36,"3,188","364,577","16,251",Feb 08 05:54 PM
BLINN MARK A,Director,2022-02-04,Sale,170.54,"4,095","698,369","12,156",Feb 08 05:54 PM
TEMPLETON RICHARD K,"Chairman, President & CEO",2022-01-31,Sale,177.44,"33,469","5,938,659","398,114",Feb 02 04:19 PM
BAHAI AHMAD,Sr. Vice President,2021-11-15,Option Exercise,52.93,"4,250","224,952","28,221",Nov 16 08:49 PM
BAHAI AHMAD,Sr. Vice President,2021-11-15,Sale,189.49,"4,250","805,316","23,971",Nov 16 08:49 PM
Gary Mark,Sr. Vice President,2021-11-04,Option Exercise,52.93,"4,991","264,174","26,877",Nov 08 05:26 PM
Gary Mark,Sr. Vice President,2021-11-04,Sale,190.0,"4,991","948,290","21,886",Nov 08 05:26 PM
Ilan Haviv,Sr. Vice President,2021-10-29,Option Exercise,79.26,"48,000","3,804,480","121,369",Nov 02 04:54 PM
Ilan Haviv,Sr. Vice President,2021-10-29,Sale,187.89,"48,000","9,018,744","73,369",Nov 02 04:54 PM
Knecht Julie C.,VP & Chief Accounting Officer,2021-08-05,Option Exercise,79.26,"4,550","360,633","16,472",Aug 09 04:24 PM
Knecht Julie C.,VP & Chief Accounting Officer,2021-08-05,Sale,192.17,"7,399","1,421,836","9,073",Aug 09 04:24 PM
Hobby Jean M.,Director,2021-08-05,Sale,192.04,900,"172,839","4,081",Aug 09 04:19 PM
BAHAI AHMAD,Sr. Vice President,2021-07-29,Sale,189.71,"3,682","698,527","23,939",Aug 03 05:01 PM
