Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Gibbs Lawrence S.,Director,2022-03-07,Sale,122.31,793,"96,992","2,230",Mar 08 04:21 PM
Gibbs Lawrence S.,Director,2022-03-03,Sale,128.29,"1,568","201,159","3,023",Mar 06 04:04 PM
Gibbs Lawrence S.,Director,2022-03-01,Option Exercise,133.57,"10,000","1,335,700","13,549",Mar 02 04:34 PM
McDonnell Eileen C.,Director,2022-12-14,Option Exercise,133.03,"2,500","332,575","7,757",Dec 14 04:07 PM
MILLER ALAN B,Executive Chairman,2022-11-21,Option Exercise,128.67,"200,000","25,734,000","1,261,665",Nov 21 04:44 PM
Gibbs Lawrence S.,Director,2022-03-11,Sale,153.0,"1,307","199,971","1,869",Mar 14 09:43 AM
FILTON STEVE,Executive Vice President & CFO,2022-03-07,Option Exercise,149.46,"70,000","10,462,200","177,963",Mar 07 12:51 PM
Gibbs Lawrence S.,Director,2022-03-01,Sale,143.84,985,"141,682","3,176",Mar 01 04:06 PM
McDonnell Eileen C.,Director,2022-02-28,Option Exercise,141.29,"2,500","353,225","6,077",Mar 01 04:25 PM
Miller Marc D,President and CEO,2022-02-28,Option Exercise,144.82,"103,000","14,916,460","248,901",Mar 01 04:16 PM
Pember Marvin G.,Executive Vice President,2022-02-28,Option Exercise,144.82,"30,000","4,344,600","64,222",Mar 01 04:12 PM
McDonnell Eileen C.,Director,2022-02-28,Sale,141.17,296,"41,786","3,577",Mar 01 04:25 PM
Gibbs Lawrence S.,Director,2022-02-25,Option Exercise,144.82,"10,000","1,448,200","12,763",Mar 01 04:06 PM
Gibbs Lawrence S.,Director,2021-07-28,Sale,160.0,314,"50,240","2,763",Jul 28 02:55 PM
