Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-03-07,Sale,200.00,614,"122,800","45,799",Mar 08 06:49 PM
Buchalter Yehuda Ari,Director,2022-03-03,Sale,198.50,"1,500","297,750","3,349",Mar 06 05:01 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-23,Sale,203.22,"2,000","406,441","669,810",Feb 23 06:47 PM
McPherson Danny R,"EVP- Engineering, Ops. & CSO",2022-02-22,Sale,204.33,"3,000","612,989","27,661",Feb 23 06:50 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-22,Sale,204.49,"2,000","408,978","671,810",Feb 23 06:47 PM
COTE KATHLEEN A,Director,2022-02-21,Sale,202.97,"2,665","540,907","28,759",Feb 23 06:45 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-21,Sale,203.10,"2,000","406,196","673,810",Feb 23 06:47 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-16,Sale,208.76,"2,000","417,529","662,108",Feb 17 06:16 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-15,Sale,212.71,"2,000","425,417","666,234",Feb 17 06:16 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-02-14,Sale,213.43,"3,000","640,286","668,234",Feb 15 04:48 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-02-14,Sale,212.74,614,"130,622","44,694",Feb 15 04:55 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-02-07,Sale,212.78,614,"130,647","37,792",Feb 08 04:43 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-19,Sale,211.73,"2,000","423,453","652,444",Jan 19 05:32 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-18,Sale,213.43,"2,000","426,867","654,444",Jan 19 05:32 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-17,Sale,214.87,"3,000","644,598","656,444",Jan 19 05:32 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-12,Sale,211.80,"2,000","423,605","659,444",Jan 12 06:49 PM
Kilguss George E III,EVP and CFO,2022-01-11,Sale,210.14,"25,000","5,253,507","96,342",Jan 12 07:06 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-11,Sale,210.19,"5,000","1,050,968","661,444",Jan 12 06:49 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-01-10,Sale,207.68,"2,000","415,354","666,444",Jan 12 06:49 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-01-10,Sale,206.49,613,"126,578","38,406",Jan 11 06:22 PM
Kilguss George E III,EVP and CFO,2022-01-05,Sale,201.98,"5,000","1,009,919","121,342",Jan 06 04:36 PM
Kilguss George E III,EVP and CFO,2022-01-04,Sale,203.65,"5,000","1,018,244","126,342",Jan 06 04:36 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-01-03,Sale,206.72,613,"126,719","39,019",Jan 04 04:58 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-22,Sale,202.25,"2,000","404,502","668,444",Dec 22 05:12 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-21,Sale,203.32,"2,000","406,640","670,444",Dec 22 05:12 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-20,Sale,200.12,"2,000","400,250","672,444",Dec 22 05:12 PM
Kilguss George E III,EVP and CFO,2022-12-15,Sale,200.99,"5,000","1,004,960","131,342",Dec 15 06:02 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-15,Sale,202.41,"2,000","404,820","674,444",Dec 15 05:59 PM
Kilguss George E III,EVP and CFO,2022-12-14,Sale,202.79,"15,000","3,041,884","136,342",Dec 15 06:02 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-14,Sale,201.85,"2,000","403,691","676,444",Dec 15 05:59 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-12-13,Sale,209.15,"2,000","418,300","678,444",Dec 15 05:59 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-12-13,Sale,209.15,"1,226","256,418","39,632",Dec 15 06:04 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-11-23,Sale,200.00,613,"122,600","40,858",Nov 28 05:03 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-11-01,Sale,202.05,613,"123,857","41,816",Nov 02 05:10 PM
TOMLINSON TIMOTHY,Director,2022-10-31,Sale,201.35,692,"139,337","15,000",Nov 01 04:44 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-10-28,Sale,200.00,"1,226","245,200","42,429",Oct 31 04:32 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-08-16,Sale,203.76,"3,293","670,976","682,601",Aug 16 06:03 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-08-10,Sale,200.04,"12,707","2,541,962","687,051",Aug 16 06:03 PM
TOMLINSON TIMOTHY,Director,2022-08-01,Sale,186.8,685,"127,956","15,692",Aug 02 04:43 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-04-20,Sale,219.93,"13,000","2,859,068","700,915",Apr 21 04:45 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-04-19,Sale,213.97,"3,000","641,898","713,915",Apr 21 04:45 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-04-13,Sale,214.69,"3,000","644,076","716,915",Apr 14 05:08 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-04-12,Sale,215.02,"3,000","645,071","719,915",Apr 14 05:08 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-04-12,Sale,216.74,613,"132,862","46,193",Apr 13 05:05 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-04-05,Sale,226.55,614,"139,102","46,806",Apr 06 05:27 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-03-16,Sale,207.95,"3,000","623,859","722,915",Mar 17 05:23 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-03-15,Sale,200.62,"3,000","601,855","725,915",Mar 17 05:23 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-03-09,Sale,208.34,"3,000","625,022","728,915",Mar 10 05:30 PM
BIDZOS D JAMES,Exec. Chairman & CEO,2022-03-08,Sale,210.26,"3,000","630,790","731,915",Mar 10 05:30 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-03-08,Sale,214.21,614,"131,525","45,276",Mar 09 05:25 PM
FRIST THOMAS F III,Director,2022-03-03,Buy,218.73,95,"20,780",95,Jun 01 04:48 PM
Indelicarto Thomas C,"EVP, Gen Counsel & Secretary",2022-03-01,Sale,213.38,614,"131,015","49,562",Mar 02 05:44 PM
