Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Arbuckle Stuart A,"EVP, COO",2022-02-27,Sale,287.47,"5,034","1,447,143","56,556",Feb 28 04:47 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-27,Sale,287.51,"4,238","1,218,449","32,038",Feb 28 04:40 PM
Ambrose Kristen,SVP & Chief Accounting Officer,2022-02-27,Sale,287.55,"1,207","347,072","7,303",Feb 28 04:44 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-27,Sale,287.48,354,"101,768","56,805",Feb 28 05:11 PM
Arbuckle Stuart A,"EVP, COO",2022-02-22,Sale,294.33,"2,401","706,679","66,304",Feb 24 04:06 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-21,Sale,293.77,"4,002","1,175,676","40,246",Feb 22 04:25 PM
Arbuckle Stuart A,"EVP, COO",2022-02-21,Sale,293.75,"2,402","705,596","68,705",Feb 22 04:30 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-21,Sale,293.75,480,"141,002","60,467",Feb 22 04:48 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-14,Sale,298.70,"6,398","1,911,108","47,998",Feb 16 04:11 PM
Arbuckle Stuart A,"EVP, COO",2022-02-14,Sale,298.68,"6,398","1,910,962","75,605",Feb 16 04:14 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-02-14,Sale,300.39,"2,181","655,161","59,734",Feb 16 04:16 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-14,Sale,298.52,320,"95,527","65,445",Feb 16 04:18 PM
Arbuckle Stuart A,"EVP, COO",2022-02-13,Sale,298.92,"4,887","1,460,816","82,003",Feb 14 04:53 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-13,Sale,298.90,"4,798","1,434,126","54,396",Feb 14 04:49 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-13,Sale,298.99,275,"82,223","65,765",Feb 14 05:12 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-02-13,Sale,300.39,113,"33,944","61,915",Feb 14 05:08 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-06,Option Exercise,187.53,"1,304","244,539","69,949",Feb 08 04:53 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-06,Sale,306.00,"1,304","399,022","68,645",Feb 08 04:53 PM
SACHS BRUCE I,Director,2022-01-31,Option Exercise,72.14,"1,200","86,568","42,410",Feb 02 04:14 PM
SACHS BRUCE I,Director,2022-01-31,Sale,325.01,"1,200","390,012","41,210",Feb 02 04:14 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-01-31,Sale,325.00,106,"34,450","37,998",Feb 02 04:18 PM
CARNEY LLOYD,Director,2022-01-30,Sale,320.52,"2,700","865,406","4,150",Jan 31 04:45 PM
