Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Ni Xiangyang (Sean),"President, Greater China",2022-03-06,Sale,11.08,"3,148","34,891","46,416",Mar 06 07:01 PM
CORNWELL W DON,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"42,510",Mar 06 07:01 PM
MARK RICHARD A,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"53,478",Mar 06 07:01 PM
HIGGINS MELINA E,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"83,381",Mar 06 07:01 PM
KILTS JAMES M,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"98,590",Mar 06 07:01 PM
van der Meer Mohr Pauline,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"40,267",Mar 06 07:00 PM
GOETTLER MICHAEL,Chief Executive Officer,2022-03-04,Option Exercise,0.00,"107,827",0,"365,119",Mar 06 07:00 PM
COURY ROBERT J,Executive Chairman,2022-03-04,Option Exercise,0.00,"127,970",0,"1,236,952",Mar 06 07:01 PM
Campbell Paul,See Remarks,2022-03-04,Option Exercise,0.00,"18,515",0,"113,538",Mar 06 07:01 PM
Mauro Anthony,See Remarks,2022-03-04,Option Exercise,0.00,"37,917",0,"355,502",Mar 06 07:00 PM
PARRISH MARK W,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"102,563",Mar 06 07:00 PM
Malik Rajiv,President,2022-03-04,Option Exercise,0.00,"85,314",0,"685,631",Mar 06 07:00 PM
Cuneo Andrew,See Remarks,2022-03-04,Option Exercise,0.00,"6,518",0,"53,460",Mar 06 07:00 PM
Roman Brian,Global General Counsel,2022-03-04,Option Exercise,0.00,"17,774",0,"96,585",Mar 06 07:00 PM
Lyons Dillon JoEllen,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"59,859",Mar 06 07:01 PM
KORMAN HARRY,Director,2022-03-04,Option Exercise,0.00,"20,313",0,"70,951",Mar 06 07:00 PM
Narula Sanjeev,Chief Financial Officer,2022-03-04,Option Exercise,0.00,"40,287",0,"89,996",Mar 06 07:00 PM
Ni Xiangyang (Sean),"President, Greater China",2022-03-04,Option Exercise,0.00,"7,835",0,"49,564",Mar 06 07:01 PM
Ni Xiangyang (Sean),"President, Greater China",2022-03-03,Sale,11.18,"3,093","34,579","41,729",Mar 06 07:01 PM
Campbell Paul,See Remarks,2022-03-02,Option Exercise,0.00,"47,712",0,"101,172",Mar 06 07:01 PM
COURY ROBERT J,Executive Chairman,2022-03-02,Option Exercise,0.00,"108,739",0,"1,162,429",Mar 06 07:01 PM
GOETTLER MICHAEL,Chief Executive Officer,2022-03-02,Option Exercise,0.00,"91,623",0,"294,432",Mar 06 07:00 PM
Roman Brian,Global General Counsel,2022-03-02,Option Exercise,0.00,"14,096",0,"84,567",Mar 06 07:00 PM
Cuneo Andrew,See Remarks,2022-03-02,Option Exercise,0.00,"7,929",0,"50,105",Mar 06 07:00 PM
Malik Rajiv,President,2022-03-02,Option Exercise,0.00,"322,494",0,"648,123",Mar 06 07:00 PM
Mauro Anthony,See Remarks,2022-03-02,Option Exercise,0.00,"148,163",0,"340,490",Mar 06 07:00 PM
