Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
PAYNE ULICE JR,Director,2022-11-28,Sale,97.59,950,"92,708","21,375",Nov 29 01:01 PM
Lauber Scott J,President and CEO,2022-11-22,Option Exercise,41.02,"5,000","205,125","29,601",Nov 23 04:18 PM
Lauber Scott J,President and CEO,2022-11-22,Sale,97.18,"5,000","485,879","24,601",Nov 23 04:18 PM
Erickson Joshua M,VP and Deputy General Counsel,2022-11-15,Sale,93.30,150,"13,994","2,121",Nov 17 02:08 PM
TELLOCK GLEN E,Director,2022-11-08,Buy,91.39,"1,000","91,390","1,000",Nov 10 02:33 PM
Straka Mary Beth,Sr. VP-Corp Comm & Inv Rel,2022-08-15,Option Exercise,58.30,"2,500","145,762","5,096",Aug 17 12:38 PM
Straka Mary Beth,Sr. VP-Corp Comm & Inv Rel,2022-08-15,Sale,106.02,"2,500","265,060","2,596",Aug 17 12:38 PM
Mastoris William,EVP-Cust. Svc. and Operations,2022-08-12,Option Exercise,51.49,"4,690","241,488","7,196",Aug 15 06:29 PM
Mastoris William,EVP-Cust. Svc. and Operations,2022-08-12,Sale,105.04,"4,690","492,630","2,506",Aug 15 06:29 PM
Garvin Robert M,Exec Vice President - Ext Affs,2022-06-03,Option Exercise,51.82,"31,480","1,631,231","42,542",Jun 07 03:50 PM
Garvin Robert M,Exec Vice President - Ext Affs,2022-06-03,Sale,104.21,"31,480","3,280,484","11,062",Jun 07 03:50 PM
Matthews Charles R,Special Adviser to CEO,2022-06-01,Option Exercise,68.17,"10,666","727,155","12,812",Jun 03 02:52 PM
Matthews Charles R,Special Adviser to CEO,2022-06-01,Sale,104.63,"10,666","1,116,006","2,146",Jun 03 02:52 PM
PAYNE ULICE JR,Director,2022-05-31,Sale,105.21,750,"78,904","22,303",Jun 02 03:02 PM
Mulroy Molly A,EVP & Chief Admin Officer,2022-05-19,Option Exercise,45.24,"5,600","253,361","7,442",May 23 06:30 PM
Mulroy Molly A,EVP & Chief Admin Officer,2022-05-19,Sale,103.23,"5,600","578,100","1,842",May 23 06:30 PM
Erickson Joshua M,VP and Deputy General Counsel,2022-05-11,Option Exercise,68.17,"2,106","143,577","4,377",May 12 05:56 PM
Erickson Joshua M,VP and Deputy General Counsel,2022-05-11,Sale,102.99,"2,106","216,905","2,271",May 12 05:56 PM
Reese Anthony,Vice President and Treasurer,2022-05-10,Option Exercise,66.02,"1,325","87,470","2,230",May 12 05:56 PM
Reese Anthony,Vice President and Treasurer,2022-05-10,Sale,102.47,"1,325","135,770",905,May 12 05:56 PM
Metcalfe Tom,Pres. WI Utilities,2021-11-22,Option Exercise,66.02,"8,265","545,614","14,071",Nov 23 05:29 PM
Metcalfe Tom,Pres. WI Utilities,2021-11-22,Sale,91.04,"8,265","752,409","5,806",Nov 23 05:29 PM
PAYNE ULICE JR,Director,2021-11-11,Sale,89.5,"1,200","107,398","21,466",Nov 12 02:21 PM
Lane Thomas K,Director,2021-11-04,Buy,89.47,"6,000","536,823","7,715",Nov 08 04:53 PM
Erickson Joshua M,VP and Deputy General Counsel,2021-08-11,Option Exercise,66.02,"1,555","102,653","3,618",Aug 12 05:27 PM
Erickson Joshua M,VP and Deputy General Counsel,2021-08-11,Sale,96.48,"1,555","150,019","2,063",Aug 12 05:27 PM
