Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Chancy Mark A,Director,2022-03-01,Option Exercise,46.68,"8,253","385,250","22,386",Mar 03 05:05 PM
Morris Maria R,Director,2022-03-01,Option Exercise,46.68,"1,418","66,192","4,253",Mar 03 05:11 PM
Santos Kleber,Sr. Executive Vice President,2022-02-23,Sale,46.27,"34,698","1,605,476","19,590",Feb 27 04:56 PM
Santos Kleber,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"65,753",0,"79,524",Feb 07 03:15 PM
Santomassimo Michael P.,Sr. EVP & CFO,2022-02-05,Option Exercise,0.00,"215,427",0,"216,581",Feb 07 03:12 PM
Powell Scott,SEVP & Chief Operating Officer,2022-02-05,Option Exercise,0.00,"50,407",0,"128,525",Feb 07 03:09 PM
Patterson Ellen R,Sr. EVP and General Counsel,2022-02-05,Option Exercise,0.00,"34,688",0,"59,808",Feb 07 03:06 PM
Owens Lester,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"27,834",0,"110,625",Feb 07 03:02 PM
Mack Mary T,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"52,576",0,"242,741",Feb 07 02:59 PM
Ling Bei,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"6,370",0,"26,438",Feb 07 02:56 PM
Hranicky Kyle G,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"29,375",0,"122,524",Feb 07 02:54 PM
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2022-02-05,Option Exercise,0.00,"31,909",0,"23,245",Feb 07 02:51 PM
Fercho Kristy,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"15,700",0,"38,007",Feb 07 02:48 PM
DALEY WILLIAM M,Vice Chairman - Public Affairs,2022-02-05,Option Exercise,0.00,"25,781",0,"43,849",Feb 07 02:41 PM
Carr Muneera S,"EVP, CAO & Controller",2022-02-05,Option Exercise,0.00,"34,132",0,"39,377",Feb 07 02:37 PM
Williams Ather III,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"136,769",0,"186,055",Feb 07 03:31 PM
Weiss Jonathan G.,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"55,623",0,"262,510",Feb 07 03:27 PM
Van Beurden Saul,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"37,560",0,"100,733",Feb 07 03:25 PM
Sommers Barry,Sr. Executive Vice President,2022-02-05,Option Exercise,0.00,"32,569",0,"32,112",Feb 07 03:22 PM
SCHARF CHARLES W,CEO & President,2022-02-05,Option Exercise,0.00,"111,428",0,"446,364",Feb 07 03:17 PM
Powell Scott,SEVP & Chief Operating Officer,2022-01-28,Option Exercise,0.00,"34,170",0,"108,006",Jan 31 11:58 AM
Ling Bei,Sr. Executive Vice President,2022-01-15,Option Exercise,0.00,"34,274",0,"34,274",Jan 18 11:21 AM
DALEY WILLIAM M,Vice Chairman - Public Affairs,2022-12-15,Option Exercise,0.00,"8,322",0,"28,570",Dec 19 12:40 PM
SCHARF CHARLES W,CEO & President,2022-10-21,Option Exercise,0.00,"123,466",0,"440,295",Oct 25 11:38 AM
Owens Lester,Sr. Executive Vice President,2022-07-27,Option Exercise,0.0,"87,344",0,"135,973",Jul 29 11:36 AM
Weinbach Michael S,Sr. Executive Vice President,2022-06-18,Option Exercise,0.0,"73,069",0,"163,382",Jun 22 11:56 AM
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2022-06-12,Option Exercise,0.0,"4,032",0,"26,314",Jun 14 11:54 AM
Santos Kleber,Sr. Executive Vice President,2022-05-03,Sale,44.44,"22,700","1,008,788","21,478",May 05 12:09 PM
Van Beurden Saul,Sr. Executive Vice President,2022-04-08,Option Exercise,0.0,"34,987",0,"87,579",Apr 12 12:09 PM
Weiss Jonathan G.,Sr. Executive Vice President,2022-03-15,Option Exercise,0.0,"51,485",0,"229,635",Mar 17 12:51 PM
Van Beurden Saul,Sr. Executive Vice President,2022-03-15,Option Exercise,0.0,"18,682",0,"58,329",Mar 17 12:45 PM
Powell Scott,SEVP & Chief Operating Officer,2022-03-15,Option Exercise,0.0,"1,723",0,"74,716",Mar 17 12:40 PM
Patterson Ellen R,Sr. EVP and General Counsel,2022-03-15,Option Exercise,0.0,"26,483",0,"49,195",Mar 17 12:35 PM
Mack Mary T,Sr. Executive Vice President,2022-03-15,Option Exercise,0.0,"74,652",0,"209,923",Mar 17 12:30 PM
Hranicky Kyle G,Sr. Executive Vice President,2022-03-15,Option Exercise,0.0,"15,281",0,"102,677",Mar 17 12:24 PM
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2022-03-15,Option Exercise,0.0,"20,876",0,"25,038",Mar 17 12:18 PM
DALEY WILLIAM M,Vice Chairman - Public Affairs,2022-03-15,Option Exercise,0.0,"1,566",0,"20,804",Mar 17 12:11 PM
Morris Maria R,Director,2022-03-01,Option Exercise,50.29,"1,384","69,601","2,835",Mar 03 12:35 PM
Chancy Mark A,Director,2022-03-01,Option Exercise,50.29,"7,515","377,929","8,413",Mar 03 12:29 PM
Williams Ather III,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"170,919",0,"159,925",Feb 08 02:00 PM
Weiss Jonathan G.,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"28,662",0,"210,554",Feb 08 01:52 PM
Weinbach Michael S,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"26,921",0,"103,992",Feb 08 01:45 PM
Van Beurden Saul,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"16,153",0,"53,556",Feb 08 01:40 PM
Sommers Barry,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"14,806",0,"14,806",Feb 08 01:35 PM
SCHARF CHARLES W,CEO & President,2022-02-05,Option Exercise,0.0,"72,606",0,"356,820",Feb 08 01:28 PM
Santos Kleber,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"85,030",0,"85,030",Feb 08 01:23 PM
Santomassimo Michael P.,Sr. EVP & CFO,2022-02-05,Option Exercise,0.0,"137,386",0,"116,771",Feb 08 01:18 PM
Powell Scott,SEVP & Chief Operating Officer,2022-02-05,Option Exercise,0.0,"29,983",0,"88,228",Feb 08 01:12 PM
Patterson Ellen R,Sr. EVP and General Counsel,2022-02-05,Option Exercise,0.0,"20,191",0,"32,971",Feb 08 01:08 PM
Owens Lester,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"17,229",0,"57,384",Feb 08 01:01 PM
Mack Mary T,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"25,031",0,"169,067",Feb 08 12:56 PM
Hranicky Kyle G,Sr. Executive Vice President,2022-02-05,Option Exercise,0.0,"19,599",0,"96,973",Feb 08 12:50 PM
Flowers Derek A.,Sr. EVP and Chief Risk Officer,2022-02-05,Option Exercise,0.0,"19,141",0,"15,121",Feb 08 12:40 PM
DALEY WILLIAM M,Vice Chairman - Public Affairs,2022-02-05,Option Exercise,0.0,"14,448",0,"25,207",Feb 08 12:33 PM
Carr Muneera S,"EVP, CAO & Controller",2022-02-05,Option Exercise,0.0,"23,691",0,"24,043",Feb 08 12:28 PM
Powell Scott,SEVP & Chief Operating Officer,2022-01-28,Option Exercise,0.0,"33,369",0,"72,516",Feb 01 01:03 PM
DALEY WILLIAM M,Vice Chairman - Public Affairs,2021-12-15,Option Exercise,0.0,"8,127",0,"14,360",Dec 17 12:06 PM
SCHARF CHARLES W,CEO & President,2021-10-21,Option Exercise,0.0,"120,834",0,"353,549",Oct 25 12:03 PM
Owens Lester,Sr. Executive Vice President,2021-07-27,Option Exercise,0.0,"85,674",0,"85,674",Jul 28 04:31 PM
Norton Amanda G,Sr. EVP and Chief Risk Officer,2021-07-12,Option Exercise,0.0,"30,185",0,"75,587",Jul 14 12:16 PM
