Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Nagy Leslie K,VP & Chief Accounting Officer,2022-02-24,Sale,151.11,800,"120,888","5,210",Feb 28 12:07 PM
Nagy Leslie K,VP & Chief Accounting Officer,2022-02-21,Sale,153.40,60,"9,204","6,010",Feb 23 02:52 PM
Carrasco Rafael,SVP Operations,2022-02-21,Sale,153.80,55,"8,459","12,100",Feb 23 02:52 PM
Smith Donald J,Sr. VP - Operations,2022-02-21,Sale,153.50,49,"7,522","4,236",Feb 23 02:52 PM
Rooney Kelly C.,SVP Chief People Officer,2022-02-21,Sale,153.66,15,"2,305","1,651",Feb 23 02:52 PM
Morris John J,EVP & Chief Operation Officer,2022-02-17,Sale,155.03,"15,204","2,357,020","95,461",Feb 21 03:42 PM
Hemmer Tara J.,SVP & Chief Sustainability Off,2022-02-17,Sale,155.00,"7,515","1,164,854","46,542",Feb 21 03:42 PM
Rankin Devina A,EVP & CFO,2022-02-17,Sale,155.00,"6,800","1,054,021","57,517",Feb 21 03:42 PM
Morris John J,EVP & Chief Operation Officer,2022-02-13,Sale,155.00,200,"31,000","110,665",Feb 15 04:13 PM
Rankin Devina A,EVP & CFO,2022-02-13,Sale,155.00,200,"31,000","64,317",Feb 15 04:13 PM
Hemmer Tara J.,SVP & Chief Sustainability Off,2022-02-13,Sale,155.00,100,"15,500","54,057",Feb 15 04:13 PM
Watson Michael J.,Sr. VP-Chief Customer Officer,2022-02-02,Sale,151.67,"1,005","152,428","39,198",Feb 03 04:55 PM
Rankin Devina A,EVP & CFO,2022-02-02,Sale,151.29,"1,005","152,046","64,517",Feb 03 04:55 PM
Morris John J,EVP & Chief Operation Officer,2022-02-02,Sale,151.13,"1,006","152,040","110,865",Feb 03 04:55 PM
Hemmer Tara J.,SVP & Chief Sustainability Off,2022-02-02,Sale,150.91,"1,006","151,819","54,157",Feb 03 04:55 PM
Boettcher Charles C,"EVP, Corp Development & CLO",2022-02-02,Sale,149.97,"1,007","151,018","40,300",Feb 03 04:54 PM
Nagy Leslie K,VP & Chief Accounting Officer,2022-02-02,Sale,151.49,302,"45,750","6,164",Feb 03 04:55 PM
Carrasco Rafael,SVP Operations,2022-02-02,Sale,151.40,279,"42,241","12,240",Feb 03 04:55 PM
Rooney Kelly C.,SVP Chief People Officer,2022-02-02,Sale,151.55,73,"11,063","1,690",Feb 03 04:55 PM
Fish James C Jr,"Pres, Chief Executive Officer",2022-02-01,Option Exercise,152.10,"92,617","14,087,509","216,111",Feb 03 04:55 PM
Morris John J,EVP & Chief Operation Officer,2022-02-01,Option Exercise,152.10,"25,471","3,874,266","120,932",Feb 03 04:55 PM
Rankin Devina A,EVP & CFO,2022-02-01,Option Exercise,152.10,"23,156","3,522,143","73,672",Feb 03 04:55 PM
