Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Skeans Tracy L,COO and CPO,2022-03-07,Sale,130.00,"3,925","510,250","14,393",Mar 07 02:40 PM
Gibbs David W,Chief Executive Officer,2022-02-11,Option Exercise,131.31,"5,898","774,457","62,682",Feb 13 01:23 PM
Skeans Tracy L,COO and CPO,2022-02-11,Option Exercise,131.31,"1,435","188,465","18,884",Feb 13 12:08 PM
Turner Christopher Lee,Chief Financial Officer,2022-02-11,Option Exercise,131.31,"1,304","171,273","17,308",Feb 13 11:44 AM
Catlett Scott,Chief Legal &Franchise Officer,2022-02-11,Option Exercise,131.31,"1,174","154,212","12,610",Feb 13 11:53 AM
Powell Aaron,CEO - Pizza Hut,2022-02-11,Option Exercise,131.31,"1,043","137,019","5,976",Feb 13 11:22 AM
King Mark James,CEO - Taco Bell,2022-02-11,Option Exercise,131.31,914,"119,958","18,264",Feb 13 12:01 PM
Sami Sabir,Chief Executive Officer - KFC,2022-02-11,Option Exercise,131.31,914,"119,958","7,076",Feb 13 01:13 PM
Gibbs David W,Chief Executive Officer,2022-12-20,Option Exercise,50.22,"7,000","351,540","38,715",Dec 21 01:19 PM
Gibbs David W,Chief Executive Officer,2022-12-20,Sale,128.52,"4,259","547,367","31,715",Dec 21 01:19 PM
Powell Aaron,CEO - Pizza Hut,2022-11-12,Option Exercise,123.33,"8,135","1,003,290","8,135",Nov 15 11:49 AM
Skala Justin,Director,2022-10-01,Option Exercise,106.34,"2,527","268,721","9,130",Oct 03 12:03 PM
GRADDICK WEIR MIRIAN M,Director,2022-08-12,Option Exercise,52.08,"2,171","113,066","3,404",Aug 15 03:50 PM
GRADDICK WEIR MIRIAN M,Director,2022-08-12,Sale,118.30,"1,215","143,734","1,233",Aug 15 03:50 PM
Russell David Eric,"Vice President, Controller",2022-08-10,Option Exercise,50.22,"13,573","681,636","30,839",Aug 11 02:38 PM
Russell David Eric,"Vice President, Controller",2022-08-10,Sale,118.52,"4,454","527,888","17,266",Aug 11 02:38 PM
King Mark James,CEO - Taco Bell,2022-08-09,Option Exercise,116.93,"7,391","864,196","15,425",Aug 10 11:19 AM
Turner Christopher Lee,Chief Financial Officer,2022-08-09,Option Exercise,116.93,"4,435","518,541","10,633",Aug 10 11:29 AM
Russell David Eric,"Vice President, Controller",2022-04-01,Option Exercise,118.53,"4,608","546,186","17,578",Apr 04 02:52 PM
Gibbs David W,Chief Executive Officer,2022-01-14,Option Exercise,45.88,"2,227","102,175","21,393",Jan 19 10:18 AM
Gibbs David W,Chief Executive Officer,2022-01-14,Sale,128.12,"1,433","183,596","19,166",Jan 19 10:18 AM
Gibbs David W,Chief Executive Officer,2021-12-15,Option Exercise,45.88,"2,227","102,175","21,393",Dec 15 12:30 PM
Gibbs David W,Chief Executive Officer,2021-12-15,Sale,132.01,"1,452","191,679","19,166",Dec 15 12:30 PM
GRADDICK WEIR MIRIAN M,Director,2021-11-24,Option Exercise,44.48,"1,894","84,245","1,894",Nov 29 03:45 PM
