Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Winkler Lori,SVP and CHRO,2022-03-02,Option Exercise,0.00,187,0,420,Mar 06 04:04 PM
Tornos Ivan,Chief Operating Officer,2022-02-21,Option Exercise,0.00,"4,011",0,"19,147",Feb 23 05:54 PM
Yi Sang,"President, Asia Pacific",2022-02-21,Option Exercise,0.00,"2,423",0,"8,527",Feb 23 05:55 PM
Ellingson Rachel,SVP & Chief Strategy Officer,2022-02-21,Option Exercise,0.00,"1,046",0,"4,864",Feb 23 05:52 PM
Phipps Chad F,Sr. VP/Gen Counsel/Secretary,2022-02-21,Option Exercise,0.00,"2,195",0,"44,233",Feb 23 05:53 PM
Hanson Bryan C,President and CEO,2022-02-21,Option Exercise,0.00,"15,132",0,"107,549",Feb 23 05:53 PM
Upadhyay Suketu,"Exec. VP, CFO",2022-02-21,Option Exercise,0.00,"3,860",0,"12,047",Feb 23 05:50 PM
"ZIMMER BIOMET HOLDINGS, INC.",10% Owner,2022-02-01,Sale,9.57,"5,131,946","49,094,761",0,Feb 03 04:11 PM
Phipps Chad F,Sr. VP/Gen Counsel/Secretary,2022-12-13,Option Exercise,70.97,"11,522","817,716","53,402",Dec 15 04:09 PM
Phipps Chad F,Sr. VP/Gen Counsel/Secretary,2022-12-13,Sale,128.63,"11,522","1,482,079","41,880",Dec 15 04:09 PM
Tornos Ivan,Chief Operating Officer,2022-12-03,Option Exercise,0.00,"3,648",0,"15,941",Dec 06 04:24 PM
VAN ZUILEN WILFRED,"Pres, Europe, M. East & Africa",2022-07-05,Sale,105.22,531,"55,870","2,240",Jul 06 04:08 PM
Upadhyay Suketu,"Exec. VP, CFO",2022-07-01,Option Exercise,0.0,"3,768",0,"9,231",Jul 05 05:36 PM
VAN ZUILEN WILFRED,"Pres, Europe, M. East & Africa",2022-07-01,Option Exercise,0.0,"2,633",0,"2,771",Jul 06 04:08 PM
Ellingson Rachel,SVP & Chief Strategy Officer,2022-05-01,Option Exercise,0.0,531,0,"3,791",May 03 04:41 PM
Phipps Chad F,Sr. VP/Gen Counsel/Secretary,2022-03-17,Option Exercise,62.22,"35,149","2,186,971","76,688",Mar 21 04:01 PM
Phipps Chad F,Sr. VP/Gen Counsel/Secretary,2022-03-17,Sale,121.97,"35,149","4,287,248","41,539",Mar 21 04:01 PM
Winkler Lori,SVP and CHRO,2022-03-02,Option Exercise,0.0,181,0,290,Mar 04 04:02 PM
Hanson Bryan C,President and CEO,2021-12-19,Option Exercise,0.0,"58,470",0,"107,493",Dec 21 04:19 PM
Yi Sang,"President, Asia Pacific",2021-12-14,Sale,124.14,"2,800","347,599","5,837",Dec 15 06:04 PM
Tornos Ivan,Chief Operating Officer,2021-12-03,Option Exercise,0.0,"3,538",0,"13,880",Dec 07 04:15 PM
Nichol Carrie Ann,"VP, Controller & CAO",2021-10-01,Option Exercise,0.0,164,0,390,Oct 04 06:03 PM
Upadhyay Suketu,"Exec. VP, CFO",2021-07-01,Option Exercise,0.0,"3,655",0,"6,416",Jul 02 03:25 PM
